source,target,person_id,dead,person_name_transcription,named_by,roles,certainty,weight
8,3444,0ed73dc7-04da-447f-8ca0-249cab2dd8b8a,0,,Collective,Principal,,1
9,3034,0ed73dc7-04da-447f-8ca0-249cab2dd8b8a,0,,Collective,Principal,,1
10,3101,0ed73dc7-04da-447f-8ca0-249cab2dd8b8a,0,,Collective,Principal,,1
11,2966,0ed73dc7-04da-447f-8ca0-249cab2dd8b8a,0,,Collective,Principal,,1
12,2273,0ed73dc7-04da-447f-8ca0-249cab2dd8b8a,0,,Collective,Principal,,1
13,2295,9b68d498-8a1e-4dc1-8572-f85b3e80f46b2,0,,Collective,Principal,,1
14,2257,9b68d498-8a1e-4dc1-8572-f85b3e80f46b2,0,,Collective,Principal,,1
15,2886,2be23fad-ef9d-4931-8ee9-c42452fd4434,0,"abbot and convent of the nonaneeny of Seez, their proctor general in Englend",Collective,Principal,,1
16,3055,2be23fad-ef9d-4931-8ee9-c42452fd4434,0,abbot and convent of Seez,Collective,,,1
17,3423,2be23fad-ef9d-4931-8ee9-c42452fd4434,0,,Collective,Principal,,1
18,2385,cf0136ef-606c-4a53-8d0c-00ac971583b2a,0,,Collective,Principal,,1
19,3454,cf0136ef-606c-4a53-8d0c-00ac971583b2a,0,,Collective,,,1
20,2886,cf0136ef-606c-4a53-8d0c-00ac971583b2a,0,,Collective,Principal,,1
21,3055,cf0136ef-606c-4a53-8d0c-00ac971583b2a,0,,Collective,Principal,,1
22,2887,cf0136ef-606c-4a53-8d0c-00ac971583b2a,0,,Collective,Principal,,1
23,3133,cf0136ef-606c-4a53-8d0c-00ac971583b2a,0,,Collective,Principal,,1
25,2386,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
26,3046,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
27,2300,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
28,2534,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
29,2446,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
30,2752,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
31,2280,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
32,3299,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
33,2787,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
34,3421,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
35,2758,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
36,2616,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
37,2923,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
38,2888,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
39,3135,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
40,2309,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
41,2894,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
42,3025,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
43,2375,aabade39-f8ba-481c-a646-3dda1233051f,0,,,Principal,,1
44,3140,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
45,3141,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
46,2772,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
47,2281,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
48,2767,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
49,2755,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
50,2640,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
51,3036,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
52,2778,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
53,3422,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
54,3148,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
55,2270,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
56,2561,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
57,2765,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
58,3117,aabade39-f8ba-481c-a646-3dda1233051f,0,"monastery of St. Peter's, Gloucester,",Collective,,,1
59,3059,aabade39-f8ba-481c-a646-3dda1233051f,0,,Collective,Principal,,1
