ID,type,source,source_number,handlist_number,Label,date_text,date_notes,earliest_date,latest_date,NodeType
2214,other,HCM,1373,,HCM 1373,Lgirea 1322-1324.,approx,1322-01-01,1324-12-31,Document
2215,account,HCM,2368,,HCM 2368,"1291,  Michaelmas | September 29.","",1291-09-29,"",Document
2216,account,HCM,2406,,HCM 2406,"1292,  Michselmas - 1293,  Michaelmas.","1293,  Sept 29",1292-09-28,1293-09-29,Document
2217,account,HCM,1848,,HCM 1848,"1315,  Wednesday next after the Feast of St. Lucia,  the virgin [December 17]","",1315-12-17,"",Document
2218,account,HCM,3199a,,HCM 3199a,14th century.,approx,1300-01-01,1399-12-31,Document
2219,account,HCM,1446,,HCM 1446,giree 1320.,approx,1320-01-01,1320-12-31,Document
2220,account,HCM,1658a,,HCM 1658a,"1315/6,  Tuesday after the Feast of the Conversion of St. Paul [27 Jan.]","",1316-01-27,"",Document
2221,account,HCM,1448b,6102,RBLR 6102,1361.12.22,"",1361-12-22,"",Document
2222,account,HCM,1916,,HCM 1916,? 14th century,14th century,1300-01-01,1399-12-31,Document
2223,account,HCM,3249,,HCM 3249,? 14th century,approx,1300-01-01,1399-12-31,Document
2224,account,HCM,R352,0601,RBLR 0601,1306.9.29,"",1306-09-29,"",Document
2225,account,HCM,648a,,HCM 648a,Early 14th century.,early 14th century,1300-01-01,1325-12-31,Document
2226,account,HCM,2710,,HCM 2710,"1304,  Fridey next before Esster March 27.","",1304-03-27,"",Document
2227,account,HCM,1505,,HCM 1505,"1309/10,  Sunday in Septuagesima [February 15]","",1310-02-15,"",Document
2228,account,HCM,2638,,HCM 2638,"1353, circa March 25",approx date,1353-03-25,"",Document
2229,account,HCM,1836,,HCM 1836,"1315,  Thursday,  the Feast of St. Leonard the Confessor [November 6]","",1315-11-06,"",Document
2230,acknolwedgement,HCM,2183,,HCM 2183,Late 13th. century,approx,1275-01-01,1300-12-31,Document
2231,acknolwedgement,HCM,622,,HCM 622,"1294,  6 Kalends of June May 27","",1294-05-27,"",Document
2232,acknolwedgement,HCM,2072,,HCM 2072,"1317,  June 4.","",1317-06-04,"",Document
2233,acknolwedgement,CPR,,2102,RBLR 2102,1321.2.18,"",1321-02-18,"",Document
2234,acknolwedgement,HCM,1116,,HCM 1116,"1346,  Saturday next before the Feast of Saint Thomas the Apostle | December 16]","",1346-12-16,"",Document
2235,acta,HCM,2092,,HCM 2092,"1303,  Wwedne next after the Feast ,   of St,  iucta the Virgin {December 18].","",1303-12-18,"",Document
2236,acta,HCM,2093,,HCM 2093,1317/8 Wednesday the Feast of St. David [March 1].,"",1317-03-01,"",Document
2237,acta,,,3204-em1,RBLR 3204-em1,Thursday after St. Thomas [i.e. 9 July],"",1332-07-09,"",Document
2238,agreement,HCM,420,,HCM 420,"1298/9,  the eve of the Purification of the Blessed Mary . February 1]","",1299-02-01,"",Document
2239,agreement,HCM,624,,HCM 624,Early 14th century,early 14th century,1300-01-01,1325-12-31,Document
2240,agreement,HCM,421,,HCM 421,"1300,  Monday next before the feast of St. ,   George the Martyr | April 18]","",1300-04-18,"",Document
2241,agreement,HCM,532,,HCM 532,"1302,  Michaelmas | September 29","",1302-09-29,"",Document
2242,agreement,HCM,661,,HCM 661,"1305/6,  Saturday next after the Feast of St. Gregory the Pope [March 19].","",1306-03-19,"",Document
2243,agreement,HCM,609,,HCM 609,"1307/8,  Saturday next before the Feast of the Conversion of St. Paul [January 20]","",1308-01-20,"",Document
2244,agreement,HCM,623,,HCM 623,"1309,  3 Nones of December [December 3]","",1309-12-03,"",Document
2245,agreement,HCM,1485,,HCM 1485,[circa 1314].,circa 1314,1314-01-01,1314-12-31,Document
