Normalized text	Document Number	Alternate Numbering	UUID	Person ID	QUOTE_TRANSCRIPTION	Supplemental naming	TYPE	COMMENTS	LAT	LNG	TAGS	Unhandled Tags 2	Named by	Scribe	Principal	Witness	Dead	Gender
	HCM 326						PLACE											
	HCM 2200						PLACE											
	RBLR 1819						PLACE											
	RBLR 1607						PLACE											
	HCM 2050						PLACE											
	HCM 2137						PLACE											
	HCM 2470						PLACE											
	HCM 2593						PLACE				Given at							
	HCM 2710						PLACE				Given at							
	HCM 1729						PLACE											
	HCM 1656						PLACE											
	HCM 18						PLACE											
	HCM 1485						PLACE											
	HCM 1174						PLACE											
	HCM 123						PLACE											
	RBLR 1709	RBLR 1709, HCM 1046					PLACE				Given at							
	HCM 635						PLACE											
	HCM 2056						PLACE											
	HCM 945						PLACE											
	HCM 426						PLACE		54.971377	-2.740968								
	RBLR 1604	RBLR 1604, HCM 35					PLACE		54.971377	-2.740968								
	HCM 558						PLACE											
	HCM 2056						PLACE											
	HCM 375						PLACE											
	HCM 340						PLACE											
	HCM 325						PLACE											
	HCM 323						PLACE											
	HCM 1720						PLACE											
	HCM 66						PLACE											
	HCM 470						PLACE											
	HCM 186						PLACE											
	HCM 182						PLACE											
	HCM 82						PLACE											
	HCM 1221						PLACE											
	HCM 174						PLACE											
	HCM 395						PLACE											
	HCM 170						PLACE											
	RBLR 4902-em						PLACE											
	HCM 1583						PLACE											
	HCM 1898						PLACE											
	HCM 1623						PLACE											
	HCM 532						PLACE											
	HCM 2887						PLACE											
	HCM 746						PLACE											
	HCM 2873	RBLR 1103, HCM 2873					PLACE											
	RBLR 1103	RBLR 1103, HCM 2873					PLACE											
	HCM 151						PLACE											
	HCM 746						PLACE											
	RBLR 3604						PLACE											
	HCM 1335						PLACE											
	HCM 2169						PLACE											
	RBLR 4505						PLACE											
	HCM 1902						PLACE											
	HCM 1803						PLACE											
	HCM 1877						PLACE											
	HCM 1067						PLACE											
	HCM 1734						PLACE											
	RBLR 0801	RBLR 0801, HCM 1732					PLACE											
	HCM 1395						PLACE											
	HCM 2305						PLACE											
	HCM 1908						PLACE											
	HCM 1685						PLACE											
	HCM 1670						PLACE											
	HCM 2286						PLACE											
	HCM 1313						PLACE											
	HCM 2469-em						PLACE											
	HCM 2925						PLACE											
	HCM 2312						PLACE											
	HCM 1529						PLACE											
	HCM 349						PLACE											
	HCM 2100-em						PLACE											
	HCM 238						PLACE											
	HCM 666						PLACE											
	HCM 631						PLACE											
	HCM 1474						PLACE											
	HCM 686						PLACE											
	HCM 1621						PLACE											
	HCM 1621						PLACE											
	HCM 2886						PLACE											
	HCM 3180						PLACE											
	HCM 340						PLACE											
	HCM 398						PLACE											
	HCM 399						PLACE											
	HCM 63						PLACE											
	HCM 1881						PLACE											
	RBLR 1603	RBLR 1603, HCM 33					PLACE											
	HCM 290						PLACE											
	HCM 408						PLACE											
	HCM 2096-em						PLACE											
	HCM 2137						PLACE											
	HCM 2137						PLACE											
	HCM 2137						PLACE											
	HCM 2137						PLACE											
	RBLR 3604						PLACE											
	HCM 2137						PLACE											
	HCM 275						PLACE											
	HCM 651						PLACE											
	HCM 409						PLACE											
	HCM 287						PLACE											
	RBLR 1601	RBLR 1601, HCM 26					PLACE											
	HCM 339						PLACE											
	HCM 92						PLACE											
	HCM 378						PLACE											
	HCM 90						PLACE											
	HCM 1621						PLACE											
	RBLR 3601						PLACE											
	HCM 150						PLACE											
	HCM 2066						PLACE											
	HCM 39	RBLR 1804, HCM 39					PLACE											
	RBLR 1804	RBLR 1804, HCM 39					PLACE											
	HCM 946						PLACE											
	HCM 98						PLACE											
	HCM 99						PLACE											
	HCM 1300						PLACE											
	HCM 219						PLACE											
	HCM 201						PLACE											
	HCM 306						PLACE											
	HCM 181						PLACE											
	HCM 200						PLACE											
	HCM 183						PLACE											
	HCM 153						PLACE											
	HCM 242						PLACE											
	HCM 140						PLACE											
	HCM 209						PLACE											
	HCM 196						PLACE											
	HCM 361						PLACE											
	HCM 1752						PLACE											
	HCM 1611						PLACE											
	HCM 207						PLACE											
	RBLR 1001	RBLR 1001, HCM 61					PLACE											
	HCM 676						PLACE											
	HCM 203	RBLR 1106, HCM 203					PLACE											
	HCM 45						PLACE											
	RBLR 1106	RBLR 1106, HCM 203					PLACE											
	HCM 552						PLACE											
	HCM 1904						PLACE											
	HCM 1523						PLACE											
	HCM 2074						PLACE											
	HCM 355						PLACE											
	HCM 635						PLACE											
	HCM 307						PLACE											
	HCM 1877						PLACE											
	HCM 2053						PLACE											
	HCM 10						PLACE											
	HCM 2218						PLACE											
	HCM 2056						PLACE											
	HCM 2074						PLACE											
	HCM 1522						PLACE											
	HCM 1803						PLACE											
	HCM 638						PLACE											
	HCM 1723						PLACE											
	HCM 1527						PLACE											
	HCM 2095						PLACE											
	HCM 384						PLACE											
	HCM 383						PLACE											
	HCM 397						PLACE											
	HCM 533						PLACE											
	HCM 1247						PLACE											
	HCM 2055						PLACE											
	HCM 1750						PLACE											
	HCM 1073						PLACE											
	HCM 154						PLACE											
	HCM 246						PLACE											
	HCM 2183						PLACE											
	HCM 147						PLACE											
	RBLR 1736	RBLR 1736, HCM 41					PLACE											
	HCM 217						PLACE											
	HCM 25	RBLR 1910, HCM 25					PLACE											
	RBLR 1910	RBLR 1910, HCM 25					PLACE											
	RBLR 3108						PLACE											
	RBLR 3109						PLACE											
	HCM 1504						PLACE				Given at							
	HCM 508						PLACE											
	HCM 75						PLACE											
	HCM 2887						PLACE											
	HCM 746						PLACE											
	HCM 402						PLACE											
	HCM 413						PLACE											
	HCM 215						PLACE											
	HCM 48						PLACE											
	HCM 627						PLACE											
	HCM 624						PLACE											
	HCM 2248						PLACE											
	HCM 2020						PLACE											
	HCM 429						PLACE											
	HCM 77						PLACE											
	HCM 500						PLACE											
	HCM 111						PLACE											
	HCM 675						PLACE											
	HCM 1473						PLACE											
	HCM 104						PLACE											
	HCM 2057						PLACE											
	HCM 94						PLACE											
	HCM 341						PLACE											
	HCM 405						PLACE											
	HCM 93						PLACE											
	HCM 192						PLACE											
	HCM 386						PLACE											
	HCM 1974						PLACE											
	HCM 204						PLACE											
	HCM 507						PLACE											
	HCM 412						PLACE											
	HCM 1702						PLACE											
	HCM 1472						PLACE											
	HCM 139						PLACE											
	HCM 171						PLACE											
	HCM 218	RBLR 1107, HCM 218					PLACE											
	RBLR 1107	RBLR 1107, HCM 218					PLACE											
	HCM 178						PLACE											
	HCM 1862						PLACE											
	RBLR 0907	RBLR 0907, HCM 1733					PLACE											
	HCM 610						PLACE											
	HCM 610						PLACE											
	HCM 1621						PLACE											
	HCM 1621						PLACE											
	HCM 1621						PLACE											
	HCM 1621						PLACE											
	HCM 1621						PLACE											
	HCM 1746						PLACE											
	HCM 1621						PLACE											
	HCM 241						PLACE											
	HCM 119						PLACE											
	HCM 2137						PLACE				Given at							
	HCM 1320						PLACE											
	HCM 1320-em						PLACE		43.95159	4.80769	Given at							
	HCM 1443						PLACE		43.95159	4.80769	Given at							
	HCM 1445						PLACE		43.95159	4.80769	Given at							
	HCM 1711						PLACE		43.95159	4.80769	Given at							
	HCM 1822						PLACE		43.95159	4.80769	Given at							
	HCM 1858						PLACE		43.95159	4.80769	Given at							
	HCM 2270						PLACE		43.95159	4.80769	Given at							
	HCM 2838						PLACE		43.95159	4.80769	Given at							
	HCM 2995						PLACE		43.95159	4.80769	Given at							
	HCM 3003-em						PLACE		43.95159	4.80769	Given at							
	HCM 3004						PLACE		43.95159	4.80769	Given at							
	HCM 3007						PLACE				Given at							
	HCM 3013						PLACE		43.95159	4.80769	Given at							
	HCM 3014						PLACE		43.95159	4.80769	Given at							
	HCM 565						PLACE		43.95159	4.80769	Given at							
	RBLR 1816						PLACE				Given at (suggested)							
	RBLR 4301	RBLR 4301, HCM R97					PLACE		43.95159	4.80769	Given at							
	RBLR 4302						PLACE		43.95159	4.80769	Given at							
	RBLR 4501						PLACE		43.95159	4.80769	Given at							
	RBLR 4901						PLACE		43.95159	4.80769	Given at							
	RBLR 5001						PLACE		43.95159	4.80769	Given at							
	RBLR 5002						PLACE		43.95159	4.80769	Given at							
	RBLR 5003						PLACE		43.95159	4.80769	Given at							
	RBLR 5105						PLACE		43.95159	4.80769	Given at							
	HCM 1816						PLACE				Given at							
	HCM 2998						PLACE		43.95159	4.80769	Given at							
	HCM 2994						PLACE				Given at							
	HCM 1872						PLACE											
	HCM 1074						PLACE											
	HCM 735						PLACE											
	HCM 1311						PLACE											
	HCM 224						PLACE											
	HCM 425						PLACE											
	HCM 760						PLACE											
	HCM 1194						PLACE				Given at							
	HCM 1193						PLACE				Given at							
	HCM 3155						PLACE				Given at							
	HCM 2887						PLACE				Given at							
	RBLR 1742						PLACE											
	HCM 1075						PLACE											
	RBLR 2902						PLACE				Given at							
	RBLR 2903	RBLR 2903, HCM R77					PLACE				Given at							
	HCM 1924						PLACE				Given at							
	HCM 536						PLACE				Given at (suggested)							
	HCM 538						PLACE				Given at							
	HCM 1441						PLACE		44.834764	-0.573687	Given at							
	HCM 1005	RBLR 1713, HCM 1005					PLACE		51.0097	4.36303	Given at							
	HCM 1049						PLACE				Given at							
	HCM 1054						PLACE				Given at							
	HCM 1055						PLACE				Given at							
	HCM 1061						PLACE				Given at							
	HCM 1063						PLACE				Given at							
	HCM 1065						PLACE				Given at							
	HCM 1507.C.						PLACE				Given at							
	HCM 1931						PLACE				Given at							
	HCM 1975						PLACE				Given at							
	HCM 2151						PLACE				Given at							
	HCM 2257						PLACE				Given at							
	HCM 2878						PLACE				Given at							
	HCM 491						PLACE				Given at							
