Common Name	QUOTE_TRANSCRIPTION	LAT	LNG	TAGS	COMMENTS
.....wring	.....wring			Nominative	???
Acle	Acle	52.63681	1.54757	Nominative	
Ailyneton	Ailyneton;Ailyneton'			Nominative	
Aka	Aca;Ak';Aka,			Nominative	Rock, near Droitwich, in Worcestershire, Aka? (i.e. Rock, Worcestershire?)
Almalia	Almalia			Nominative	
Annaghdown (Enachdunensis)	Annaghdown (Enachdunensis)			Nominative	
Aqua Blanca	Aqua Blanca;Aqua blanca;Aqua Blanca;Aqua Blanca,;Aqua Blank'			Nominative	
Aran	Aran			Nominative	
Aschtun	Aschtun			Nominative	
Avene	Avene			Nominative	
Aylineston	Aylineston;Aylyneston’			Nominative	
Badelesmere	Badelesmere			Nominative	
Bekynham	Bekynham	51.40878	-0.02526	Nominative	
Bere	Bere			Nominative	
Bleegh(?)	Bleegh(?)			Nominative	
Bole	Bole	25.83892	104.11952	Nominative	
Boyfelde	Boyfelde			Nominative	
Braumford'	Braumford'			Nominative	
Breghenok	Breghenok			Nominative	
Bristol	Bristol;Bristoll;Bristoll';Bristollia	51.45523	-2.59665	Nominative	Bristol
Bruneshope	Bruneshop;Bruneshope;Brunsope			Nominative	
Bykenor	Bykenor			Nominative	
Calewe	Calewe	52.01667	-2.73333	Nominative	
castro Godrici	castro Godrici			Nominative	Goodrich Castle
Catfeld	Catfeld			Nominative	
Charleton	Cherlton			Nominative	Charleton?
Cirecestr'	Cirecestr'	51.71927	-1.97145	Nominative	Cirenchester
Cirescester	Cirescestre			Nominative	Cirenchester?
Clehonger	Clehonger;Clehungre			Nominative	
Clifford	Clifford	52.1	-3.1	Nominative	
Clyntone	Clyntone			Nominative	
Colewall	Colewall;Colewall’			Nominative	
Comminges	Cominges;Comminges			Nominative	
Corston	Corston'	51.385	-2.44028	Nominative	
crose	crose			Nominative	
de la Boxe	de la Boxe			Nominative	
Eastnor	Estenouere;Estenovere			Nominative	Eastnor, near Ledbury, Eastnor, near Ledbury?
Eign Street	Yeygne			Street|Nominative	Eign Street, in Hereford
England	England			Nominative	
