Id	TYPE	Document Number	Doc_Year	QUOTE_TRANSCRIPTION	VOCAB_LABEL	LAT	LNG	Place_Type	Person_Gender	TAGS	Person_Named by	Role	Person_Job	COMMENTS
Abbot of Wygemore, collector of the fifteenth in the archdeaconry of Salop	PERSON	HCM 2593	1308	Abbot of Wygemore, collector of the fifteenth in the archdeaconry of Salop						Office|Principal	Office	Principal		
a certain shop, formerly belonging to Richard le tailour de Lugwardin	PLACE	HCM 1485	circa 1314	a certain shop, formerly belonging to Richard le tailour de Lugwardin				Building		Building				
Acle	PLACE	HCM 1736	1305	Acle	Acle	52.63681	1.54757			Nominative		Nominative		
Adam	PERSON	HCM 1366, HCM 1367	1317	Adam						Principal			bishop of Hereford	
Adam called le Turnur de Staunton	PERSON	HCM 559	1315/6	Adam called le Turnur de Staunton						Principal				
Adam de Barewe	PERSON	HCM 2665	1305	Adam de Barewe						Principal			clerk of the dean and chapter of Hereford	
Adam de Colewalle	PERSON	HCM 119	1308	Adam de Colewalle						Witness		Witness		
Adam de Orletone	PERSON	HCM 773	1311/2	Adam de Orletone						Principal			clerks	
Adam de Sned	PERSON	HCM 589	1311	Adam de Sned						Witness		Witness		
Adam de Wyghtfeld	PERSON	HCM 186	1309/10	Adam de Wyghtfeld						Principal				
Adam Hwyty	PERSON	HCM 2879, HCM 755	1317	Adam Hwyty, Adam Whyty						Witness		Witness		
Adam Knoyl	PERSON	HCM 1311	1314	Adam Knoyl										
Adam le Porter, bailiff of the fee	PERSON	HCM 174	1312	Adam le Porter, bailiff of the fee						Witness		Witness		
Adam Murimouth	PERSON	HCM 2995	circa 1317	Adam Murymouth						Principal				
Adam Orleton	PERSON	HCM 1368, HCM 1443	1317, 1306	Adam, the proctor						Principal, Office	Office			Adam Orleton
Adam Scheld	PERSON	HCM 2874	1312	Adam Scheld						Principal				
Adam son of William de Dunre	PERSON	HCM 2226	1308	Adam son  of Williem of the same						Principal				that is, Adam (de Dunre) son of William de Dunre
Agnes, wife of William son of John de la More	PERSON	HCM 564	1315/6	Agnes					Woman	Principal				Wife of William son of John de la More
Alan Plotemo	PERSON	HCM 1703	1317	Alan Plotemo						Witness		Witness		
Albriton	PLACE	HCM 623	1309	Albriton	Albrighton	52.6364	-2.27966			Nominative		Nominative	Commissioner	
Alfredus	PERSON	HCM 1438, HCM 1438	1309	Alfredus, chaplain						Executor|Principal, Office	Office	Principal	executors of the will of magister Philipp Talebot	
Alice	PERSON	HCM 1657, HCM 1736, HCM 196	1310/11, 1305, 1316	Alice						Executor|Principal, Principal		Principal		
Alice de la Halle	PERSON	HCM 1247	1315	Alice						Principal				Alice = Alice de la Halle
Almalia	PLACE	HCM 1417	1305	Almalia						Nominative		Nominative		
Alyna, wife of Richard Berde de Ledbury	PERSON	HCM 1751	1305	Alyna					Woman	Principal				wife of Richard Berde de Ledbury
Annaghdown (Enachdunensis)	PLACE	HCM 2872	1310/11	Annaghdown (Enachdunensis)						Nominative		Nominative		
Anselm	PERSON	HCM 2246	1312	Anselm						Dead			dean of Hereford	
Aqua Blanca	PLACE	HCM 186, HCM 2072, HCM 2463, HCM 2870, HCM 2871, HCM 758	1309/10, 1317, 1309/10, 1306, 1306/7, 1314	Aqua Blanca, Aqua blanca, Aqua Blanca, Aqua Blanca,, Aqua Blanca, Aqua Blank'						Nominative		Nominative		
Aran	PLACE	HCM 1439, HCM 1441, HCM 1442	1308, 1305, 1306	Aran	Arán (Spain)					Nominative		Nominative		
Arleye Kings	PLACE	HCM 1504	1309/10	Arleye						Given at		Given at		Areley Kings, Worcestershire? (sp?)
Arnald le Clover	PERSON	HCM 2874	1312	Arnald le Clover						Witness		Witness	citizens	
Aschtun	PLACE	HCM 1485	circa 1314	Aschtun						Nominative		Nominative		
a son of Stephen de Buterleye, lord of Buterleye	PERSON	HCM 2145	1309	a son of Stephen de Buterleye, lord of Buterleye						Office	Office			
Avene	PLACE	HCM 1780	1311	Avene						Nominative		Nominative		
Avignon	PLACE	HCM 1443, HCM 2995	1306, circa 1317	Avignon	Avignon (Papal city), Avennio|Avennio, Avignon|Avignon	43.95159	4.80769			Given at		Given at		
