Common Name,QUOTE_TRANSCRIPTION,TAGS,COMMENTS,OS Number,Lat,Long
Abbey of Wigmore,the abbey of Wygemore,Given at,,SO 41185 71342,52.33700,-2.86463
"Aberavon, Glamorgan",Avene,Nominative,,SS 75270 89823,51.59341,-3.80202
"Aigueblanche, Savoie, France","Aqua Blanca;Aqua blanca;Aqua Blanca;Aqua Blanca,;Aqua Blank'",Nominative,"I don't know that Dean John de Aqua Blanca was himself from Savoie; likelier, from the family / line of prominent Aigueblanche's connected with Hereford",,45.50170,6.51030
"Almeley, Herefordshire",Almalia,Nominative,,SO 33671 51625,52.15891,-2.97102
"Annaghdown, Ireland",Annaghdown (Enachdunensis),Nominative,,,53.38872,-9.07081
"Aran Islands, Ireland",Aran,Nominative,Chain of islands,,53.11667,-9.70000
"Arley Kings, Worcestershire",Arleye,Given at,,SO 80203 70752,52.33449,-2.29196
"Ashton, Herefordshire",Aschtun,Nominative,"probably Ashton, Herefordshire; but could be Aston Ingham, Herefordshire (though that is more often Eston in docs)",SO 51702 64179,52.27364,-2.70926
Avignon,Avignon,Given at,,,43.95000,4.80750
"Aylton, Herefordshire",Ailyneton;Ailyneton',Nominative,,SO 65883 37742,52.03703,-2.49878
"Badlesmere, Kent",Badelesmere,Nominative,,TR 01017 54032,51.25003,0.87903
"Beckenham, London",Bekynham,Nominative,,TQ 36999 68999,51.40348,-0.03183
"Bermondsey, London",Bermundeseye,Given at,probably Bermondsey Abbey; in 1353 Edward III builds a manor house by the Thames there ,TQ 33298 79346,51.49735,-0.08110
"Berrow, Worcestershire",Bere,Nominative,"Berrow, Worcester (Barwe, La Baruwe, Barwe, etc)",SO 79399 34429,52.00791,-2.30154
"Bishop's Chapel of St Katherine and St Mary Magdalene, Bishop's Palace at Hereford",M'ndene,Nominative,"related to John de Magdalena, VC of Hereford; name appears to connect him to the Bishop's Chapel (now lost) of St Katherine and St Mary Magdalene, on the grounds of the Bishop's palace",SO 50997 39826,52.05464,-2.71606
Bishop's Cleeve,Cleeve,Given at,"Bishop's Cleeve, Gloucestershire?; estate was owned by Bps of Worcester; lots of mentions in WRO; near Cleeve Hill, highest point in Cotswolds",SO 96046 27622,51.94709,-2.05894
"Blockley, Gloucestershire",Blockley,Given at,https://en.wikipedia.org/wiki/Blockley ?,SP 16332 34812,52.01151,-1.76346
Bole,Bole,Nominative,,SK 79153 87078,53.37465,-0.81170
