"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"014e2248-b3d3-4254-bbdb-b39a0be9610f","HCM_3165.txt","Hugh de Thornhagh","char-offset:72","PERSON","","","","","","","","Scribe",""
"00a596eb-69bd-4007-b92a-449a9d3c5a36","HCM_3165.txt","York","char-offset:116","PLACE","http://sws.geonames.org/2633352","York","","53.95763","-1.08271","","VERIFIED","",""
"2f98aa35-048d-437e-bae4-8d4a10925ced","HCM_3165.txt","Roger","char-offset:162","PERSON","","","","","","","","Principal","Roger Rikeman"
"ce899fe9-bcf8-48e0-a456-9febb544564c","HCM_3165.txt","Rikeman","char-offset:175","PERSON","","","","","","","","Principal","Roger Rikeman"
"de56de90-dcb7-4f94-aa5b-1479e4e514fb","HCM_3165.txt","Bartholomew de Batelesmere","char-offset:205","PERSON","","","","","","","","",""
"bc577aaf-63c9-436f-90c4-b8144af22bb2","HCM_3165.txt","knight","char-offset:233","","","","","","","","","job",""
"aafd8152-ff5d-41c7-a34f-db6f9241417a","HCM_3165.txt","dean and chapter of Hereford","char-offset:250","PERSON","","","","","","","","Collective",""
"a37f6aa3-ddad-413f-85ad-4c13c99c613a","HCM_3165.txt","Hereford","char-offset:270","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","",""
"84857f1d-d3dc-46b0-8a59-d868557f0251","HCM_3165.txt","Pope Clement V","char-offset:340","PERSON","","","","","","","","",""
"1a400eda-c79b-41cb-8e00-b48c43f52004","HCM_3165.txt","Edward II","char-offset:363","PERSON","","","","","","","","",""
"74a9158e-9bca-4ccd-8c88-d39d4d42b367","HCM_3165.txt","Bartholomew","char-offset:444","PERSON","","","","","","","","",""
"ca1fdd01-8aa6-4aeb-a4b3-29661027ba5a","HCM_3165.txt","Roger","char-offset:493","PERSON","","","","","","","","principal|Principal","Roger Rikeman"
"42485772-42f6-4e0f-a21d-1374846c4c59","HCM_3165.txt","chapter-house of the cathedral church of Hereford.","char-offset:506","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","building",""
"cd385b5b-1062-469f-9077-fb72ba681822","HCM_3165.txt","Hereford","char-offset:547","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","",""
"1f9aa063-6315-4d2c-9c3f-0006fa25c57b","HCM_3165.txt","Robert de Byford","char-offset:576","PERSON","","","","","","","","Witness",""
"081ae8a0-946f-44ea-b4d7-19f927aa53e1","HCM_3165.txt","Ranulph de Evesham","char-offset:595","PERSON","","","","","","","","Witness",""
"bcd826b8-2eec-4fa3-97fc-2644c184a956","HCM_3165.txt","Walter de la Bache","char-offset:618","PERSON","","","","","","","","Witness",""
"04ef34c5-a1c8-4bfa-a802-d560ca474073","HCM_3165.txt","vicars","char-offset:638","","","","","","","","","job",""
"3f7d14d4-ddfe-4d29-a2b2-a11101ef9cd7","HCM_3165.txt","Hereford","char-offset:662","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","",""
"66529fb9-4897-4a2e-ba73-b35226b2a751","HCM_3165.txt","Latin","char-offset:672","","","","","","","","","language",""
"d1016c19-2539-463a-b709-94f4d2fe67a8","HCM_3165.txt","illegible except under ultra-violet rays","char-offset:679","","","","","","","","","material feature",""
"53426d5f-60f4-4398-9157-c60ad2213963","HCM_3162.txt","John","char-offset:81","PERSON","","","","","","","","Scribe","John Bouhs"
"63ef0e57-b7e4-42b6-9b33-0212180e2ef2","HCM_3162.txt","Bouhs","char-offset:93","PERSON","","","","","","","","Scribe","John Bouhs"
"b6787b5a-71f9-4696-a9b9-77b24df62a7a","HCM_3162.txt","London","char-offset:102","PLACE","http://sws.geonames.org/2643743","London","","51.50853","-0.12574","","VERIFIED","",""
"0db11980-b0a4-4578-a4cc-288ed574708d","HCM_3162.txt","Pope Clement V","char-offset:149","PERSON","","","","","","","","",""
"4b6526f9-cdf2-4d12-9fcc-687cd9274b2c","HCM_3162.txt","W.","char-offset:177","PERSON","","","","","","","","Principal",""
"b0849658-8e32-42e9-a6cc-88891e02ba5f","HCM_3162.txt","bishop","char-offset:181","","","","","","","","","job",""
"74408e15-0a76-4a13-b060-29ea97b4e933","HCM_3162.txt","Coventry","char-offset:191","PLACE","http://sws.geonames.org/2652221","Coventry","","52.40656","-1.51217","","VERIFIED","",""
"a88a3cc5-b815-465e-b26a-db9bfc13f3c2","HCM_3162.txt","Lichfield","char-offset:204","PLACE","http://sws.geonames.org/2644531","Lichfield","","52.68154","-1.82549","","VERIFIED","",""
"827d0b1e-5e04-4715-9588-f5b477ed3292","HCM_3162.txt","Edward I","char-offset:258","PERSON","","","","","","","","",""
"1e681ee1-0acf-4be4-b32e-7020108d03de","HCM_3162.txt","Flanders","char-offset:348","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"f6b6f27a-b773-471d-942b-8ce617c4f218","HCM_3162.txt","Lyons","char-offset:414","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"36db6b70-9511-49a8-a598-f514f447f71a","HCM_3162.txt","W.","char-offset:465","PERSON","","","","","","","","principal|Principal",""
"d16b9927-5e83-461a-abc5-f1d8dd5ed2dc","HCM_3162.txt","bishop","char-offset:469","","","","","","","","","job",""
"979bbad5-7cb4-4734-973b-20468385c10b","HCM_3162.txt","Coventry","char-offset:479","PLACE","http://sws.geonames.org/2652221","Coventry","","52.40656","-1.51217","","VERIFIED","",""
"0b02ca4a-e3aa-4fae-874b-e7d7bffc1f6b","HCM_3162.txt","Lichfield","char-offset:492","PLACE","http://sws.geonames.org/2644531","Lichfield","","52.68154","-1.82549","","VERIFIED","",""
"cebdf172-6920-4184-beb5-fdc0d7ae36ee","HCM_3162.txt","dean and chapter of Hereford","char-offset:516","PERSON","","","","","","","","Collective",""
"562233ee-ffc7-466f-b558-e9528cd8d70a","HCM_3162.txt","Hereford","char-offset:536","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","",""
