"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"d202fd0b-920e-4d1b-b139-095905bcba2b","HCM_2878.txt","John de Kemes","char-offset:98","PERSON","","","","","","","","",""
"b17e74d8-608b-4962-9dba-881857becf17","HCM_2878.txt","treasurer of Hereford","char-offset:114","","","","","","","","","Office",""
"97a7f0fd-8a29-4a3d-8de9-f3ecc2ab3c58","HCM_2878.txt","Hereford","char-offset:127","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"85de980d-dc33-43bf-8ef5-7c5c7b1d4173","HCM_2878.txt","Willion Vallet","char-offset:148","PERSON","","","","","","","","",""
"3060ae62-da6a-4df8-bf4d-276b4fc5b25a","HCM_2878.txt","vicar in the church of Hereford","char-offset:164","","","","","","","","","Office",""
"57b3cc95-08b7-4b9e-bd31-0d6593ca96e0","HCM_2878.txt","Hereford","char-offset:187","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","",""
"0dfbe57d-edb5-4465-adab-6bdaaacf6e88","HCM_2878.txt","Bosebur","char-offset:240","PLACE","","","","","","","NOT_IDENTIFIABLE","Given at",""
"64b2b9fd-fd97-4858-a0ef-2d2766782831","HCM_2878.txt","Latin","char-offset:250","","","","","","","","","Language",""
"de2687bc-aaf8-49e0-9306-9e17b9b8275c","HCM_2877.txt","sub-dean of Hereford","char-offset:106","","","","","","","","","Office",""
"8901cbb5-66c9-4e39-ab0c-0db059dc07be","HCM_2877.txt","Hereford","char-offset:118","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","",""
"e32fb561-03b3-4abb-8cea-06cd201103d3","HCM_2877.txt","Hereford","char-offset:173","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","",""
"b542b572-4660-4039-a363-d82b8c11f944","HCM_2877.txt","Thomas de Ayleston","char-offset:186","PERSON","","","","","","","","Principal",""
"268945ba-f912-4da2-bd68-de3581393033","HCM_2877.txt","Hereford","char-offset:218","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","",""
"107e7f7b-a20d-46b9-8299-063cd7acabd4","HCM_2877.txt","Hugh de Monyton","char-offset:341","PERSON","","","","","","","","",""
"dfa5ef48-99b3-4cac-a71a-b278c9dd2661","HCM_2877.txt","Hereford","char-offset:378","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","",""
"dec41e09-d996-4237-96fa-c163c3ebe7f8","HCM_2877.txt","Latin","char-offset:426","","","","","","","","","Language",""
"7289c5eb-4f25-4a14-bebf-b73e4357b030","HCM_2877.txt","Broken seal","char-offset:433","","","","","","","","","Material feature",""
"a308d99b-a844-4c0e-9b4a-099afac7e65c","HCM_2879.txt","John de Sevenak","char-offset:68","PERSON","","","","","","","","Principal",""
"b13c6bc6-64bb-48d1-a8b0-20bd479e76af","HCM_2879.txt","John de Kemeseye","char-offset:97","PERSON","","","","","","","","",""
"beee84f3-d1fa-476e-b50c-20eef306a91c","HCM_2879.txt","treasurer in the church of St. Ethelbert of Hereford","char-offset:115","","","","","","","","","Office",""
"052d1aef-f33e-45f3-a06d-79831f9f8eb3","HCM_2879.txt","Hereford","char-offset:159","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","",""
"5065f1c9-a0b3-46e8-9480-abf10bb515ef","HCM_2879.txt","five acres of arable land","char-offset:180","","","","","","","","","Property",""
"b46c424a-6431-4b92-8fd2-f5cbf273b137","HCM_2879.txt","Chyrchebroynton","char-offset:209","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"267ba7e5-6779-48c5-890b-4def98ef9342","HCM_2879.txt","John Toky","char-offset:236","PERSON","","","","","","","","",""
"9da66961-ce09-4c13-9a2a-1e519aad80a8","HCM_2879.txt","magister","char-offset:256","","","","","","","","","Office",""
"dbc05069-f5d2-49f6-bd5d-8ba49799c92a","HCM_2879.txt","Roger de Sevenak","char-offset:265","PERSON","","","","","","","","",""
"ceaa29e4-081b-4c7d-813e-be54b06e27a9","HCM_2879.txt","canon of Hereford","char-offset:293","","","","","","","","","Office",""
"7662250c-5d2d-4ae4-8bbd-45d05b123d60","HCM_2879.txt","Hereford","char-offset:302","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","",""
"b1193680-61de-44f9-a955-4bee148d3e2f","HCM_2879.txt","Roger de Sevenak","char-offset:328","PERSON","","","","","","","","",""
"c5113d94-fa14-4d46-9a8b-44a1c1e2279f","HCM_2879.txt","Hereford","char-offset:379","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"11c4253d-e388-47e6-9da1-8b101241419f","HCM_2879.txt","William de Stretton","char-offset:400","PERSON","","","","","","","","Witness",""
"439612a4-7fe7-4f5f-a84c-6607fa3c5033","HCM_2879.txt","John de Brugge","char-offset:422","PERSON","","","","","","","","Witness",""
"55a88994-6394-4564-b48c-bbf350a45320","HCM_2879.txt","Gilbert Ives","char-offset:438","PERSON","","","","","","","","Witness",""
"27909df2-aa7f-4520-a517-a661d2cd59c8","HCM_2879.txt","Hugh le Schypward","char-offset:452","PERSON","","","","","","","","Witness",""
"dbac9f1a-b943-441b-bd64-5029c314bc57","HCM_2879.txt","William de Byspewalle","char-offset:471","PERSON","","","","","","","","Witness",""
"520905a9-959f-4a8b-a8f1-4a6f5b13bec2","HCM_2879.txt","Adam Hwyty","char-offset:494","PERSON","","","","","","","","Witness",""
