"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"51ce8f74-6871-4f3f-8d91-a0fd46fb4937","HCM_1679.txt","John","char-offset:97","PERSON","","","","","","","","",""
"6a8854f2-c9ac-4a3b-b94c-745d2d854b46","HCM_1679.txt","abbot","char-offset:103","","","","","","","","","Job",""
"5e8d4aa5-b2b1-4242-8848-c0094f049997","HCM_1679.txt","St. Peter","char-offset:112","PLACE","http://sws.geonames.org/2648404","Gloucester","","51.86568","-2.2431","","VERIFIED","",""
"e6797314-4c84-46f2-be03-954b6a217924","HCM_1679.txt","Gloucester","char-offset:125","PLACE","http://sws.geonames.org/2648404","Gloucester","","51.86568","-2.2431","","VERIFIED","",""
"d5f55328-c5e4-4064-aa2f-6533fe9af190","HCM_1679.txt","John Bele de Wydyngdon","char-offset:175","PERSON","","","","","","","","Principal",""
"88ef0aab-4b6d-46ea-8376-2695db9c397e","HCM_1679.txt","Cubberleye","char-offset:294","PLACE","","","","","","","NOT_IDENTIFIABLE","","Camberley?"
"b48aaaf6-850b-4bd4-a881-8dec4370a87d","HCM_1679.txt","John le Panyter","char-offset:311","PERSON","","","","","","","","",""
"610c479a-904f-4507-a93f-edd299f7129b","HCM_1679.txt","John Bele","char-offset:395","PERSON","","","","","","","","",""
"9ba54dd2-5f80-465c-a3a4-bdb6a4c092aa","HCM_1679.txt","Gloucester","char-offset:747","PLACE","http://sws.geonames.org/2648404","Gloucester","","51.86568","-2.2431","","UNVERIFIED","",""
"4d776689-f7bc-4c83-a560-ee9f7f425d9d","HCM_1679.txt","Latin","char-offset:759","","","","","","","","","Language",""
"9b917993-c56d-46cb-91f0-0491f743e42a","HCM_1657.txt","Alice","char-offset:108","PERSON","","","","","","","","Executor|Principal",""
"7735949c-7136-47ed-8f28-825abba4b42c","HCM_1657.txt","Thomas Le Brut","char-offset:124","PERSON","","","","","","","","Dead",""
"c1d06719-5f8a-4657-bbe3-cff72be96aec","HCM_1657.txt","Pychenecombe","char-offset:142","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"665ac809-15bf-4caf-9118-968d921a2727","HCM_1657.txt","John","char-offset:159","PERSON","","","","","","","","Principal",""
"596381b2-ae8b-4ee2-9b64-017f2512b83c","HCM_1657.txt","abbot","char-offset:165","","","","","","","","","Job",""
"4632ad71-ce8f-4d5d-a877-f82bf8c9c441","HCM_1657.txt","St. Peter","char-offset:174","PLACE","http://sws.geonames.org/2648404","Gloucester","","51.86568","-2.2431","","VERIFIED","",""
"fc953a10-e003-4ff0-9f94-4c4fa39969dd","HCM_1657.txt","Gloucester","char-offset:187","PLACE","http://sws.geonames.org/2648404","Gloucester","","51.86568","-2.2431","","VERIFIED","",""
"619e3051-0716-4f03-b7d5-467327176cc5","HCM_1657.txt","Thomas le Brut","char-offset:403","PERSON","","","","","","","","",""
"b0df9424-5c73-4096-adad-9e52b10fc4cd","HCM_1657.txt","Pychenecombe","char-offset:444","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"b631a142-abd5-40f8-828c-9810b2ea41f3","HCM_1657.txt","Stanedichss","char-offset:467","PLACE","","","","","","","NOT_IDENTIFIABLE","Given at",""
"5a9f1797-17c4-4f97-960b-9617d7a21edb","HCM_1657.txt","William de Clifford","char-offset:491","PERSON","","","","","","","","Witness",""
"1d59ff52-fa65-43d1-8bc4-abd673e6fcfd","HCM_1657.txt","Clifford","char-offset:502","PLACE","http://sws.geonames.org/2652844","Clifford","","52.1","-3.1","","VERIFIED","Nominative",""
"8de32977-9b53-4352-8042-9eaf5580864c","HCM_1657.txt","Stephen de Masyntone","char-offset:512","PERSON","","","","","","","","Witness",""
