"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"f2cf29ee-1241-4351-b60d-af23dcc5e500","HCM_1442.txt","bishops of Mende and London","char-offset:31","PERSON","","","","","","","","Office|Collective|Principal",""
"bdd2ac81-8fef-4637-ac77-cf455e1d1053","HCM_1442.txt","Mende","char-offset:42","PLACE","http://geo-kima.org/place/13998","Mende (France)","","","","","VERIFIED","Nominative",""
"fa84fa49-c8d5-4548-90ed-2fd00f857c86","HCM_1442.txt","London","char-offset:52","PLACE","http://sws.geonames.org/2643743","London","","51.50853","-0.12574","","VERIFIED","Nominative",""
"3fbe9f43-6f1c-4b7e-86b1-d580df198b29","HCM_1442.txt","William","char-offset:64","PERSON","","","","","","","","Principal",""
"101abfcf-06f9-4b5b-a4f5-456d26a6db67","HCM_1442.txt","archdeacon of Aran in the church of Comminges, papal chaplain and envoy in England","char-offset:73","","","","","","","","","Office",""
"0f7e17d3-ac33-4ef8-8d0f-876a7e364c81","HCM_1442.txt","Aran","char-offset:87","PLACE","http://geo-kima.org/place/14007","Arán (Spain)","","","","","VERIFIED","Nominative",""
"d0dbd39c-0d83-4db7-bfa9-3196106a67c3","HCM_1442.txt","Comminges","char-offset:109","PLACE","http://geo-kima.org/place/14765","Saint-Bertrand-de-Comminges (France)","","","","","VERIFIED","Nominative",""
"4e5fb75b-b010-4b9e-a64f-47f6d8d3d90f","HCM_1442.txt","England","char-offset:148","PLACE","http://sws.geonames.org/6269131","England","","","","","VERIFIED","",""
"66775277-fb0d-4c1a-aed3-39dfa92448ce","HCM_1442.txt","the Pope","char-offset:170","PERSON","","","","","","","","Office",""
"a06150eb-c1f8-4bcc-8cbf-9f783c3680b7","HCM_1442.txt","he miracies attributed to Thomas de Cantilupo","char-offset:196","EVENT","","","","","","","","",""
"1666f889-955c-4e4e-95fd-fb81833e503d","HCM_1442.txt","Thomas de Cantilupo","char-offset:222","PERSON","","","","","","","","Dead",""
"2560a9cc-b718-436f-80be-d85df35bfd8e","HCM_1442.txt","bishop of Hereford","char-offset:252","","","","","","","","","Office",""
"6014fa8e-8d14-4005-8008-644763182328","HCM_1442.txt","the archbishops and bishops of England, their administrators and officials.","char-offset:299","PERSON","","","","","","","","Collective|Office|Principal",""
"7d5fc476-6f75-4095-8c34-223d385d6246","HCM_1442.txt","England","char-offset:330","PLACE","http://geo-kima.org/place/12708","England","","","","","VERIFIED","Nominative",""
"2d1e9506-e63f-4981-a04e-bf0aeb3ee5eb","HCM_1442.txt","the said de Cantilupo","char-offset:512","PERSON","","","","","","","","Dead","Thomas de Cantiljupe"
"9e92cffd-ca49-45f7-95a2-e0bceaffe6a0","HCM_1442.txt","a sentence of excommunication","char-offset:545","EVENT","","","","","","","","",""
"da12d5d3-31b1-4a81-ad6d-e5e9f4c621b3","HCM_1442.txt","the bishops","char-offset:654","PERSON","","","","","","","","Collective|Office","of England"
"55992b31-e2ea-4dd3-b7a9-6b9345f3f202","HCM_1442.txt","Thomas de Cantilupo","char-offset:852","PERSON","","","","","","","","Dead",""
"ce77e295-bde7-49b2-b792-e17e125cb1fb","HCM_1442.txt","the commissioners","char-offset:906","PERSON","","","","","","","","Collective|Office","that is, the Bishops of Mende and London"
"acacc0c0-d4c6-4bfa-9c50-13bf2d23fab6","HCM_1442.txt","the chapter-house the cathedral church of London","char-offset:927","PLACE","http://mapoflondon.uvic.ca/STPA2.htm","St. Paul’s Cathedral","","51.513741698095345","-0.098465147372751","","VERIFIED","Building",""
