"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"8480276b-9614-4377-9260-10ea41bd3e3b","HCM_2718.txt","Robert de Cotinton, clerk of the dean and chapter of Hereford","char-offset:25","PERSON","","","","","","","","Principal",""
"1b3f9056-4cee-42db-8bf0-87d208d4bace","HCM_2718.txt","Cotinton","char-offset:35","PLACE","","","","","","","UNVERIFIED","Nominative",""
"edc714e3-26e5-4981-8485-05ff4499001e","HCM_2718.txt","clerk of the dean","char-offset:45","","","","","","","","","Job",""
"826206c7-f244-45d6-bb43-2cd041313210","HCM_2718.txt","dean and chapter of Hereford","char-offset:58","PERSON","","","","","","","","Collective",""
"c3628de5-22a9-497a-aae1-951382c2cec5","HCM_2718.txt","Hereford","char-offset:78","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","",""
"89fb7f4c-5666-432c-a0b4-c56f54910e90","HCM_2718.txt","Dean and chapter of Hereford","char-offset:91","PERSON","","","","","","","","Collective|Principal",""
"52158786-49b0-4c7c-910f-64603042003c","HCM_2718.txt","Hereford","char-offset:111","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","",""
"7ea7ebae-daab-4b73-a5f8-7e0792d33227","HCM_2718.txt","William the Young","char-offset:143","PERSON","","","","","","","","Scribe",""
"f30d4c22-fa84-4ac7-9ef3-4bc03055890f","HCM_2718.txt","Hereford","char-offset:274","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"a7eef5e0-29d1-43f0-aa54-69b7de2959cb","HCM_2718.txt","Latin","char-offset:284","","","","","","","","","Language",""
"69da7fe8-a399-413a-ad02-dff35b31ba05","HCM_2717.txt","Bishops","char-offset:32","","","","","","","","","Job",""
"a3baaae7-1c05-4dd2-8202-684ef0f1df40","HCM_2717.txt","Bishops of Lincoln and London","char-offset:32","PERSON","","","","","","","","Collective|Principal",""
"94bf4e0d-e883-4a83-9c68-c7b0e1079a2e","HCM_2717.txt","Lincoln","char-offset:43","PLACE","http://sws.geonames.org/2644487","Lincoln","","53.22683","-0.53792","","VERIFIED","",""
"cb4ccf40-25a4-475b-8aef-5c667bd7ccb1","HCM_2717.txt","London","char-offset:55","PLACE","http://sws.geonames.org/2643743","London","","51.50853","-0.12574","","VERIFIED","",""
"41950fc7-11bb-41ce-8f2a-12e40abbcc42","HCM_2717.txt","collectors","char-offset:73","","","","","","","","","Job",""
"4c62d935-6427-4701-b221-0a2010828d9a","HCM_2717.txt","England","char-offset:100","PLACE","http://geo-kima.org/place/12708","England","","","","","VERIFIED","",""
"3bfec2f9-2281-449e-84cb-5aebe3d9b1f0","HCM_2717.txt","Scotland","char-offset:109","PLACE","http://sws.geonames.org/2638360","Scotland","","","","","VERIFIED","",""
"7cc4031c-1348-4716-a66a-0f46ab5674ed","HCM_2717.txt","Ireland","char-offset:119","PLACE","http://geo-kima.org/place/7885","Ireland","","","","","VERIFIED","",""
"e0c33990-fdac-40c9-9264-32242c815a39","HCM_2717.txt","Wales","char-offset:131","PLACE","http://sws.geonames.org/2634895","Wales","","","","","VERIFIED","",""
"f0c561fa-86c8-4792-9511-999dd71d74bd","HCM_2717.txt","Pope Clement V","char-offset:182","PERSON","","","","","","","","",""
"ec758f35-cc18-4e72-a24b-d0ba00e584e4","HCM_2717.txt","Pope","char-offset:182","","","","","","","","","Job",""
"17d5c853-1b03-40d2-b054-2b3c095d161f","HCM_2717.txt","Holy Land","char-offset:205","PLACE","http://sws.geonames.org/294640","Israel","","31.446802097434066","35.007712337053796","","VERIFIED","",""
"f8f9509d-21fe-4ba7-8af0-7ac4a60928e7","HCM_2717.txt","Dean and chapter of Hereford","char-offset:219","PERSON","","","","","","","","Collective|Principal",""
"d674a21c-d06c-4f72-867a-822bad4cb782","HCM_2717.txt","subcollectors","char-offset:249","","","","","","","","","Job",""
"bcbd42aa-ae73-453b-823f-b6b26911e594","HCM_2717.txt","Ranulf de Evesham, their clerk","char-offset:287","PERSON","","","","","","","","Scribe",""
