"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"2c6c0b73-16cd-4a9d-b246-8d5b071e18ae","HCM_383.txt","John called Batun","char-offset:81","PERSON","","","","","","","","Principal",""
"bb71dc00-41a4-446f-80da-ad375829fc3e","HCM_383.txt","Walter","char-offset:102","PERSON","","","","","","","","Principal",""
"d5ef167a-91a9-49e9-98cd-ea7ef8e1b847","HCM_383.txt","William Hathewy","char-offset:116","PERSON","","","","","","","","",""
"3d8fb9b3-69a1-4cd0-ae38-97d566b8e59f","HCM_383.txt","Oxenhale","char-offset:135","PLACE","","","","","","","UNVERIFIED","",""
"d59e5caa-7a6e-40ed-a529-4a92cbcad746","HCM_383.txt","Oxenhale","char-offset:202","PLACE","","","","","","","UNVERIFIED","",""
"0c360cdf-3fc4-4e80-a1f7-382797a1dd6d","HCM_383.txt","Longedenesfeld","char-offset:238","PLACE","","","","","","","UNVERIFIED","",""
"742cf85a-e0bd-48b7-aeb5-3bed30129be4","HCM_383.txt","Roger","char-offset:284","PERSON","","","","","","","","",""
"98d3a7ad-7311-438a-9039-24167914737b","HCM_383.txt","Phillip de la Ghildhalle","char-offset:396","PERSON","","","","","","","","",""
"5c28da7a-4071-478f-8ee3-c65e38afd567","HCM_383.txt","William le Tornour","char-offset:449","PERSON","","","","","","","","",""
"a35d6186-9ba3-414c-847b-f5533b1975d7","HCM_383.txt","Tornour","char-offset:460","PLACE","","","","","","","UNVERIFIED","Nominative",""
"db95130e-9ee2-4c61-a935-8996d12f8282","HCM_383.txt","Newent","char-offset:536","PLACE","http://sws.geonames.org/2641651","Newent","","51.93365","-2.40815","","UNVERIFIED","Given at",""
"cabafda1-268d-4877-9f49-6d31454ad9d6","HCM_383.txt","Thomas de Hewe","char-offset:556","PERSON","","","","","","","","Witness",""
"e6ed727a-db6a-4937-9c81-c69f104be3b8","HCM_383.txt","Nicholas de Stretedene","char-offset:572","PERSON","","","","","","","","Witness",""
"c5ee7c01-4bff-421b-9e04-144347b43722","HCM_383.txt","Walter de la More","char-offset:596","PERSON","","","","","","","","Witness",""
"7abb140d-7127-4a9d-a470-d128c2a5eb34","HCM_383.txt","Ioelus de Herte launde","char-offset:615","PERSON","","","","","","","","Witness",""
"98cb7b68-8984-46f1-9b7e-e9fcd33dcd90","HCM_383.txt","Roger de la Ghildhselle","char-offset:639","PERSON","","","","","","","","Witness",""
"7d8b02fc-eb52-4446-924c-2795cf6da312","HCM_383.txt","John Gille","char-offset:664","PERSON","","","","","","","","Witness",""
"f76081e7-39e6-47f9-a3d6-10827fc255bf","HCM_383.txt","William Bollok","char-offset:676","PERSON","","","","","","","","Witness|Scribe",""
"99b9fe49-1d75-43e4-8f2c-9c2d37dae8ec","HCM_383.txt","Latin","char-offset:693","","","","","","","","","Language",""
"9bcb16a5-d1f9-4e9e-b817-11c5ef127032","HCM_383.txt","Latin","char-offset:693","","","","","","","","","Language",""
"b20b4552-f578-467a-b37d-0676b7f04311","HCM_287.txt","Walter de Weston","char-offset:84","PERSON","","","","","","","","Principal",""
"36d82a95-06f4-46d1-b9e3-7a0de9a48346","HCM_287.txt","John le leche de Walsned","char-offset:106","PERSON","","","","","","","","Principal",""
"3e83dc4a-1f3b-47f8-b25d-651be7be910d","HCM_287.txt","Gilbertle Coliar","char-offset:228","PERSON","","","","","","","","",""
"7f9aad0b-8d92-4bce-a276-256f4f1459ea","HCM_287.txt","Walter de Cimiten","char-offset:262","PERSON","","","","","","","","",""
"8ce002e3-ff1c-4480-931f-84ffaa4e4f62","HCM_287.txt","Ledbury","char-offset:367","PLACE","http://sws.geonames.org/2644707","Ledbury","","52.03639","-2.42635","","UNVERIFIED","Given at",""
"cba40cec-8c67-49c9-b37b-9e619af118b0","HCM_287.txt","William Benet de la Wallis","char-offset:387","PERSON","","","","","","","","Witness",""
"8fa91cc3-7bd2-4596-8df4-688892c12067","HCM_287.txt","Robert le leche de Walsned","char-offset:415","PERSON","","","","","","","","Witness",""
"b27af06f-c94f-4690-a893-5ec8d11404b6","HCM_287.txt","John le Beyr de Walinton","char-offset:444","PERSON","","","","","","","","Witness",""
"fe6fe04e-10cb-497c-ade8-0cf78b005130","HCM_287.txt","William de la Walle","char-offset:471","PERSON","","","","","","","","Witness",""
"c676fcda-f4b0-48e1-a279-37875ea5b7df","HCM_287.txt","William le vinour de Ledebur","char-offset:504","PERSON","","","","","","","","Witness|Scribe",""
"69f5f620-ff81-414e-994c-069018e1107d","HCM_287.txt","Latin","char-offset:535","","","","","","","","","Language",""
"ccbdf6d8-8bf5-402c-9f0c-b54cacb2e3f3","HCM_352.txt","Robert","char-offset:27","PERSON","","","","","","","","Principal",""
"326095f3-9348-46dd-ba36-c94891496e9e","HCM_352.txt","Robert de Dyk","char-offset:41","PERSON","","","","","","","","",""
"7dac4c17-1838-4aa1-bae1-18f3ccdf99ed","HCM_352.txt","Bromesberuwe","char-offset:59","PLACE","","","","","","","UNVERIFIED","",""
"ec291b38-099a-4fb0-a6f9-9ff8d2f6b7a1","HCM_352.txt","Dominus John de Kemeseya","char-offset:76","PERSON","","","","","","","","Principal","Chaplain"
"e86133aa-1ae9-410c-8381-4d12497c2aa5","HCM_352.txt","Richard","char-offset:116","PERSON","","","","","","","","Principal",""
"e1c645ab-9b00-4e46-b5a1-03ec2ea6ed2b","HCM_352.txt","Robert","char-offset:209","PERSON","","","","","","","","",""
"dfaa955e-452b-46bf-aab6-43df60937b4f","HCM_352.txt","Roger de Dyk","char-offset:271","PERSON","","","","","","","","",""
