"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"4c2b1d73-629b-48a5-8993-e78bad3f2c02","HCM_1503.txt","the dean of the church of the blessed Mary of the Arches at London","char-offset:56","PERSON","","","","","","","","Office|Principal",""
"598b2a4e-9cea-4cac-84a2-e02b1889ec9d","HCM_1503.txt","London","char-offset:116","PLACE","http://sws.geonames.org/2643743","London","","51.50853","-0.12574","","VERIFIED","Nominative",""
"d0e83def-5888-42a4-8802-84acb1b0b6c2","HCM_1503.txt","commissary general of the official of the Court of Canterbury","char-offset:124","","","","","","","","","Job",""
"bff076d1-dc19-487a-8443-bcfd64f3e3e1","HCM_1503.txt","Canterbury,","char-offset:175","PLACE","http://sws.geonames.org/2653877","Canterbury","","51.27904","1.07992","","VERIFIED","Nominative",""
"2ffd7776-0627-4363-a04d-8db49a7de20e","HCM_1503.txt","D[avid], bishop of St. David's","char-offset:198","PERSON","","","","","","","","Principal",""
"841a2894-ee85-476f-92c5-00ac3aa08f50","HCM_1503.txt","St. David's","char-offset:217","PLACE","http://geo-kima.org/place/25135","St. David's Region (Wales)","","","","","UNVERIFIED","Nominative",""
"4998a03b-37b7-4729-80f1-617ea937f207","HCM_1503.txt","church of Saint Ismael'","char-offset:266","PLACE","","","","","","","UNVERIFIED","",""
"c9d87375-5656-464f-98c4-3e57de1d7464","HCM_1503.txt","Maurice","char-offset:307","PERSON","","","","","","","","","Rector of St Ismael"
"0bf02575-b013-4054-94f5-91fbfa5b9529","HCM_1503.txt","rector of the said church","char-offset:316","","","","","","","","","Job",""
"8dcc2910-5adf-4c21-9f7a-bda5f0cb51fb","HCM_1503.txt","Walter de la Boxe","char-offset:347","PERSON","","","","","","","","",""
"ef2d3764-8f25-4708-8e03-aeb20f900a7c","HCM_1503.txt","la Boxe","char-offset:357","PLACE","","","","","","","UNVERIFIED","Nominative",""
"d9ab5ff5-761b-46fa-a921-b4646a7fdbc6","HCM_1503.txt","The dean","char-offset:366","PERSON","","","","","","","","","Dean of the church of St Mary of the Arches, London"
"3197752a-6b6a-4705-ad97-09699c4195a8","HCM_1503.txt","Maurice","char-offset:433","PERSON","","","","","","","","",""
"691ff845-f20d-46b6-b9b9-59832089e9a4","HCM_1503.txt","Walter de la Boxe","char-offset:483","PERSON","","","","","","","","",""
"2be272be-fb4b-4fef-9fd7-979165f31e86","HCM_1503.txt","la Boxe","char-offset:493","PLACE","","","","","","","UNVERIFIED","Nominative",""
"e0f4e2d6-a658-4515-b066-c88b591611e8","HCM_1503.txt","priors of Monemowe and Cadwely","char-offset:561","PERSON","","","","","","","","Collective|Office","two of them: Prior of M and Prior of C"
"70f84afe-f0ee-4978-937f-a7d0a3e2760d","HCM_1503.txt","Monemowe","char-offset:571","PLACE","","","","","","","UNVERIFIED","Nominative","Monmouth?"
"c0fc7d54-508b-4595-9196-8f9eab51afaa","HCM_1503.txt","Cadwely","char-offset:584","PLACE","","","","","","","UNVERIFIED","Nominative",""
"37a3e8d0-c575-4bcc-ac33-f2eed364f5c6","HCM_1503.txt","The dean","char-offset:766","PERSON","","","","","","","","","Dean of the church of Mary of the Arches, London"
