"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"4942a266-9905-4770-aff0-2770b801b8c9","HCM_2620.txt","priory of St. mary of  Vonnouth","char-offset:119","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical|OCR","Monmouth","",""
"79cad7b8-17ff-4f9a-96fb-55d0c89ef982","HCM_2620.txt","Hereford.","char-offset:176","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","Cathedral","",""
"d0f537b3-f46f-4bba-aa38-71a0a55070c1","HCM_2620.txt","Pencherk","char-offset:293","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"75d3eaa0-cb06-422f-b679-40a234eab4e1","HCM_2620.txt","Albertun","char-offset:321","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"d6803776-30da-49d8-82d9-37651680b11f","HCM_2619.txt","Lichfield","char-offset:60","PLACE","http://sws.geonames.org/2644531","Lichfield","","52.68154","-1.82549","","UNVERIFIED","Nominative|Building|Ecclesiastical","Cathedral","",""
"6023090f-3161-44d5-a2f6-432e806f916f","HCM_2619.txt","England","char-offset:81","PLACE","http://geo-kima.org/place/12708","England","","","","","UNVERIFIED","Area|Governmental","","",""
"079ca69a-0084-4531-b5fe-358f7a22583f","HCM_2619.txt","apostolic see","char-offset:96","PLACE","http://pleiades.stoa.org/places/327730568","Etchmiadzin Cathedral","1700/2100","40.161769","44.291164","church","UNVERIFIED","Building|Ecclesiastical","Avignon","",""
"95bc3c3a-9777-44f0-a410-7a5bccd3676c","HCM_2619.txt","Hereford","char-offset:134","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"df899295-4571-4dde-8bb2-037bae8b788b","HCM_2619.txt","London","char-offset:264","PLACE","http://sws.geonames.org/6058560","London","","42.98339","-81.23304","","UNVERIFIED","Given at|Settlement","","",""
"a08df808-a935-4aa3-8846-a1be0bf2feea","HCM_2600.txt","London","char-offset:52","PLACE","http://sws.geonames.org/6058560","London","","42.98339","-81.23304","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"66e6b2ff-7ec8-4f3c-8379-cb4ba7e9c1f6","HCM_2600.txt","Lincoln","char-offset:63","PLACE","http://sws.geonames.org/3846864","Lincoln","","-34.86649","-61.5302","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"89e8acb4-bc18-4356-9223-50981ee32519","HCM_2600.txt","England","char-offset:86","PLACE","http://geo-kima.org/place/12708","England","","","","","UNVERIFIED","Area|Governmental","","",""
"cec6c043-bdfb-4a6f-9779-cb4fa2f62d12","HCM_2600.txt","Scotlend","char-offset:94","PLACE","","","","","","","UNVERIFIED","Area|Governmental","","",""
"423469ce-7651-4b2f-a879-4ed3ba8731a1","HCM_2600.txt","Ireland","char-offset:104","PLACE","http://geo-kima.org/place/7885","Ireland","","","","","UNVERIFIED","Area|Governmental","","",""
"86e23bfe-e015-4897-8ccf-b1bcb2ad2ba2","HCM_2600.txt","Wales","char-offset:117","PLACE","http://sws.geonames.org/2634894","Wales","","53.34061","-1.28162","","UNVERIFIED","Area|Governmental","","",""
"b57f78a8-084e-4971-b343-e1698637cf4f","HCM_2600.txt","Holy Lands","char-offset:190","PLACE","","","","","","","UNVERIFIED","Area|Ecclesiastical","","",""
"8819f3eb-28ff-4dea-9ab1-ca8f2cf8dea6","HCM_2600.txt","Hereford","char-offset:225","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"6da927c1-4ecd-4429-953d-773fd24ff1f1","HCM_2600.txt","Whyteneie","char-offset:283","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"a23a523d-27bf-4019-8b25-ea469ef9f348","HCM_2600.txt","London","char-offset:418","PLACE","http://sws.geonames.org/6058560","London","","42.98339","-81.23304","","UNVERIFIED","Given at|Settlement","","",""
"413ed88e-eb21-4bea-8a34-6ab15a9b206c","HCM_2605.txt","Wygemor',","char-offset:80","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Wigmore Abbey
","",""
"7167216c-71f9-4dc6-af87-70b7cc9393e3","HCM_2605.txt","diocese of Hereford","char-offset:107","PLACE","","","","","","","UNVERIFIED","Area|Ecclesiastical","","",""
