"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"fee5c751-b926-4bbf-92e1-f72fba7b1484","HCM_1337.txt","eat eee eee","char-offset:80","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","de la More","",""
"88cb0c3c-c4c9-4d50-b627-da03f13dbc53","HCM_1337.txt","diocese of es","char-offset:94","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical|OCR","Exeter diocese
","",""
"92b4f28c-63b4-4ea9-b04a-c344e694f9d0","HCM_1337.txt","Preston’","char-offset:155","PLACE","http://dare.ht.lu.se/places/26027","Preston","","50.643223","-2.421539","","UNVERIFIED","Nominative|Settlement","","",""
"8743c762-b78c-4cf7-b78f-556d1675b3ab","HCM_1337.txt","tyk","char-offset:182","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Wyk'","",""
"f38a9e15-ec92-40dd-b0a2-44f7092c9fe3","HCM_1337.txt","Serttbeiis","char-offset:195","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Stratton","",""
"68e4f112-787e-425a-81df-6b4c55561a3c","HCM_1337.txt","Houton'","char-offset:231","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"4b5210d0-7c11-4a1a-8467-5acc3a66875a","HCM_1337.txt","house of the Dominicen Friars at Hereford","char-offset:253","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"9979c306-0507-4ac7-9223-3903f31710ee","HCM_1337.txt","} Oritent","char-offset:361","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Orleton","",""
"d42a27f7-257a-4178-9a49-4ca63eec04fc","HCM_1337.txt","Fowehope","char-offset:400","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"074ed26e-ab27-48ff-a924-6369990daf73","HCM_1337.txt","Henle","char-offset:424","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"c33050af-55b7-4fb5-9af9-8fadf713c04d","HCM_1337.txt","udereford","char-offset:654","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","Hereford","",""
"909c6a9c-7d08-4e32-a5e9-6be4940d870c","HCM_1337.txt","Hereford","char-offset:741","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"160a7ab9-f46e-495a-a77c-92186d9c0e3f","HCM_1337.txt","chepter—place of the cathedral church of Hereford","char-offset:963","PLACE","","","","","","","UNVERIFIED","Given at|Building|Ecclesiastical","chapter-house at Hereford","",""
"b5d23268-b086-4e96-b1de-e324b8609f5c","HCM_1335.txt","chureh of Hereford","char-offset:68","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"20c3518d-1902-4762-a972-24a50f878a5b","HCM_1335.txt","Dominican Friars of Hereford","char-offset:208","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"7ba551ed-02a6-4017-affc-1abf16b8a091","HCM_1335.txt","a lane in their dwelling in Hereford","char-offset:262","PLACE","","","","","","","UNVERIFIED","Roadway","Frog Lane = name of lane in dispute (cf HCM 1336)","",""
"7e0f9f53-ab96-4a45-a9d3-2d7813570b4c","HCM_1335.txt","their dwelling in Hereford","char-offset:272","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","Dominican Friars of Hereford","",""
"0c8822d8-afa1-49d5-b11f-2af8ec8ddf5e","HCM_1335.txt","the church","char-offset:333","PLACE","http://dare.ht.lu.se/places/43738","Church of the Nativity, Bethlehem","0326/0640","31.70431","35.20746","","UNVERIFIED","Building|Ecclesiastical","Hereford Cathedral","",""
"e030f048-3cc2-456f-81f7-0db42ac0e816","HCM_1334.txt","eathedral church of Hereford","char-offset:89","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"0e7f3022-8ed6-4740-b120-76900263b537","HCM_1334.txt","Dominican Friars 4biding in the suburb of Hereford","char-offset:163","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Dominican Friars of Hereford","",""
"53b5ed8c-b32e-4c06-8a31-8a46ec45b92b","HCM_1334.txt","suburb of Hereford","char-offset:195","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"38900455-3e5b-4234-be65-f2d292bac922","HCM_1334.txt","manor of Leyghtu' in the parish of Cowarne Major","char-offset:668","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"b5ea02b9-22c5-4043-8042-181ea801365e","HCM_1334.txt","Seynteler","char-offset:793","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"4d6a636e-1e45-4d5d-a224-0aac3c2d49ba","HCM_1339.txt","Thean'","char-offset:72","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"8101c438-8246-43f5-a890-c5ae88b32212","HCM_1339.txt","&","char-offset:160","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical|OCR","archdeaconry of Pannonia","",""
"b37c8a21-9c30-43d6-af5c-f22bcdebf270","HCM_1339.txt","frebis","char-offset:304","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Trebis","",""
"42c59079-8b9b-4263-bd25-d7298c9271a9","HCM_1339.txt","apostolic see","char-offset:339","PLACE","http://pleiades.stoa.org/places/327730568","Etchmiadzin Cathedral","1700/2100","40.161769","44.291164","church","UNVERIFIED","Nominative|Building|Ecclesiastical","papal curia at Avignon
","",""
"50188bfb-8b38-429f-8ad2-bac895639f9a","HCM_1339.txt","Orvieto","char-offset:403","PLACE","http://pleiades.stoa.org/places/413373","Velzna/*Volsinii Veteres/Urbiventus|Volsinii Veteres/Urbiventus, Orvieto|Volsinii|Volsinii, Bolsena|Orvieto","-0750/0640","42.71702","12.11363","amphitheatre,settlement","UNVERIFIED","Given at|Settlement","(given at for embedded doc AND inspeximus)","",""
"fa04227f-f67a-4fef-8c43-d8f53c100210","HCM_1339.txt","Norwech","char-offset:461","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"e1608744-f2b9-49ad-b931-b27d9945e6e8","HCM_1339.txt","Hereford","char-offset:479","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","Cathedral","",""
"505b1c39-c4d9-4ce7-bb42-55bfa7b107ed","HCM_1339.txt","shaletsns clones","char-offset:511","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical|OCR","Hereford Cathedral","",""
"089d4dc7-c3a1-404f-8f26-1cc3a1f1b117","HCM_1339.txt","in  eacin'","char-offset:563","","","","","","","","","OCR","Mattias Theacin|no place name
","",""
"fba74017-87f0-4a17-b1b6-586719f3d760","HCM_1339.txt","Rome","char-offset:658","PLACE","http://geo-kima.org/place/7637","Rome","","","","","UNVERIFIED","Settlement","(papal curia at?)","",""
"a2ff4f7e-3a2b-4c86-acb7-e5934e8df12f","HCM_1339.txt","Encland","char-offset:727","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Governmental","","",""
"2f762a2c-7b48-46b9-a8e3-64fb88a9118e","HCM_1339.txt","e & ven 0 SO,","char-offset:922","","","","","","","","","OCR","Johan filio suo Petri Ricem","",""
"10ef2fcf-7297-4ab0-a2ce-ebbbb2145f40","HCM_1339.txt","SO,","char-offset:932","PLACE","http://sws.geonames.org/1606114","So Phisai","","18.0772","103.4432","","UNVERIFIED","Nominative|Settlement|OCR","Guarcin'","",""
"4dce6620-72e1-434a-9127-bc3a6d2346d8","HCM_1336.txt","Hereford","char-offset:93","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral

","",""
"15b7b72b-76ba-4ece-9cc3-00404f2963fa","HCM_1336.txt","Dominican Friars at Hereford","char-offset:148","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"5f51eabc-ffc5-4f7c-a571-de656bfb892f","HCM_1336.txt","Hereford","char-offset:168","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Settlement","","",""
"c0b4c856-0a6c-4ca5-a33f-12b09f1a6860","HCM_1336.txt","lene called Froggelan near the yard of the ar","char-offset:225","PLACE","","","","","","","UNVERIFIED","Roadway","Frog Lane in city of Hereford","",""
"66cd116f-95d7-4ad5-96dc-000285cf3be4","HCM_1336.txt","yard of the ar","char-offset:256","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical|OCR","yard of the Chapter (i.e. Chapter-house) nr Frog Lane in city of Hereford","",""
"3277dd8a-853a-4580-a30a-991c1eb8391c","HCM_1336.txt","the city","char-offset:442","PLACE","http://sws.geonames.org/4839921","Oakville","","41.59343","-73.08539","","UNVERIFIED","Nominative|Settlement|Mercantile","City of Hereford","",""
"0a967835-07f8-4e54-a5cc-86b4fc278726","HCM_1336.txt","stream (eye) called Smalpors","char-offset:514","PLACE","","","","","","","UNVERIFIED","Natural Feature","stream (latin = ewe) in Hereford, nr Frog Lane","",""
"5765ad88-016a-4c6a-9275-638f2a581444","HCM_1367-em.txt","Hereford","char-offset:58","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese of
","",""
"ea9bfeb8-aa07-45b5-8154-b89a140e51e2","HCM_1367-em.txt","Hereford","char-offset:105","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","Hereford Cathedral
","",""
