"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"7f0410e2-d800-4473-a056-6aa52f914f87","HCM_2130.txt","monastery of St. Martin | of Seez","char-offset:93","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"16418f6e-4570-48ba-8579-d129652edd6c","HCM_2130.txt","Mereford","char-offset:142","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Hereford Cathedral","",""
"f5e5a6ba-647d-4a72-ab66-2bcfc0d0afcd","HCM_2130.txt","Sees","char-offset:283","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Seez Monastery
","",""
"b8502357-ee40-49b8-ab6b-f0277f551a41","HCM_2130.txt","Cheham","char-offset:348","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ee80c9ea-9c21-4d31-a52a-59fbe2c0f811","HCM_2130.txt","convent of Shrews","char-offset:416","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Shrewsbury Abbey
","",""
"82da9208-d8c2-4868-948c-f330fdc34651","HCM_2130.txt","Shrewsbury","char-offset:504","PLACE","http://sws.geonames.org/2637891","Shrewsbury","","52.71009","-2.75208","","UNVERIFIED","Settlement","","",""
"86f8dc1e-ddf6-4b81-b3a2-2c154ca1faf4","HCM_2130.txt","church of Dudelebur'","char-offset:563","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","","",""
"fc9f4141-7608-4d5d-8c35-2f9a44c60192","HCM_2089.txt","Ledebury","char-offset:69","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"5b2e312e-aa9c-4d49-9211-0fd8e0de1a0e","HCM_2089.txt","church of St. Ethelbert of Hereford,","char-offset:91","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"18dabd96-6ce4-4b0a-90aa-e0997fb717be","HCM_2089.txt","Hereford","char-offset:217","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"f2f6b740-34e6-44ed-b1eb-3f22c615fb52","HCM_2089.txt","Hereford","char-offset:275","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"d005d8eb-6db0-4049-89b4-da52027e573b","HCM_2089.txt","la Bache","char-offset:301","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"56390f4e-7ab3-401b-83be-28a1133d5e6c","HCM_2089.txt","church of Hereford","char-offset:334","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"360d607c-a7dd-4098-a612-4a462aac4dba","HCM_2089.txt","Kentissheborcote","char-offset:627","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"c5031cf4-bd95-466d-a48e-869eb7c1f89a","HCM_2089.txt","Netherschelwyk'","char-offset:648","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"35a13145-d2cc-4952-8584-804b0b1ac467","HCM_2089.txt","Hereford","char-offset:703","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Settlement","","",""
"c0da3b0c-f365-44aa-8969-bb1de1551d48","HCM_2089.txt","chapel of St. Katherine near the bishop's palace in Hereford","char-offset:872","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","","",""
"51f48506-a65a-46c9-9df9-a4d4396613e6","HCM_2089.txt","Haueringe","char-offset:1309","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","elsewhere de
","",""
"b9f98014-3de0-4fee-9690-2d746ade05a4","HCM_2089.txt","Chaundos","char-offset:1341","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"8f6bdf33-53a8-49db-aac6-fb7dde94d0bf","HCM_2089.txt","Orleton","char-offset:1373","PLACE","http://sws.geonames.org/2640920","Orleton","","52.3","-2.75","","UNVERIFIED","Nominative|Settlement","","",""
"dabb0858-d8c1-4f6b-b500-b0fe194bffd9","HCM_2089.txt","Shorne","char-offset:1403","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"519a59c8-f93d-4288-929c-8b73d6e9e083","HCM_2089.txt","Vernoun","char-offset:1422","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"9495862d-acc5-4b56-b34f-7e20bc5d72c4","HCM_2089.txt","Gayton’","char-offset:1482","PLACE","http://pleiades.stoa.org/places/79478","Gayton Thorpe|Gayton Thorpe","-0030/0640","52.732329","0.568738","villa","UNVERIFIED","Nominative|Settlement","","",""
"5c292260-8700-4c14-b0e7-8537d072b79d","HCM_2089.txt","la Barre","char-offset:1509","PLACE","http://sws.geonames.org/3011332","La Barre-de-Monts","","46.88059","-2.12168","","UNVERIFIED","Nominative|Settlement","aka Barre
","",""
"f80917b3-fc4c-43aa-ac8e-400ec85ba2da","HCM_2089.txt","Hompton","char-offset:1533","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"cf4969f4-120f-427e-9b0a-fc8b38617129","HCM_2089.txt","Rosy","char-offset:1551","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","Ross","",""
"494eb360-406d-41e3-9fd0-a087aa6a5505","HCM_2089.txt","Aka","char-offset:1652","PLACE","http://sws.geonames.org/2339318","Ibagwa-Aka","","6.91854","7.39895","","UNVERIFIED","Nominative|Settlement","","",""
"96d65cab-8d0a-4012-b361-df7803969c68","HCM_2089.txt","Bellymare","char-offset:1683","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"a6f77d2b-0aa3-42c2-a9cf-f712609f1265","HCM_2089.txt","Walseche","char-offset:2036","PLACE","","","","","","","UNVERIFIED","Nominative|Area","","",""
"362a9926-2cd6-4eb6-8344-2b3d9c41e26e","HCM_2089.txt","la Felde","char-offset:3843","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","in Warham
","",""
"aad789a4-ffb1-42af-9776-caf695eb2ef8","HCM_2089.txt","wyk","char-offset:3874","PLACE","http://sws.geonames.org/2805396","Wyk auf Föhr","","54.6914","8.56702","","UNVERIFIED","Nominative|Settlement","","",""
"198d23b9-4024-4c2d-9e31-feaa770ad227","HCM_2089.txt","Breynton',","char-offset:3918","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"4867a2f5-5736-45cd-9c67-e9fe063889a6","HCM_2089.txt","Fowehope","char-offset:3941","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"7c5705e8-65bf-4dfe-8eee-adfe26c00cf3","HCM_2089.txt","Ew,","char-offset:3963","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"acfaeacc-92e9-4e61-a626-b708e2fbc7aa","HCM_2089.txt","Hompton'","char-offset:4071","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"6793498d-ee11-4d82-af4e-c79ad9febf69","HCM_2089.txt","Hereford,","char-offset:4106","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"77ea5765-fa4d-4ebc-8251-746afcd64fd3","HCM_2089.txt","Maurdyn","char-offset:4127","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"3b629b01-1f6f-4411-be94-675e9d90206d","HCM_2089.txt","Bradefelde,","char-offset:4144","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"07f3b54f-bcba-420d-ab36-2ae8464e54f4","HCM_2089.txt","Holemare","char-offset:4210","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"d4b16bf7-c35e-45c9-859e-eaed3def2b2f","HCM_2089.txt","Underwode","char-offset:4230","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"112001d2-b4ed-4c8f-803c-01e9c4904ee6","HCM_2089.txt","Hereford,","char-offset:4250","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"cf2846b4-adbe-43f5-97e3-958f1f97f7e6","HCM_2089.txt","Clehungre","char-offset:4693","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
