"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"bd5099fc-da7c-4fb5-abc4-084ef66b82f9","RBLR_4901.txt","Sancto Paulo","char-offset:42","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"36cb076f-61f4-4ce4-8fc4-533429f05efc","RBLR_4901.txt","Briselee","char-offset:105","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"531f7038-49a5-422c-9127-77f1c75d347d","RBLR_4901.txt","Cobeham","char-offset:139","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"adb8b95e-a3b1-4027-98c7-fe34e149debe","RBLR_4901.txt","Kingeston","char-offset:158","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"10fa62b3-5fce-4edd-ad5f-02b4ad936e61","RBLR_4901.txt","Bury","char-offset:179","PLACE","http://sws.geonames.org/3029483","Bury","","49.31307","2.34401","","UNVERIFIED","Nominative|Settlement","","",""
"f5c1af5e-576b-42d1-9726-ac4bbfb900ca","RBLR_4901.txt","Breynton","char-offset:217","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"f9af8143-78ad-4525-8aec-f1745ecf2e22","RBLR_4901.txt","Breynton","char-offset:394","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"99d6d22c-9c76-4ec4-b1de-53cfbee9aad0","RBLR_4901.txt","Portemuth","char-offset:412","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ee05d2bb-efef-424b-9191-f7927a58db71","RBLR_4901.txt","Enham","char-offset:533","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"845866d8-b16b-4716-84a9-c9c9e0dafa12","RBLR_4901.txt","Sancto Paulo","char-offset:549","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"fd3ded82-a94d-4b3b-afdf-2517bc95ca4c","RBLR_4901.txt","Paulusholt","char-offset:574","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"507c5123-bb38-46da-8425-02c8ee23796c","RBLR_4901.txt","Avignon","char-offset:660","PLACE","http://pleiades.stoa.org/places/148004","Avennio|Avennio, Avignon|Avignon","-0750/2100","43.95159","4.80769","settlement","UNVERIFIED","Given at|Building|Ecclesiastial","","",""
"bf7a30d0-9c50-4d4c-912e-8c2a1168e448","RBLR_5001.txt","H[er]wynton","char-offset:30","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"b2403de1-ac1e-48f4-b8e2-f59b53dcbb74","RBLR_5001.txt","diocese of Worcester","char-offset:57","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastial","","",""
