"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"a92d7520-69a2-4ad8-9484-a4f7b6cf8045","HCM_436.txt","Braumford","char-offset:40","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"149c23c9-94c6-41a2-803a-f84e77b08c82","HCM_436.txt","Teyntone","char-offset:63","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"2285aba6-cbc4-4800-88f3-a7335c243689","HCM_436.txt","Posemoresfelde","char-offset:264","PLACE","","","","","","","UNVERIFIED","Agricultural","nr Mora
","",""
"6c4f5ec5-0f99-412a-baeb-940afcff5a53","HCM_436.txt","Mora","char-offset:310","PLACE","http://sws.geonames.org/2513588","Mora","","39.68492","-3.77394","","UNVERIFIED","Nominative|Settlement","","",""
"0214bdc3-16be-4c10-a629-5976bdae80a9","HCM_436.txt","way from Croshull' called Middelwey,","char-offset:323","PLACE","","","","","","","UNVERIFIED","Roadway","","",""
"4364633b-71d6-4f4a-9e1c-4efe75257047","HCM_436.txt","Croshull'","char-offset:332","PLACE","","","","","","","UNVERIFIED","Natural Feature","","",""
"cae796da-1486-4ea9-9fd0-331c2c139a47","HCM_436.txt","Odedenesslade","char-offset:377","PLACE","","","","","","","UNVERIFIED","Agricultural","field nr Mora","",""
"4217f71f-bb76-44c0-9641-4043e012a73a","HCM_436.txt","Hereford","char-offset:425","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese
","",""
"d2aae505-56a9-4b5a-b9f3-6148c7c8d245","HCM_436.txt","ie Calue","char-offset:611","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"d4ab7ac5-a255-4b96-9b5d-01d886e6dfee","HCM_436.txt","Broynton","char-offset:634","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"4001a531-f73d-4cf1-b08f-17a134a68a7e","HCM_435.txt","Hereford","char-offset:54","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"b8d9c3f3-db76-40d5-9c28-4dae27d228d6","HCM_435.txt","Suesham","char-offset:85","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Evesham","",""
"5aa2ccb7-adeb-4c9f-9d12-4211e7cba244","HCM_435.txt","field cf Mora","char-offset:162","PLACE","","","","","","","UNVERIFIED","Agricultural","","",""
"cf0394e2-253e-44b4-a290-e7760645f5f7","HCM_435.txt","Mora","char-offset:171","PLACE","http://sws.geonames.org/2513588","Mora","","39.68492","-3.77394","","UNVERIFIED","Settlement","","",""
"54fcbebf-fdf7-493c-a789-e09da82ef261","HCM_435.txt","Mora","char-offset:239","PLACE","http://sws.geonames.org/2513588","Mora","","39.68492","-3.77394","","UNVERIFIED","Nominative|Settlement","","",""
"757f27f2-1c60-43ff-876f-832f21738083","HCM_435.txt","le Fulesio","char-offset:349","PLACE","","","","","","","UNVERIFIED","Agricultural|OCR","Fuleslo, field nr Mora","",""
"bcad12e7-2da4-4b6f-a47f-5f41372f605b","HCM_435.txt","Bruneshope","char-offset:411","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"26dbc63b-8fc3-42d3-ae8f-0bd8dcf2215a","HCM_435.txt","Ledebury","char-offset:470","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"3315e635-576d-4c15-a3e4-57bcbd54612a","HCM_435.txt","field called Enghull'","char-offset:602","PLACE","","","","","","","UNVERIFIED","Agricultural","field nr Mora
","",""
"7ddf4feb-97b3-4b31-8ea5-0d064b2a31ab","HCM_435.txt","Bertonestrete","char-offset:701","PLACE","","","","","","","UNVERIFIED","Roadway","in Hereford suburb
","",""
"01253725-d987-4915-bd56-6d383fcba55a","HCM_435.txt","highway","char-offset:747","PLACE","http://geo-kima.org/place/1914","Alaska Highway","","","","","UNVERIFIED","Roadway","nr Bertonestrete, in Hereford suburbs","",""
"0d99a6e1-f090-4b67-ba1f-e645e17dd4e6","HCM_435.txt","haya","char-offset:933","PLACE","http://pleiades.stoa.org/places/287060405","Ezida","-1000/-0540","36.3602228","43.1519288","temple-2","UNVERIFIED","Nominative|Settlement","","",""
"1f946de2-7344-439a-b190-93c7cb49b66a","HCM_435.txt","Bramford","char-offset:973","PLACE","http://sws.geonames.org/2654928","Bramford","","52.07631","1.09687","","UNVERIFIED","Nominative|Settlement","","",""
"920c940a-d6eb-4800-9231-c0639f795cec","HCM_435.txt","Bruneshope","char-offset:992","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"2ac50402-91d9-45f3-94f6-c8339d88b492","HCM_435.txt","Bruneshope","char-offset:1016","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"3758c0de-054a-489c-b633-3ed0974d9473","HCM_435.txt","lecche","char-offset:1039","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"2b1f1c0c-3ba7-44b2-9657-7ac6fe9fd02b","HCM_470.txt","=n le hore","char-offset:139","","","","","","","","","OCR","Hugh le Hore (not a place nominative)
","",""
