"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"13c9c203-fabe-417f-b56c-b155a0563194","HCM_1274.txt","ee","char-offset:60","PLACE","http://geo-kima.org/place/12716","Federated Malay States","","","","","UNVERIFIED","Nominative|Settlement|OCR","Breinton","",""
"d11df3df-c1a8-43de-aabd-9ed839159781","HCM_1274.txt","Fostona","char-offset:84","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ffb1ac60-b7b3-491b-8955-6532ca3b1ac7","HCM_1274.txt","Oldewalle feld'","char-offset:223","PLACE","","","","","","","UNVERIFIED","Agricultural","vicinity of Breinton?
","",""
"5bffdabd-1a27-42ea-b9d2-c13a412aa8df","HCM_1274.txt","la Punde.","char-offset:399","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|Natural Feature|Research","which: settlement / Nat Feature?
","",""
"5d38fbee-b3d6-40be-a280-07eaa2f5bba1","HCM_1274.txt","Hereford","char-offset:455","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"e1428e52-86d1-475c-8052-cb4f7f757402","HCM_1274.txt","Felda","char-offset:544","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"44fab94e-a03e-4e2d-87b8-6db1ae8bffaa","HCM_1274.txt","Bramford'","char-offset:562","PLACE","http://sws.geonames.org/2654928","Bramford","","52.07631","1.09687","","UNVERIFIED","Nominative|Settlement","","",""
"9283f8ba-4b92-4d38-89a8-119944d74a52","HCM_1274.txt","la Calewe","char-offset:631","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|Natural Feature|Research","which: settlement or NF?
","",""
"072c6bda-e2de-4a59-baa7-a7c3d48dd542","HCM_1271.txt","Hereford","char-offset:66","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"20c565ad-cc5d-49e9-ad7b-c484ba11e2cd","HCM_1271.txt","church of St. Ethelbert of Hereford","char-offset:110","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral
","",""
"203e57c9-1018-4142-b53a-3f5cbcc40074","HCM_1271.txt","Wyneston'","char-offset:264","PLACE","","","","","","","UNVERIFIED","Settlement","is W. in suburbs of H?
","",""
"87401cd5-5e1f-4d0e-941a-2f7ca3fe5129","HCM_1271.txt","Welinton',","char-offset:417","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"10ed288c-6f8f-4a88-9f45-05bca14a7f73","HCM_1271.txt","Gardino","char-offset:437","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"e79e9c18-8632-4a87-8212-d59552074356","HCM_1271.txt","la Neuton',","char-offset:455","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"af196774-76a8-4b50-a003-f0da0a79a02b","HCM_1271.txt","Barewe","char-offset:505","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ee73baee-1c1b-4676-9f57-7e84a6da2484","HCM_1277.txt","Samer.","char-offset:48","PLACE","http://sws.geonames.org/2976291","Samer","","50.6384","1.74628","","UNVERIFIED","Nominative|Settlement|OCR","Chaundos (not Samer)","",""
"7e4dcb4b-2faa-4829-b51b-7368c5522fbe","HCM_1277.txt","church of St. Ethelbert of  Hereford","char-offset:82","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"3b1b9871-2a55-4029-b297-b2097c206ec5","HCM_1277.txt","Preston' djuxts Mockas","char-offset:162","PLACE","","","","","","","UNVERIFIED","Settlement","Preston juxta Moccas = Preston on Wye","",""
"fd954382-e986-4180-8811-d95e5e6f39f2","HCM_1277.txt","Hommelacy","char-offset:189","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
