"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"32e906bb-8b93-436d-a339-54281a596211","HCM_648a.txt","diocese of Norwich","char-offset:73","PLACE","","","","","","","UNVERIFIED","Area|Ecclesiastical","","",""
"9f90124f-8e06-4e58-8275-e6d9c15c943a","HCM_648a.txt","London","char-offset:123","PLACE","http://sws.geonames.org/6058560","London","","42.98339","-81.23304","","UNVERIFIED","Nominative|Settlement","","",""
"46bf2c82-2083-43b0-870d-27748efa0707","HCM_648a.txt","oeee","char-offset:170","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Culnygg'","",""
"49450aeb-a4cb-4187-9c9e-586fdeaab854","HCM_648a.txt","Hereford","char-offset:202","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"c06a10b8-30a8-4651-8169-820c4a1c2bea","HCM_648a.txt","deaneries of Clar'","char-offset:218","PLACE","","","","","","","UNVERIFIED","Area|Ecclesiastical","co. Suffolk","",""
"133300c9-eb90-428c-95cb-add555720f42","HCM_648a.txt","Thedwardiston', co. Suffolk","char-offset:241","PLACE","","","","","","","UNVERIFIED","Area|Ecclesiastical","deanery of","",""
"cae79ddc-be61-49fe-bbfa-dcc760983154","HCM_648.txt","Maddeley","char-offset:106","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"ac82b31b-d73e-454b-a7ab-60796334c046","HCM_648.txt","DyEE","char-offset:138","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","here Dypre but elsehwere d'Ypre or Ipre","",""
"0f501a1b-b388-4563-94b8-9cf6969da05a","HCM_648.txt","cages","char-offset:154","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Karewardin","",""
"8d6cc723-b5ac-4309-9749-8133f16d4e5c","HCM_648.txt","Kinleye","char-offset:171","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"42d5805a-2389-4ac4-801a-24acf4bb84b5","HCM_648.txt","ewoye","char-offset:191","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Godeweye","",""
