"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"1f2990f5-4fe6-4298-9f67-da22d5f19212","HCM_2573.txt","1503","char-offset:9","","","","","","","","","OCR","1303","",""
"b33d6846-55dc-4cd9-bb6d-1c0a17af8287","HCM_2573.txt","cathedral church of Hereford","char-offset:128","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"03faf0e4-36cc-471c-bc92-db73b30d6aea","HCM_2573.txt","archdeaconry and deanery of Hereford","char-offset:176","PLACE","","","","","","","UNVERIFIED","Area|Ecclesiastical","archd of H
","",""
"550444f3-c8a7-46ff-8860-6836a03bd5ce","HCM_2573.txt","deanery of Hereford","char-offset:193","PLACE","","","","","","","UNVERIFIED","Area|Ecclesiastical","","",""
"67e1feb3-3b71-4385-bc56-6381ba620e89","HCM_2573.txt","Roman Church","char-offset:242","PLACE","http://pleiades.stoa.org/places/480057748","San Giovanni de Butris","","42.6804025","12.5504878","church","UNVERIFIED","Area|Ecclesiastical","","",""
"f56d74a2-a244-4229-bfdc-6d0674c8c717","HCM_2573.txt","iS aenkuus o. e hagdalens,","char-offset:301","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical|OCR","Magdalene, John de (chaplain of Bp's chapel of St Mary M at H?)","",""
"af6bfbf2-0337-44b1-a73b-0f30dba707a4","HCM_2573.txt","atoresaid church","char-offset:355","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Hereford Cathedral
","",""
"be1d7bf8-83cf-4550-b9a2-18b0dac2b258","HCM_2573.txt","diocese Hereford","char-offset:526","PLACE","","","","","","","UNVERIFIED","Area|Ecclesiastical","","",""
"d1544bd0-fe35-419a-83aa-b89787b79452","HCM_2573.txt","Heref ’","char-offset:553","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"449deedb-52de-4a92-bf38-9ac1dfd394c1","HCM_2574.txt","Henor'","char-offset:88","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"1cb664fa-f050-4bd3-bf10-b44738a3cd71","HCM_2574.txt","church of Hereford","char-offset:124","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"4b4dbba4-b377-441b-acbb-7e68743bd8e4","HCM_2574.txt","Hereford","char-offset:304","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"811eb824-3a9d-45bb-af04-64802c8d785c","HCM_2563.txt","Henouere","char-offset:51","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"cb603452-e513-48e7-8932-77cf65e1237f","HCM_2563.txt","Hereford","char-offset:85","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"57c4c9f6-8f47-427a-8dcf-bcad979371de","HCM_2561.txt","Meltone","char-offset:42","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"9791343b-4e41-4b51-8d0e-b883d9b55659","HCM_2561.txt","Hereford","char-offset:75","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"9f651b32-c795-4c8d-8759-121e44c0aed6","HCM_2561.txt","Comberton","char-offset:183","PLACE","http://dare.ht.lu.se/places/25960","Comberton","","52.174904","0.023263","","UNVERIFIED","Nominative|Settlement","","",""
"32b5a5ff-9d17-4a52-bfd9-3d82f8bbb348","HCM_2561.txt","York","char-offset:267","PLACE","http://sws.geonames.org/2633352","York","","53.95763","-1.08271","","UNVERIFIED","Given at|Settlement","","",""
"8ee0cdda-275f-458a-909e-770397fd79a6","HCM_2564.txt","Warr'","char-offset:82","PLACE","http://sws.geonames.org/4554687","Warr Acres","","35.52256","-97.61893","","UNVERIFIED","Nominative|Settlement|OCR","Warwick","",""
"86a53b8a-4583-4394-bd55-672ff3e5b7a0","HCM_2564.txt","chureh of St. Ethelbert of Hereford","char-offset:116","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"27bd2320-df66-4d7f-9c20-9e822ec9a0d2","HCM_2564.txt","York","char-offset:261","PLACE","http://sws.geonames.org/2633352","York","","53.95763","-1.08271","","UNVERIFIED","Given at|Settlement","","",""
"b3042f87-3e38-432e-98c7-a13f8d28b623","HCM_2565.txt","warewyk'","char-offset:81","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"939e584e-02a4-48c9-a3a3-cef70f634956","HCM_2565.txt","church of St. Ethelbert of Hereford","char-offset:118","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"84fe20d1-08c4-4ece-89dc-c31749c1acf9","HCM_2565.txt","la Berewe","char-offset:179","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"fee66d6b-ccff-4d68-9714-30948660f547","HCM_2565.txt","York","char-offset:269","PLACE","http://sws.geonames.org/2633352","York","","53.95763","-1.08271","","UNVERIFIED","Given at|Settlement","","",""
"2cabcf04-27a3-474b-9f3a-0a08e7a5159e","HCM_2554.txt","Barewe","char-offset:88","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"11f9574e-9335-44a8-a12e-233d871f29f3","HCM_2554.txt","Hereford","char-offset:129","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"358c7ea0-d8f6-445c-b696-e75a94253360","HCM_2554.txt","Hereford","char-offset:365","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"ad61ba50-fca0-4006-96d0-77ebf145b804","HCM_2559.txt","Henor'","char-offset:101","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"bb7cadbf-3746-409a-af12-db69e8269699","HCM_2559.txt","Hereford,","char-offset:132","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"c3d8346c-e73d-4c7b-9c32-d90b997a43af","HCM_2559.txt","Foston'","char-offset:176","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"4268613e-2c3a-4fb8-9648-c50d0e12b321","HCM_2559.txt","Hereford","char-offset:348","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"82f5ef47-774f-4b96-8871-491934e22319","HCM_2566.txt","et","char-offset:80","PLACE","http://pleiades.stoa.org/places/373900","et-Tailimun|et-Tailimun","0300/0640","31.591616","20.172572","fort","UNVERIFIED","Nominative|Settlement|OCR","Cumberton","",""
"1fbdbd42-3492-4855-a748-a579cd18ff42","HCM_2566.txt","Hereford","char-offset:107","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"c6cebbce-7179-437b-bac0-100a7cd5f050","HCM_2566.txt","la Barewe","char-offset:141","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ea3ec963-9bf2-406d-95a5-f92d7fe778ac","HCM_2566.txt","York","char-offset:235","PLACE","http://sws.geonames.org/2633352","York","","53.95763","-1.08271","","UNVERIFIED","Given at|Settlement","","",""
"761ed3fa-6825-42d6-85df-3149ed6fa308","HCM_2553.txt","Warrewyk","char-offset:83","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"7089983f-6afa-47b4-b433-9be68ba46266","HCM_2553.txt","erefford","char-offset:117","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical|OCR","Hereford Cathedral","",""
