"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"d49c8558-05d8-4633-be45-361eb1b29d39","HCM_97.txt","Hereford","char-offset:117","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"f565dd26-b13a-491d-8f54-3e33fd324129","HCM_97.txt","Duddeleye","char-offset:146","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"d016646c-e367-43f2-8895-f79fcacb06eb","HCM_97.txt","St. Mary in church of All Saints fn Hereford","char-offset:169","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","chantry / altar","",""
"b4e75bbf-bc7f-4b01-ac60-9226fb8494da","HCM_97.txt","church of All Saints fn Hereford","char-offset:181","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"d76377fe-0c42-46fc-8424-1420e87c58bb","HCM_97.txt","Hereford","char-offset:250","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Settlement","","",""
"5e52b655-ccc5-403f-9fe3-d732e07d8fb0","HCM_97.txt","street called Beauual","char-offset:264","","","","","","","","","Roadway","in Hereford
","",""
"04957d59-cea7-4c43-8fe6-b3d4b29336f5","HCM_97.txt","Hereford,","char-offset:441","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"2b8232b8-e80f-4840-98e9-0bfd110b8d3b","HCM_97.txt","jataerys","char-offset:552","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Ledbury","",""
"5a1460ec-51b2-48f3-a9dd-07e2eac9c731","HCM_97.txt","Hereford","char-offset:570","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"a7300af9-f8ae-4f0f-bbd4-2eca33e72108","HCM_97.txt","Clehungr'","char-offset:603","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"c26caec0-bea2-4917-93ba-8ad028d4c23d","HCM_97.txt","Hereford","char-offset:649","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese of
","",""
"ee97d4dc-8081-4800-a8a4-f00d8a537d1a","HCM_97.txt","iiompton","char-offset:700","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Hompton","",""
"167f0d97-18d5-4423-92a9-9e21d874d2c5","RBLR_0701.txt","RBLR 0701","char-offset:0","","","","","","","","","Research","Text needs adding, from DB manual additions file
","",""
"ce534a20-fa6b-418b-b1fc-cb07eb56a58c","RBLR_0905.txt","RBLR 0905","char-offset:0","","","","","","","","","Research","incomplete OCR?
","",""
"588f259d-ac8f-46dc-a521-7727a3bea717","RBLR_0905.txt","Brinsop {Bruneshope}","char-offset:50","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"1bb1cb55-79da-42ca-ae15-203768097585","RBLR_0905.txt","Hereford","char-offset:74","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"26208725-0c50-4875-9db1-8d49ee66de36","RBLR_0905.txt","Reygate","char-offset:110","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"c77972d9-8509-4449-857a-1bce607f2171","RBLR_0905.txt","Hereford Cathedral","char-offset:139","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"38538004-e450-43c7-a792-29c1234733c0","RBLR_0905.txt","Hereford","char-offset:231","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"7f35741e-3f6c-4aae-b9ed-148680d78b92","HCM_98.txt","Duddeleye","char-offset:107","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"18c7f951-e57f-4fbb-b868-19813a841956","HCM_98.txt","St, Mary in the church of All Saints in ‘ereford","char-offset:130","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","chantry / altar
","",""
"ac8721b2-6e09-4bc3-a0a8-5f87fbcfb257","HCM_98.txt","Hereford","char-offset:225","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"7a696649-21c9-4fb8-8dd5-11d48eac386d","HCM_98.txt","Hereford","char-offset:271","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Settlement","","",""
"dbd032e6-5fda-478f-a476-d0d1d72b4585","HCM_98.txt","street called Beauual","char-offset:285","PLACE","","","","","","","UNVERIFIED","Roadway","in Hereford
","",""
"7ba9c675-58b4-4758-b875-97392d7efa42","HCM_98.txt","tenement belonging to vicarage","char-offset:332","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","in Beauual Street in Hereford, vicar of St Mary at All Saints in Hereford","",""
"b767a71e-133b-4c00-bc12-88d417037adc","HCM_98.txt","Hereford","char-offset:438","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"163d84da-07c4-4eb0-90ff-ccf311f49b8e","HCM_98.txt","Ledebury","char-offset:544","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"2fbf4753-9cf2-426d-b834-92de3084ce03","HCM_98.txt","Hereford","char-offset:563","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"19b92bb9-af74-4ba5-9fb5-b2aae732dbec","HCM_98.txt","eet","char-offset:596","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Clenhunger","",""
