"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"84a65873-31bc-4283-8def-3ee499201437","HCM_2678.txt","Hyntes","char-offset:104","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"c62d582c-5660-4e84-a25b-013e7676c6ab","HCM_2678.txt","Hereford","char-offset:143","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"f88a8e26-fafe-40c7-ace4-c684afc8ff2d","HCM_2678.txt","Hereford","char-offset:345","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"df8a7156-78ff-4f33-84f8-c7b2083ae219","HCM_2676.txt","church of St. Ethelbert of Hereford","char-offset:107","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"0c10f6c4-96d0-44a5-b0f9-5a9e9755a67b","HCM_2676.txt","Lanthony Prima in Wales","char-offset:156","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"a4f40716-f383-4173-8ef7-44324c959ed9","HCM_2676.txt","Barewe","char-offset:205","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"533f56bc-ef41-4035-9004-814051d3e885","HCM_2676.txt","chapter-house at Hereford","char-offset:342","PLACE","","","","","","","UNVERIFIED","Given at|Building|Ecclesiastical","","",""
"d4daed9c-d58d-4422-9c1d-832e8cdee261","HCM_2666.txt","henor'","char-offset:69","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"fe31a9a9-8e17-49ea-bd51-d2ea4fb73af3","HCM_2666.txt","church of Hereford","char-offset:104","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"a514c10e-ea0e-469f-841b-0b3245e3b6e1","HCM_2666.txt","Hereford","char-offset:273","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"64aacd4b-cc4c-49fc-b34d-e32381152464","HCM_2686.txt","church of Stanton' Lacy","char-offset:95","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"b93cf75f-85cc-4ecd-8b8b-a1ef6a6de366","HCM_2686.txt","Salop","char-offset:140","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical","archdeaconry","",""
"43f2acdc-0270-4318-8e1d-0ad0e2bb4206","HCM_2686.txt","chureh of Duddelebur',","char-offset:278","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"be7feaab-a56b-4855-952f-89167cf06a54","HCM_2686.txt","Hereford","char-offset:328","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"c2ab09ed-f271-4c39-98b1-04590de7a1a8","HCM_2686.txt","church of Colmynton","char-offset:409","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"5a7caebb-894b-4913-ba64-7ffe82e792a1","HCM_2686.txt","Stanton","char-offset:441","PLACE","http://sws.geonames.org/5531683","Stanton","","32.12929","-101.78846","","UNVERIFIED","Given at|Settlement","Stanton lacy
","",""
"ee7fcd70-0285-424f-a2d2-9a597a38a159","HCM_2671.txt","Cotinton',","char-offset:37","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"cd51bedc-45c6-4788-ae20-e34738fe8d3c","HCM_2671.txt","Hereford","char-offset:81","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"fdd357f4-9e8e-4417-b5d1-3a34721a5c32","HCM_2671.txt","Hereford","char-offset:268","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"9d4d2b9d-b151-4a96-b4f0-bfa15c05fafd","HCM_2667.txt","Bromfeld","char-offset:95","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"b910c181-bfa7-4e1f-81e0-8eba2d7b6631","HCM_2667.txt","church of St. Ethelbert of Hereford","char-offset:132","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"0a9f87a7-b639-4bf0-9902-61202c89d193","HCM_2667.txt","Barwe","char-offset:193","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"8755a43b-d9b3-4137-baba-35195b9c47f1","HCM_2667.txt","London","char-offset:345","PLACE","http://sws.geonames.org/6058560","London","","42.98339","-81.23304","","UNVERIFIED","Given at|Settlement","","",""
"4eb22e49-3828-4f53-bdaf-a4b355e71fd2","HCM_2674.txt","Hereford","char-offset:68","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"c9ddcbb5-5400-4885-8c44-aaa99bfab163","HCM_2674.txt","England","char-offset:142","PLACE","http://geo-kima.org/place/12708","England","","","","","UNVERIFIED","Nominative|Area|Governmental","","",""
