"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"49c8f98a-5090-45d4-b975-03f7d5ac06d1","HCM_1815.txt","Cheftre","char-offset:43","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"f5359cab-d9bc-4e53-894c-f7c20c4b4f08","HCM_1815.txt","Wolfputte","char-offset:74","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"d85c0537-0136-4eed-aa42-c84a91e2069c","HCM_1815.txt","Hospital of St. Katherine of Ledbury","char-offset:105","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"1ce434e1-ea7a-4ea4-98bc-156f6a4947d2","HCM_1815.txt","field called fuerecoumbe","char-offset:269","PLACE","","","","","","","UNVERIFIED","Agricultural|OCR","Euerecoumbe, in / nr Ledbury, given by de Wolfputte","",""
"aba8fc77-d34a-4d7d-9d51-70545aba996b","HCM_1815.txt","said Hospital","char-offset:347","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","Ledbury St Katherine's
","",""
"082a390c-bac4-4b39-ac29-ce7d7ed26bd3","HCM_1815.txt","Solers","char-offset:382","PLACE","http://sws.geonames.org/2974362","Solers","","48.65919","2.71617","","UNVERIFIED","Nominative|Settlement","","",""
"9bc36086-44d3-40f9-b2cf-4a7f0b415f5f","HCM_1815.txt","“olfputte","char-offset:433","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Wolfputte","",""
"5413a8f0-2b3e-4e94-8278-da05c7b19b3b","HCM_1804.txt","Ledbury","char-offset:169","PLACE","http://sws.geonames.org/2644707","Ledbury","","52.03639","-2.42635","","UNVERIFIED","Nominative|Settlement","","",""
"64096de6-b918-4cea-936c-fa15ee59073a","HCM_1804.txt","Hospital of St. Katherine of Ledbury","char-offset:376","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","","",""
"d20fb50f-e586-47d9-b263-99cac3aa9030","HCM_1804.txt","Ledbury","char-offset:624","PLACE","http://sws.geonames.org/2644707","Ledbury","","52.03639","-2.42635","","UNVERIFIED","Settlement","","",""
"a4adec5d-1313-47cf-991f-6e8aaa41197c","HCM_1804.txt","Hospital","char-offset:668","PLACE","http://mapoflondon.uvic.ca/BETH1.htm","Bethlehem Hospital","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Ledbury St Katherine's
","",""
"e4d04332-2c15-4179-b256-d740ac675ef8","HCM_1804.txt","le Southende of Ledbury","char-offset:836","PLACE","","","","","","","UNVERIFIED","Roadway","","",""
"43e2cae8-11d3-4a6b-8df6-15ed560ea344","HCM_1804.txt","Machefeld","char-offset:874","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
