"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"24461d90-51b0-42c4-b74b-e6773146832f","HCM_1600.txt","St. Peter's, Gloucester","char-offset:90","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","abbey","",""
"c486f1b1-3976-4aaf-898e-9cbfd424553f","HCM_1600.txt","Bello Campo","char-offset:161","PLACE","http://sws.geonames.org/3460602","Itatiaia","","-22.49611","-44.56333","","UNVERIFIED","Nominative|Settlement","","",""
"fee074f8-1ccf-471c-b9fb-4cf3451c291c","HCM_1600.txt","Bello Campo","char-offset:201","PLACE","http://sws.geonames.org/3460602","Itatiaia","","-22.49611","-44.56333","","UNVERIFIED","Nominative|Settlement","","",""
"42db23e3-b9f9-43c9-b419-8b6f93b0dd34","HCM_1600.txt","Gloucester","char-offset:276","PLACE","http://sws.geonames.org/2648404","Gloucester","","51.86568","-2.2431","","UNVERIFIED","Nominative|Settlement|Research","","",""
"b10c094d-ae0e-4e5c-b534-94f752cd5110","HCM_1600.txt","chapter-house at Gloucester","char-offset:416","PLACE","","","","","","","UNVERIFIED","Given at|Building|Ecclesiastical","","",""
"7915ec44-1179-4d68-805c-6c7ce1385d51","HCM_1626.txt","Herle","char-offset:68","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"3176a175-5f1d-4c10-8d62-a3c2789d031f","HCM_1626.txt","York","char-offset:110","PLACE","http://sws.geonames.org/2633352","York","","53.95763","-1.08271","","UNVERIFIED","Settlement","","",""
"e3d7cc87-e499-4935-ab70-ffba52cd7a70","HCM_1626.txt","Caillewe","char-offset:168","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","related transcriptions give ""John le Callewe (i.e. the bald) by John de Wormede his attorney
","",""
"6ded296c-67af-4a73-8905-5b57c5a88aed","HCM_1626.txt","wormerde","char-offset:206","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"d2820872-7c75-4b9e-a40a-5d6a834c84c7","HCM_1626.txt","St. Peter's, Gloucester","char-offset:242","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","abbey","",""
"c8f28525-28c2-4fdc-8a7d-4f5036400b79","HCM_1626.txt","Pichenecumbe","char-offset:355","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"3423f997-78aa-4a00-b870-0f86e4db8b9a","HCM_1626.txt","Stanedish'","char-offset:515","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"a19b8efd-5b29-46c4-a61d-1a9b7370e676","HCM_1626.txt","“gosworth'","char-offset:672","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Egosworth (maybe Eggesworth?)","",""
"0a7bee8e-2b40-477c-9232-c17884daa9ef","HCM_1654.txt","Kynemarsbur'","char-offset:41","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"78861f0e-3b09-4530-87ac-32de40c95911","HCM_1654.txt","St. Peter's, Gloucester.","char-offset:71","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","abbey","",""
"ace5d9a4-df15-429a-bba9-dc54baeb41c5","HCM_1654.txt","Brockeworthe","char-offset:295","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"2181a370-24d2-474b-b496-162c339e82d1","HCM_1654.txt","Mactesdon'","char-offset:333","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"164568b9-598b-42cc-b0a7-d589d0e7e0a0","HCM_1654.txt","Okeholte","char-offset:356","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"a4b8fa0d-ee0f-4ed1-8190-190770ccd7e2","HCM_1654.txt","Duntesburne","char-offset:392","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"0303dcbc-eee5-45f2-a09e-1e725c3dde2d","HCM_1657.txt","Pychenecombe","char-offset:142","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"371dddc0-2a9e-4288-b948-421af7da603c","HCM_1657.txt","St. Peter's, Gloucester","char-offset:174","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","abbey","",""
"4af269ed-67ed-4b69-b9e0-9077d994873f","HCM_1657.txt","Pychenecombe","char-offset:444","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"81fbff29-c0b0-43a1-bf55-ed74d3cc6adf","HCM_1657.txt","Stanedichss","char-offset:467","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"4773ae2f-f009-4b72-b4c1-ef53050f9f3d","HCM_1657.txt","Clifford","char-offset:502","PLACE","http://sws.geonames.org/2652844","Clifford","","52.1","-3.1","","UNVERIFIED","Nominative|Settlement","","",""
"53a77ce4-36aa-405d-a120-abdc8c5c1ea7","HCM_1657.txt","Masyntone","char-offset:523","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"36aaa267-dc9e-464e-b3f3-d5c33a88d839","HCM_1657.txt","Pydesmore","char-offset:563","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"60af8c02-b4e2-413f-b123-11e8d1d58469","HCM_1657.txt","Wyke","char-offset:583","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"3f7f5b47-803a-4056-80df-41be38b835b3","HCM_1601.txt","Uptone St, Leonard","char-offset:257","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"aea7e3c7-100c-4fe4-9f8a-34e55716236f","HCM_1601.txt","Ronlleshull’","char-offset:285","PLACE","","","","","","","UNVERIFIED","Natural Feature","in Upton St Leonard","",""
"dfbe5800-598c-43be-a4cb-b69f1c026924","HCM_1601.txt","St. Peter's, Gloucester,","char-offset:485","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","abbey","",""
"17183b0d-b913-4da2-9e95-7f04af0d283c","HCM_1601.txt","Upton’ St. Leonard","char-offset:553","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"288c0c58-aa62-4e26-b850-cabfdf05967b","HCM_1601.txt","Brocworth","char-offset:628","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"f3448c07-d881-4e9b-bafa-e7c9bb3b452b","HCM_1601.txt","Ockolt'","char-offset:647","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"5cf73c48-b352-42ee-9122-dea394449ea6","HCM_1601.txt","nents","char-offset:696","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Eweny","",""
"ba6223f2-6e87-4006-872d-910e9a0d68ef","HCM_1621.txt","Gloucestershire","char-offset:97","PLACE","http://geo-kima.org/place/8604","Gloucestershire (England)","","","","","UNVERIFIED","Nominative|Area|Governmental","","",""
"38c1aafe-bc0d-42fe-a6c9-1aa3bba17751","HCM_1621.txt","vill of Gloucester","char-offset:183","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"a27fed8e-3144-49f4-b254-9d9bbe74002d","HCM_1621.txt","Gloucester","char-offset:269","PLACE","http://sws.geonames.org/2648404","Gloucester","","51.86568","-2.2431","","UNVERIFIED","Nominative|Building|Ecclesiastical","Abbey","",""
"1297e25b-65da-4bcd-b677-f88f880431e0","HCM_1621.txt","Wygorn","char-offset:289","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"c604e0cd-c16c-4b07-887b-467dc01b9c76","HCM_1621.txt","Hingham","char-offset:356","PLACE","http://sws.geonames.org/2646856","Hingham","","52.57969","0.98422","","UNVERIFIED","Nominative|Settlement","","",""
"7cb89a44-b6b8-43e3-94c5-842378336bd4","HCM_1621.txt","Ryonnes","char-offset:383","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"0e621918-f64c-4c4e-aaa0-4a708c998847","HCM_1621.txt","Weston","char-offset:478","PLACE","http://dare.ht.lu.se/places/25962","Weston","","51.961033","-0.149112","","UNVERIFIED","Nominative|Settlement","","",""
"ce19dc99-8845-44fd-aaf0-6f1e19821e32","HCM_1621.txt","Hunteleye","char-offset:528","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"117e9616-cf9a-405c-953a-fa08640f82e5","HCM_1621.txt","Lassindon","char-offset:589","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"3d96623b-2135-4251-b87b-222d30b484a1","HCM_1621.txt","Westminster","char-offset:763","PLACE","http://sws.geonames.org/5408406","Westminster","","33.75918","-118.00673","","UNVERIFIED","Building|Governmental","","",""
"bbc6f28c-c686-487f-a530-500bda5b056f","HCM_1621.txt","Menstr’ in island of Thanet","char-offset:906","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"2c6a930b-b415-4634-b7df-412bf8bd099e","HCM_1647.txt","2. Sodas","char-offset:130","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Pynchencoumbe","",""
"741b237f-dab7-42c5-9eb2-00710670fd39","HCM_1647.txt","St. Peter’ ° a","char-offset:165","PLACE","http://pleiades.stoa.org/places/69567"," St-Peter-Port|St-Peter-Port","-0330/0640","49.46466","-2.552199","settlement,port","UNVERIFIED","Nominative|Building|Ecclesiastical|OCR","Gloucester St Peter's Abbey
","",""
"d6a2a0e5-9679-41f0-a675-a65ed455a321","HCM_1647.txt","vill of Pychenecoumbe","char-offset:341","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"2c2cb6d8-b74e-49a6-943a-2d698fe6bb54","HCM_1647.txt","Stanedith","char-offset:373","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
