"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"d0522878-b175-4115-9806-b6f442a07d4e","HCM 542.txt","Burchulle","char-offset:58","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"4abb98d3-1c40-46e6-a36e-0b06066c6e67","HCM 542.txt","Mora","char-offset:90","PLACE","http://sws.geonames.org/2513588","Mora","","39.68492","-3.77394","","UNVERIFIED","Nominative|Settlement","","",""
"97ae5eb1-ef71-48b9-a1c7-a98bc5ff0636","HCM 542.txt","Geraescroft","char-offset:184","PLACE","","","","","","","UNVERIFIED","Settlement|OCR","Gerlescroft","",""
"dc165943-06df-4eeb-b159-4f2708fddb69","HCM 542.txt","Euesham","char-offset:265","PLACE","http://mapoflondon.uvic.ca/STED2.htm","St. Edmund the Bishop and Mary Magdalen, Charnel House and Chapel of","","","","","UNVERIFIED","Nominative|Settlement","","",""
"3fb037c9-3364-4ba7-83d7-52f52afd4afb","HCM 542.txt","Middeldich","char-offset:370","PLACE","","","","","","","UNVERIFIED","Natural Feature","","",""
"35c53cbc-258f-415b-815e-016909660911","HCM 542.txt","Rora","char-offset:445","PLACE","http://sws.geonames.org/8354995","Rora","","-8.4772","118.5115","","UNVERIFIED","Nominative|Settlement|OCR","Mora","",""
"8053a48c-e9fc-4f89-a1be-e3edcd58c81f","HCM 542.txt","Holemar","char-offset:472","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"88e9cb36-7bff-40fa-bd01-622b076e1786","HCM 542.txt","the same","char-offset:502","PLACE","http://pleiades.stoa.org/places/775","Africa (region)","-0030/0300","32.5","7.5","region","UNVERIFIED","Nominative|Settlement","Holemar","",""
"1a789161-284b-4bb4-af71-2c51f711b757","HCM 542.txt","Welintons","char-offset:566","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"7c0245fe-3214-4581-af9f-a1417f62da89","HCM 1066.txt","Bree","char-offset:66","PLACE","http://sws.geonames.org/2801093","Bree","","51.14152","5.5969","","UNVERIFIED","Nominative|Settlement","","",""
"e0c57c97-8e3c-4216-93b9-eb5dd52092b8","HCM 1066.txt","church of Hereford","char-offset:89","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"98b75db9-a1e4-4edb-b392-5051ea3b8924","HCM 1066.txt","Hereford","char-offset:240","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"330b4c0b-7f65-46f6-a734-0cf6a44fd5b9","HCM 1066.txt","Sugwaa","char-offset:252","PLACE","","","","","","","UNVERIFIED","Settlement","Sugwas","",""
"e6268989-2042-43e2-920f-132310bbe934","HCM 1066.txt","way towards the mill of Sugwaa","char-offset:267","PLACE","","","","","","","UNVERIFIED","Roadway","","",""
"2449c410-b44e-40a2-b10e-a7c845b9cf68","HCM 1066.txt","mill of Sugwaa","char-offset:283","PLACE","","","","","","","UNVERIFIED","Building|Mercantile","","",""
"6e723c93-2b32-4866-8ce2-31e927546475","HCM 1066.txt","Monteforti","char-offset:398","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"56890670-3adb-417d-86bb-155a1b535c30","HCM 1066.txt","Hereford","char-offset:423","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"f8d61c0d-b199-41fb-9f18-f9472d062d21","HCM 1066.txt","Hudmarl","char-offset:456","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Redmarley [d'Abitot]
","",""
"dda6b3c4-3678-4644-9951-cb6ef2704415","HCM 1066.txt","Urendsn","char-offset:477","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Grenden'","",""
"d19d56b0-2d79-4cd0-8a55-553a25680bef","HCM 1066.txt","Cleunge","char-offset:498","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Clehunger","",""
"5ea56cff-550c-495b-96aa-fd971d5be62f","HCM 1066.txt","Braunford","char-offset:518","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"2aad0a18-17c5-499f-bc12-01ef0022b501","HCM 1413.txt","COPY of No. 1412","char-offset:10","","","","","","","","","Research","","",""
"95c06761-6da5-4682-9c76-17eb65d651a4","HCM 1758.txt","Hewerft","char-offset:111","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Newent","",""
"2ebfc525-908c-4984-9d73-cbf4b017627a","HCM 1758.txt","Hereford","char-offset:129","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"791f3703-fb65-4302-99ed-196d9507a8a1","HCM 1758.txt","Lyre","char-offset:197","PLACE","http://pleiades.stoa.org/places/847906","Sthenelou monu./Lyre","-0330/-0030","","","unlocated","UNVERIFIED","Nominative|Building|Ecclesiastical","abbey","",""
"54ffccdc-e116-4258-ab06-8e21f4f3bb20","HCM 1758.txt","Hereford","char-offset:228","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"fd070c01-9235-4671-a7f0-a65c4dc605f7","HCM 1758.txt","church of Swiringfeud'","char-offset:269","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical|OCR","Swingfeud [but is this Swinfield or Shinfield?]
","",""
"9c301981-eaaf-41a1-8d23-cc690728f90b","HCM 1758.txt","Eileby","char-offset:371","","","","","","","","","Nominative|Settlement|OCR","Fileby","",""
"d73df029-b5b6-4199-96d1-edf2ecaa9d66","HCM 1758.txt","Newerc","char-offset:388","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Newent","",""
"f2c4bc33-3c16-40ea-82f6-806bf0f4556a","HCM 1758.txt","Bree","char-offset:404","PLACE","http://sws.geonames.org/2801093","Bree","","51.14152","5.5969","","UNVERIFIED","Nominative|Settlement","","",""
"03b54139-820c-460a-8e01-35f23a6f95ab","HCM 1758.txt","Gaio","char-offset:444","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"03b1538c-6916-44ca-8062-cffb2214c143","HCM 1758.txt","Must'io","char-offset:458","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"c6f30482-2408-48c8-8de0-fc787a42107f","HCM 1758.txt","Dunre","char-offset:475","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"b8bfe858-afc1-4488-9bd3-70516f74a91f","HCM 2294.txt","St. Peters, Gloucester","char-offset:68","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","abbey","",""
"c766b985-2e97-4da9-8d48-ad22fa69a083","HCM 2294.txt","Euweny","char-offset:257","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","priory","",""
"e73d7774-02af-40d4-abb4-dadd9c5bdfde","HCM 2294.txt","Gloucester","char-offset:662","PLACE","http://sws.geonames.org/2648404","Gloucester","","51.86568","-2.2431","","UNVERIFIED","Given at|Settlement","","",""
"e12b407a-ddea-4d17-b3a7-6dcf95fe308f","HCM 105.txt","Brunhope","char-offset:30","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"3127c0e8-a017-4d9a-b5b5-a9a2cdea2fdd","HCM 105.txt","Hereford","char-offset:100","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Settlement","","",""
"88afcd4d-107d-494f-b511-943bfb93313e","HCM 105.txt","street of Beauual","char-offset:116","PLACE","","","","","","","UNVERIFIED","Roadway","in Hereford
","",""
"b6d3d418-bd5a-47bb-aa6a-7f0037f35ab0","HCM 105.txt","Lustone","char-offset:176","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ccfc4e50-d189-477f-b196-d55f1c020966","HCM 105.txt","Glouceatr","char-offset:433","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Gloucester","",""
"6f69f8d4-37e2-47ea-94d4-3b5339a83f27","HCM 105.txt","Aula","char-offset:453","PLACE","http://pleiades.stoa.org/places/780510607","Aula Palatina","1700/2100","49.75349258316946","6.643468649239467","basilica","UNVERIFIED","Nominative|Settlement","""Halle"" ?
","",""
