"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"ae168625-741c-4209-923b-da66e0bf2dd8","HCM_2507.txt","church of St, wena bore. Herefords","char-offset:60","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical|OCR","Hereford Cathedral","",""
"fa4c72cc-38ae-40ad-b19a-441f35bc3f14","HCM_2507.txt","aforesaid church","char-offset:122","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Hereford Cathedral","",""
"f4a5c759-55bd-4082-b1f2-2cbe104f9f4a","HCM_2507.txt","Homme Lacy","char-offset:160","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"e64f50ef-8208-47a9-911c-f788577b8f73","HCM_2507.txt","church of Hereford","char-offset:604","PLACE","","","","","","","UNVERIFIED","Given at|Building|Ecclesiastical","cathedral","",""
"85ac001b-5b18-4d18-b8ef-a5b3c6f23db2","HCM_2505.txt","Nortone","char-offset:159","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"892b69c6-338d-49e7-9120-0fe87eb69c69","HCM_2505.txt","church of St. Ethelbert of Hereford","char-offset:190","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"b01cd98c-cb1c-44e1-912b-5db74d4dafb6","HCM_2505.txt","two windmills in the vill of Nortone","char-offset:325","PLACE","","","","","","","UNVERIFIED","Building|Mercantile","","",""
"c7fe0c8d-ed8e-4a03-b270-4d330001156b","HCM_2505.txt","chapter-house at Hereford","char-offset:410","PLACE","","","","","","","UNVERIFIED","Given at|Building|Ecclesiastical","","",""
"66503271-3578-400c-a38a-51cad8921e17","HCM_2503.txt","manor of Preston'","char-offset:111","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"3e49ee53-0f46-442a-a2b0-07b4e4381c4b","HCM_2503.txt","Muriual","char-offset:173","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"551c1471-52b7-43f0-a334-eb1ae1574e90","HCM_2503.txt","godeweye","char-offset:193","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"4e2efc39-f8f4-4a9b-a07b-10e95e290df0","HCM_2503.txt","Kynley","char-offset:211","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"f0932e7c-06fe-49ed-ab71-4e64b0642a1d","HCM_2503.txt","lolham","char-offset:227","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"84544c43-280a-44f6-beba-d20345bae992","HCM_2503.txt","la hide","char-offset:243","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"82ff530c-3bd8-443c-ae5c-20ae0a3a7f36","HCM_2503.txt","childestone","char-offset:329","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"7bf646ab-8795-4fb0-83f7-e984229978b0","HCM_2503.txt","Waleys","char-offset:352","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Governmental","","",""
"86600fce-056b-4fb2-baa0-b269aece14ed","HCM_2503.txt","la Bache,","char-offset:362","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ba3420d3-e740-47a6-a78e-799a8b18af28","HCM_2503.txt","franceis","char-offset:380","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Governmental","","",""
"4a978359-f1ef-401e-8341-dbe8b897af5f","HCM_2503.txt","la ford","char-offset:399","PLACE","http://pleiades.stoa.org/places/138329","Divona|Divona/Cadurcus/Civitas Cadurcorum, Cahors|Cahors","-0030/2100","44.447304","1.442975","bath,settlement","UNVERIFIED","Nominative|Settlement|Natural Feature","Natural feature instead?","",""
"b82f0ccc-984b-4162-88d0-fce56598f517","HCM_2503.txt","la felde","char-offset:480","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ce4e2f81-2c17-471b-af96-9ed9d2213421","HCM_2503.txt","Ploufeld',","char-offset:523","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"1ebd2e83-9a03-4709-b67a-a56fb7c37498","HCM_2508.txt","church of St, Bthelbert of Hereford","char-offset:116","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"0006cca5-889e-4710-aeb1-6b9f236f6a56","HCM_2508.txt","Mordiford","char-offset:177","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"7606d07f-1fab-41e7-b59b-0fc37255709c","HCM_2508.txt","water-mill of Woluithehope","char-offset:219","PLACE","","","","","","","UNVERIFIED","Building|Mercantile","","",""
"c4eb9640-debd-47a9-996c-a12f8940d630","HCM_2508.txt","Hereford","char-offset:328","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"7881ca77-f374-479c-8ad7-d156de4a6ba9","HCM_2506.txt","church of St. Ethelbert of Hereford","char-offset:157","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"27fb6346-8ae2-45f8-b23f-667dc6937ba1","HCM_2506.txt","Knulle","char-offset:206","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"fe6cf5b5-062d-4fc6-adef-29a4811a2ec5","HCM_2506.txt","Bodenham","char-offset:224","PLACE","http://sws.geonames.org/2655282","Bodenham","","52.15","-2.68333","","UNVERIFIED","Nominative|Settlement","","",""
"233ab36a-9c37-4915-8163-1d286adca889","HCM_2506.txt","vill of Byford’","char-offset:280","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"88827d1f-a598-404a-b432-756777cc641b","HCM_2506.txt","Barewe","char-offset:314","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"7de9f55c-4e65-43df-958a-fc35c75864b2","HCM_2506.txt","church of the sai","char-offset:336","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical|OCR","Byford Church (rector of church of the said vill)","",""
"412b48f9-9625-49b3-bbc0-c9c852d3c2f5","HCM_2506.txt","Jay","char-offset:366","PLACE","http://sws.geonames.org/4539557","Jay","","36.42119","-94.7969","","UNVERIFIED","Nominative|Settlement","","",""
"07860f62-95a1-476e-98a6-c41bea62624f","HCM_2506.txt","Stokwall'","char-offset:433","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"6013cee2-3c01-40f0-8c3c-96644df0597d","HCM_2506.txt","fyfora’","char-offset:503","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Byford","",""
"747cdb1f-e7e3-48d8-ba71-f2954cb84a0f","HCM_2506.txt","vill of Byford'","char-offset:541","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"40ec2f07-938a-4662-b9e1-02e1d469b350","HCM_2506.txt","Preston’","char-offset:601","PLACE","http://dare.ht.lu.se/places/26027","Preston","","50.643223","-2.421539","","UNVERIFIED","Settlement","","",""
"6b71dfd4-c2c8-4c81-a098-a81386782e35","HCM_2506.txt","Penebrugg'","char-offset:634","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
