"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"cf381c54-eb94-46b9-bc5d-96d5459ea95a","HCM_507.txt","street celled Weybrugges- tret","char-offset:212","PLACE","","","","","","","UNVERIFIED","Roadway","in Hereford
","",""
"9bc9ae88-b861-4f83-88d4-97a1b41d0861","HCM_507.txt","church of St. Nicholas","char-offset:281","PLACE","http://mapoflondon.uvic.ca/STNI4.htm","St. Nicholas Acon","","51.512433","-0.086964","","UNVERIFIED","Nominative|Building|Ecclesiastical","in Hereford
","",""
"4ce0b2de-198d-4f2a-ba3c-406dab804942","HCM_507.txt","Ledeburi","char-offset:350","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"7adb2f8f-c076-4b62-87fd-7b6eb5f3459d","HCM_507.txt","chantry of walter de la Berre in the church of St. Nicholas","char-offset:404","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","at Hereford
","",""
"a5507a21-10cf-4cd5-8824-78e72190f7d4","HCM_507.txt","la Berre","char-offset:425","PLACE","http://pleiades.stoa.org/places/246248","Birra (river)|Birra, Berre","-0030/0640","43.01397","3.06658","river","UNVERIFIED","Nominative|Settlement","","",""
"6b31b183-8589-4e5d-a5db-02366d6c2a42","HCM_507.txt","highway","char-offset:547","PLACE","http://geo-kima.org/place/1914","Alaska Highway","","","","","UNVERIFIED","Roadway","nr Wyebrugge St in Hereford","",""
"ce13d65b-dfe1-4547-a10a-d54370be3117","HCM_507.txt","Irdesleye","char-offset:588","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","Eardisleye","",""
"201f7cf8-9056-4852-9420-d19707a0328d","HCM_507.txt","Hereford","char-offset:608","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"cbe807e8-b087-454f-af27-2e95d29751ee","HCM_507.txt","Brommyord","char-offset:655","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"9e102edc-4b23-4d6b-b4b2-ceb48d6718bd","HCM_507.txt","Stanton","char-offset:676","PLACE","http://sws.geonames.org/5531683","Stanton","","32.12929","-101.78846","","UNVERIFIED","Nominative|Settlement","","",""
"32ab2fa5-f122-4644-90ed-972b75e8f06f","HCM_507.txt","Linton","char-offset:734","PLACE","http://dare.ht.lu.se/places/26175","Linton","","52.091263","0.298888","","UNVERIFIED","Nominative|Settlement","","",""
"7fd1c8dd-a107-4491-a16f-eadef7b172d8","HCM_507.txt","Tuddenor","char-offset:753","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"6a532ba2-0cc9-44e4-8654-52540aa99cc3","HCM_557.txt","Arundel","char-offset:124","PLACE","http://dare.ht.lu.se/places/25933","Arundel","","50.852894","-0.558872","","UNVERIFIED","Nominative|Settlement","","",""
"1c9b5d21-745c-45a0-a92a-a56d17c6a2a2","HCM_557.txt","ere sets","char-offset:135","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Ludegodfrey","",""
"cf58f5ee-dafe-4f72-8bbd-18f5935a1495","HCM_557.txt","Bourghull","char-offset:194","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"47236832-b978-40bf-ac6a-1471747a9ee4","HCM_557.txt","meadow of Welynton","char-offset:249","PLACE","","","","","","","UNVERIFIED","Agricultural","","",""
"17e592c3-dc37-4197-adc4-101c36522f5d","HCM_557.txt","Hompton","char-offset:298","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"1480e563-f7c0-4165-a3a6-130929b07022","HCM_557.txt","selynton","char-offset:397","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Welynton","",""
"20ba00af-035c-4406-ab76-cbf92f9691c0","HCM_557.txt","Tullynton","char-offset:442","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"a2303063-abe7-45fd-b8ec-e73e7b5e5d57","HCM_557.txt","Ludegodefray","char-offset:463","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"2bf143d6-e0cb-4f92-8ff7-04ef47975f07","HCM_557.txt","Arundel","char-offset:497","PLACE","http://dare.ht.lu.se/places/25933","Arundel","","50.852894","-0.558872","","UNVERIFIED","Nominative|Settlement","","",""
"c46e2105-f34a-45c1-8c0f-ae4f1a91ae49","HCM_557.txt","Hompton","char-offset:514","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"46d95eac-9f70-4cb8-85e0-87cf7863eaff","HCM_557.txt","Myners","char-offset:548","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"fbcefa8b-494a-48ab-b498-dec81c3d92a1","HCM_56.txt","Hereford","char-offset:55","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"ae76711b-bdad-4fb6-962c-e64adf167719","HCM_56.txt","la More","char-offset:80","PLACE","http://pleiades.stoa.org/places/912986","Uruk/Orchoe/Erech/Orikut|Uruk/Orchoe/Erech/Orikut, Warka","-6200/2100","31.32216","45.63782","settlement,urban","UNVERIFIED","Nominative|Settlement","","",""
"0d25dc8a-05a9-4f51-8023-525aa0e4718e","HCM_56.txt","Wydemersch  Se ee ee","char-offset:135","PLACE","","","","","","","UNVERIFIED","Agricultural","Wydemersch portfeld'","",""
"742ccdda-80de-44f7-9e22-b8f5a3f6c706","HCM_56.txt","la Berne","char-offset:214","PLACE","http://dare.ht.lu.se/places/45646","Engehalbinsel|Bern|*Brenodunum, Engehalbinsel, Bern|amphitheatre, Bern|thermes, Bern|Bern","-0330/2100","46.983598","7.449678","amphitheatre,settlement","UNVERIFIED","Nominative|Settlement","","",""
"dd912095-07b1-4d1b-a6a9-27d80dab0287","HCM_56.txt","Aylineston","char-offset:409","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
