"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"86301fb7-054f-4878-b25e-625a17f0a11e","HCM_2079.txt","church of Lanwaran","char-offset:116","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","","",""
"de0061ae-756a-4135-a85e-0cb8c052c742","HCM_2079.txt","Hereford","char-offset:210","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"a76f4558-6a8a-4bd7-92ad-669546e24cb6","HCM_2079.txt","Treysac","char-offset:240","PLACE","","","","","","","UNVERIFIED","Settlement|Nominative","","",""
"67ba61db-c23b-49b6-88ba-872ccba2b200","HCM_2079.txt","Rudmerleye","char-offset:286","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ed2c033d-90a7-4c78-bfd0-a796b2516451","HCM_2079.txt","church of a ae","char-offset:312","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical|OCR","Lugwardyn church","",""
"02030d86-6bbb-4bb0-835b-f1cb06c68280","HCM_2079.txt","chapel of Hentien","char-offset:335","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Hentlan chapel, belonging to church of Lugwardyn","",""
"83651f99-7dcd-4cf9-bdd5-a9084e97d421","HCM_2079.txt","chapel of Treysac","char-offset:595","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","","",""
"97472e47-e486-499c-9584-46d4b4b04939","HCM_2079.txt","be eed","char-offset:1074","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Castle Goodrich
","",""
"38cd8674-b8a7-4205-ad60-1d00742cecd5","HCM_2079.txt","Baysham","char-offset:1106","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","church / vicarage
","",""
"04baa330-72ba-4846-855e-85b3615b9371","HCM_2079.txt","ehureh of Foy","char-offset:1144","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
