"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"be41ee20-41fd-4c8e-a01c-dcf0e0392f8c","HCM_2747.txt","church of Hereford;","char-offset:113","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"7dec9e1d-0c60-48e0-b19c-fdde801faa72","HCM_2747.txt","aforesaid church","char-offset:159","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Hereford Cathedral
","",""
"d59978b2-783a-4a00-b5a4-4f1c1a89f85e","HCM_2747.txt","Hereford","char-offset:374","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"4bafa7be-645a-45e7-9662-409d787aba7f","HCM_2746.txt","Hereford","char-offset:114","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"9ccc68f5-a74f-4484-b660-9bda455868ae","HCM_2746.txt","Hereford","char-offset:270","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"bff5c593-cef2-46b6-8f04-e6b6c9a31f02","HCM_2749.txt","church of Hereford","char-offset:64","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"d8dc81f6-3961-414c-a324-1fd36db1713c","HCM_2749.txt","aforesaid church","char-offset:111","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Hereford cathedral
","",""
"56ddd446-c5ca-4718-929b-86d756c86670","HCM_2749.txt","Hereford","char-offset:336","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"335f8037-41ab-4be1-af6e-6f49b8bd43e6","HCM_2748.txt","church of Hereford","char-offset:117","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"f424822d-3539-4398-8e72-7a982ad457c2","HCM_2748.txt","Hereford","char-offset:160","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","Cathedral","",""
"fe19dc38-73dc-4847-85e0-6f112cafb910","HCM_2748.txt","Hereford","char-offset:399","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"eacc9974-3ede-4b62-b3bc-c78528e7ea3c","HCM_2750.txt","church of Hereford","char-offset:154","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"d47ee068-4c7d-4e63-aa9b-9dc7573e92fa","HCM_2751.txt","Meltone Mounbray","char-offset:49","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"cd892981-baf5-45e7-92db-2bc10051b774","HCM_2751.txt","Hereford","char-offset:100","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"4e0ff534-c7f7-4009-a3d3-0a6dcc913717","HCM_2751.txt","Hereford","char-offset:226","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"b1004b18-ea2b-40ba-a048-3e3fbb2b6398","HCM_2797-em2.txt","Hereford","char-offset:535","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"7b23032c-10b9-4e0e-be3c-d3573438dba8","HCM_2797-em2.txt","Filleby","char-offset:566","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"2c45c15d-fbff-4bec-bafc-77d253b440a4","HCM_2797-em2.txt","Roman court","char-offset:619","PLACE","http://pleiades.stoa.org/places/79471","Frocester|Frocester Court","-0030/0640","51.722785","-2.312798","villa","UNVERIFIED","Building|Ecclesiastical","Papal Court at Rome
","",""
"878c55c8-aef9-4ca2-b409-dd641606f0da","HCM_2797-em2.txt","Hereford","char-offset:641","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"ce1eb79a-35de-46d8-9d71-1e5e7f7c6a62","HCM_2797.txt","Buterle","char-offset:82","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"08e8d12b-0a09-4ae7-9ec0-e0a990d490f5","HCM_2797.txt","Thean'","char-offset:145","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"c81103da-000e-4150-acd0-5e3285f91063","HCM_2797.txt","church of Hereford","char-offset:267","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"953fa28e-306d-4bed-8dc1-1b009ed80a21","HCM_2797.txt","Fileby","char-offset:299","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"09c65295-3498-4d15-8066-fdad1a436958","HCM_2797.txt","Salop","char-offset:321","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical","archdeaconry of Salop
","",""
"74157361-51df-420e-908a-608e09b635b7","HCM_2797.txt","Orviate","char-offset:365","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"7ea4edce-ac0e-4e47-8cfe-34511eaf02bc","HCM_2797.txt","Roman court","char-offset:425","PLACE","http://pleiades.stoa.org/places/79471","Frocester|Frocester Court","-0030/0640","51.722785","-2.312798","villa","UNVERIFIED","Building|Ecclesiastical","Papal Court at Rome
","",""
"6c1e8820-462c-46b5-ba5e-be7631b7c358","HCM_2797.txt","chapter~house of Hereford","char-offset:448","PLACE","","","","","","","UNVERIFIED","Given at|Building|Ecclesiastical","","",""
"34afa33c-0263-4275-9fdf-fe2425b30042","HCM_2797.txt","Hereford","char-offset:637","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"bf0ad62e-62cd-4835-8dad-49a92bd94275","HCM_2797.txt","ons","char-offset:930","PLACE","http://sws.geonames.org/2989501","Ons-en-Bray","","49.41631","1.92302","","UNVERIFIED","Given at|Settlement|OCR","Lyons","",""
"bea10db9-6603-4a13-8b1c-fab9586d276f","HCM_2797.txt","Orvitte","char-offset:953","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"9b48fb69-93e5-4cc7-960c-328075c8de5a","HCM_2780.txt","cathedral church of Hereford","char-offset:73","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"1f2206e4-6977-40e9-af52-26f8cb668ad1","HCM_2780.txt","Wykeham","char-offset:173","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ecfc005e-8912-4289-b776-d9135af9455b","HCM_2780.txt","Somerford","char-offset:206","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ab7318ce-250e-4c9b-9fd9-ba5c8521b532","HCM_2780.txt","Westminster","char-offset:262","PLACE","http://sws.geonames.org/5408406","Westminster","","33.75918","-118.00673","","UNVERIFIED","Given at|Building|Governmental","","",""
"6af4e2c4-4b17-4b7e-a48f-f962dd5a983f","HCM_2779.txt","Orletone","char-offset:96","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"e5035ec6-7ffd-4889-86ea-0dc2e21ef284","HCM_2779.txt","church of St. Ethelbert of Hereford","char-offset:133","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"531217e1-d74a-4497-a575-1823434010ba","HCM_2779.txt","canons' bakehouse in Hereford","char-offset:198","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","","",""
"60dd92b5-bda6-4887-ab42-b49227af1eb6","HCM_2779.txt","prebend of Hundertone","char-offset:435","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","at Hereford Cathedral
","",""
"31eecf25-51eb-4e8f-b925-74d297262533","HCM_2779.txt","Hereford","char-offset:467","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"37337903-98ba-4cb3-9a2b-9f359f3998e4","HCM_2797-em1.txt","church of Hereford","char-offset:271","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"de4f2eb8-8b80-4a24-8f7d-ca5296bc25dd","HCM_2797-em1.txt","Fileby","char-offset:303","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"fdb9c162-52c6-4539-82a9-ae8e87d59758","HCM_2797-em1.txt","Salop","char-offset:325","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical","archdeaconry","",""
"9cd3045a-ecb1-44f9-af47-c5c7ade17499","HCM_2797-em1.txt","Orviate","char-offset:369","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"d2978e2a-2a38-472c-9d2e-7c736dcc7b0b","HCM_2797-em1.txt","Roman court","char-offset:429","PLACE","http://pleiades.stoa.org/places/79471","Frocester|Frocester Court","-0030/0640","51.722785","-2.312798","villa","UNVERIFIED","Building|Ecclesiastical","papal court at Rome
","",""
"6b016861-3628-4758-8e90-08e20da7f417","HCM_2797-em1.txt","chapter~house of Hereford","char-offset:452","PLACE","","","","","","","UNVERIFIED","Given at|Building|Ecclesiastical","","",""
"85c2ede4-4a75-4299-afa2-7fe47d5b28a9","HCM_2753.txt","Merkynton","char-offset:46","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"fb608491-e68d-45e6-9a86-594ebe55d612","HCM_2753.txt","Shorn","char-offset:100","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"b70a1bdd-5379-4094-9047-163b69264f5c","HCM_2753.txt","cathedral a of Hereford","char-offset:121","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"cc2254fe-401e-461b-a4e0-1180cb47c55c","HCM_2753.txt","Hereford","char-offset:170","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"600ca79f-8171-4b91-8836-61ce8cb412e3","HCM_2753.txt","Hereford","char-offset:307","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"9d2efacf-dcb9-4eb3-86d1-ef0757473c80","HCM_275.txt","cathedral church of Hereford","char-offset:114","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"c3368fa7-4615-49b3-ae6c-e775f8e084a8","HCM_275.txt","Hontelowe","char-offset:208","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"f5dfd284-ca34-4fc5-9ac5-7f606d59c6f2","HCM_275.txt","Hontelowe","char-offset:313","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"e695ba3a-52b0-4d85-8b61-395f34db7ae8","HCM_275.txt","Tyb’ton’","char-offset:397","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"8145cd60-6e12-4b30-b42a-79b8628b3818","HCM_275.txt","Coblyton","char-offset:410","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"692d365b-751f-45fe-bd86-74558c00b638","HCM_275.txt","Brompton","char-offset:521","PLACE","http://dare.ht.lu.se/places/25575","Brompton","","52.531065","-3.113228","","UNVERIFIED","Nominative|Settlement","","",""
"e67061b7-0004-4349-bde7-012fb90610d1","HCM_275.txt","c es at Hereford","char-offset:712","PLACE","","","","","","","UNVERIFIED","Given at|Building|Ecclesiastical|OCR","chapter house at Hereford","",""
"f3da4e66-e08f-41c0-a789-f67aefbcf685","HCM_275.txt","Tyberton","char-offset:764","PLACE","http://sws.geonames.org/2635288","Tyberton","","52.0455","-2.90414","","UNVERIFIED","Nominative|Settlement","","",""
"075a0fc7-0846-4f4a-9ae6-fb49001fe5de","HCM_275.txt","sinavdesiaye","char-offset:800","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Kinardesleye","",""
"92534f78-1156-4e67-b5ef-de0be1ab1a31","HCM_275.txt","Lolhan","char-offset:824","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Lolham","",""
"15790988-17cc-43de-ac60-27a552272438","HCM_2742.txt","Wlytheneye","char-offset:42","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","typescript adds: endorsed 'wytene
[Whitney?]","",""
"c361df3e-086f-4255-b6e7-adfdab5fc17f","HCM_2742.txt","Hereford","char-offset:141","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
