"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"b557fd82-b71b-4e58-a763-8a92db458429","HCM_1685.txt","St. Peter's, Gloucester","char-offset:56","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Abbey","",""
"35b32f86-28cc-4851-85e7-93559e8b92f3","HCM_1685.txt","Sta|nedisch","char-offset:115","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","Standish

","",""
"3e4b3489-f808-42bb-8b52-bae1c46f5f01","HCM_1685.txt","Parva iarsefeld'","char-offset:271","PLACE","","","","","","","UNVERIFIED","Settlement","Parva Harsefeld'","",""
"8ba63ae9-bd39-4611-b8ac-45102f1d180b","HCM_1685.txt","chapter-house at Gloucester","char-offset:861","PLACE","","","","","","","UNVERIFIED","Given at|Building|Ecclesiastical","","",""
"ebffa81f-e267-4a63-aabc-eca678958928","HCM_1683.txt","St, Peter's, Gloucester","char-offset:96","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Abbey","",""
"96157248-fa10-4b33-89b1-3d770ed2be79","HCM_1683.txt","Mulle","char-offset:134","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Mercantile|Research","(atte Mulle = at the Windmill, so, Mill of Stanley St Leonards)","",""
"8ee7301f-b211-41c6-bb1b-f59ee828b88d","HCM_1683.txt","Mulle","char-offset:161","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Mercantile","mill in Stanley St Leonards","",""
"f64dbab5-2411-4870-97ba-bdadb84e801f","HCM_1683.txt","Stanleye St. Leonards.","char-offset:218","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"9abbda0f-bcd3-47c9-b483-4e26e427f978","HCM_1683.txt","mill","char-offset:267","PLACE","http://dare.ht.lu.se/places/26304","Fala Mill","","55.84749","-2.911878","","UNVERIFIED","Building|Mercantile","mill in Stanley St Leonards
","",""
"dcb52fe1-7a4a-4c53-abfd-83d514086172","HCM_1683.txt","Stanleye","char-offset:466","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Priory of Stanley St Leonards","",""
"78f251e4-3db0-496e-8000-aefaaea4bd3d","HCM_1683.txt","chapter-house at Gloucester.","char-offset:870","PLACE","","","","","","","UNVERIFIED","Given at|Building|Ecclesiastical","","",""
"d8a6ff65-e3d3-436a-80eb-00fb70e1aa5e","HCM_1684.txt","Westone","char-offset:55","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"4fecea20-e423-4077-88db-ce99d730ad12","HCM_1684.txt","Wyckewane","char-offset:67","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"605388d8-f879-4aad-b33f-10ba54a75f45","HCM_1684.txt","Westone","char-offset:88","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"97da6d43-004c-419f-b128-518e50551999","HCM_1684.txt","same","char-offset:103","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","Wyckewane","",""
"22269749-55d1-40d3-9dfa-81b540a7d4a8","HCM_1684.txt","spray aie","char-offset:117","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Bromsgrove","",""
"ecdee763-dc07-4c2e-b32c-a69e55f9f532","HCM_1684.txt","Evesham","char-offset:240","PLACE","http://sws.geonames.org/2649833","Evesham","","52.09237","-1.94887","","UNVERIFIED","Nominative|Settlement","","",""
"66627822-b725-4032-9df2-f3c48e328a4b","HCM_1684.txt","Dumbeltone","char-offset:262","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"b9a47a7d-5509-4c14-b1c3-e5f6d2934396","HCM_1684.txt","Brokampthone","char-offset:299","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ee410580-4748-47a2-876f-c89b940ff86b","HCM_1684.txt","Bello Campo","char-offset:378","PLACE","http://sws.geonames.org/3460602","Itatiaia","","-22.49611","-44.56333","","UNVERIFIED","Nominative|Settlement","","",""
"e2d2357d-7adc-4d38-90d2-97209bbea2e1","HCM_1684.txt","Warewyk","char-offset:399","PLACE","","","","","","","UNVERIFIED","Nominative|Governmental","earldom","",""
"6c7ecdf0-16d9-449e-bc5f-676c503fd35b","HCM_1684.txt","Ste Peter's, Gloucester","char-offset:434","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Abbey","",""
"2d142f8c-22aa-4cde-b866-2f1610be616b","HCM_1684.txt","ditch of the said monks at Berndone","char-offset:473","PLACE","","","","","","","UNVERIFIED","Natural Feature","said monks = those of St Peter's Gloucester; ditch = witihin their manor of Hynethorne
","",""
"bcee0e36-2450-4473-a3ae-b0ccfa9ad580","HCM_1684.txt","manor of Hynethone","char-offset:522","PLACE","","","","","","","UNVERIFIED","Settlement","owned by Monks of St Peter's Gloucester; within their manor at Berndon","",""
"bd43dce9-3f69-455e-8526-037aec0488a6","HCM_1684.txt","sates","char-offset:663","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Astyn","",""
"29c98447-b3f9-4078-be8e-6d11c4513a57","HCM_1684.txt","Wrminthone","char-offset:688","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"bfcfe13b-95d1-4f9d-8512-52151de98e16","HCM_1684.txt","st eya","char-offset:712","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Staneleye","",""
"8a0ee04a-a72e-4d31-9a81-1637202c422e","HCM_1684.txt","la Grene","char-offset:731","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","Natural feature?","",""
"d43382f0-16da-4f93-adfb-c802f1454a31","HCM_1684.txt","[linethone","char-offset:751","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Hynethorne, manor owned by monks of st Peters Gloucester","",""
"de41178c-7ccd-4b52-8e22-6ec0c82bbb86","HCM_1682.txt","St. Peter's, Gloucester","char-offset:97","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Abbey","",""
"7ef78e3c-0604-426d-bf29-79b3a3f1fa8d","HCM_1682.txt","Mulle","char-offset:135","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Mercantile","at Stanley St Leonards
","",""
"714f67fd-8d61-4771-aeed-c1a274c3fda6","HCM_1682.txt","Mulle,","char-offset:162","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Mercantile","at Stanley St Leonards
","",""
"fbda669d-1704-45cd-b7e9-5ee867a31420","HCM_1682.txt","Stanleye St. Leonards","char-offset:210","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"061ef282-cd0e-47b7-a28a-ff16702bb3f9","HCM_1682.txt","mill","char-offset:259","PLACE","http://dare.ht.lu.se/places/26304","Fala Mill","","55.84749","-2.911878","","UNVERIFIED","Building|Mercantile","at Stanley St Leonards
","",""
"6ccf7656-7351-4870-8f3d-80a9a9bc4844","HCM_1682.txt","Stanleye","char-offset:545","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Priory of Stanley St Leonards
","",""
"7e7df627-07c1-4824-9949-cabb715dd6d4","HCM_1682.txt","chapter-house at Gloucester","char-offset:934","PLACE","","","","","","","UNVERIFIED","Given at|Building|Ecclesiastical","","",""
"f52a9222-af37-41cc-9f82-2d5753a58975","HCM_1690.txt","St. Peter's, Gloucester","char-offset:92","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"472e6630-3128-411e-9887-81f6277631ff","HCM_1690.txt","Saneto Johanne","char-offset:172","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"d1295559-6811-4952-967a-e3425cfa07cc","HCM_1690.txt","abbey of Gloucester","char-offset:284","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","St Peters
","",""
"88de936e-3d28-444e-8de1-8cdc87296c90","HCM_1690.txt","chepter-house at Gloucester","char-offset:809","PLACE","","","","","","","UNVERIFIED","Given at|Building|Ecclesiastical","","",""
"0e1118f2-ac5c-4fe3-889f-221edffcc680","HCM_1699.txt","et","char-offset:112","PLACE","http://pleiades.stoa.org/places/373900","et-Tailimun|et-Tailimun","0300/0640","31.591616","20.172572","fort","UNVERIFIED","Research|Nominative|OCR","Mortone","",""
"7bc4ef2f-8429-4d5e-8edc-1564053aee95","HCM_1699.txt","church of Frethorne","char-offset:147","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"09367b63-87d9-4095-a30a-34c26c014f84","HCM_1699.txt","Longeneye","char-offset:190","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"f2d7c893-48ff-4f99-8d29-4d9ef4559bf8","HCM_1699.txt","Stanedisch","char-offset:278","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"c47695bf-4248-40bd-8ea9-ed1e81ca3c27","HCM_1699.txt","Mortone","char-offset:317","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"9d84e809-8f5c-40b5-bf9e-6112e0cb0f1f","HCM_1699.txt","Eppeneye","char-offset:329","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"9cc0df8c-6ab5-4787-914d-124e9f0a45e2","HCM_1699.txt","Churlecroft","char-offset:359","PLACE","","","","","","","UNVERIFIED","Agricultural","field","",""
"e9fb852b-4c23-42a5-a80b-392b51efb895","HCM_1699.txt","Siche","char-offset:372","PLACE","","","","","","","UNVERIFIED","Agricultural","field","",""
"3b9c38ff-5b08-4db8-a0d0-f7cda4fc4929","HCM_1699.txt","eres","char-offset:386","PLACE","","","","","","","UNVERIFIED","Agricultural|OCR","Vinchfeld","",""
"bdb0c6c7-0677-49fd-b27d-31ec856857a4","HCM_1699.txt","whitenhurste","char-offset:467","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ed4d3c1a-1c3d-45c9-ae8b-efa8ea510d57","HCM_1699.txt","lordship of whitenhurste","char-offset:491","PLACE","","","","","","","UNVERIFIED","Area|Governmental","","",""
"e204fb0d-debb-4361-aee6-57c5efb39684","HCM_1699.txt","Bytwenepulle","char-offset:537","PLACE","","","","","","","UNVERIFIED","Agricultural","field in lordship of Whitenhurst
","",""
"51481cca-a562-4318-8bb9-4e9daed999f5","HCM_1699.txt","Westfeld","char-offset:554","PLACE","http://sws.geonames.org/2810148","Westfeld","","52.05","9.91667","","UNVERIFIED","Agricultural","field in lordship of Whitenhurste
","",""
