"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"bb9d9b14-4dfc-455c-8ac5-ed78443402df","HCM_1736.txt","la Grene","char-offset:81","PLACE","","","","","","","UNVERIFIED","Nominative","","",""
"9d47c047-88a0-4008-b2a4-d9ba071c4770","HCM_1736.txt","Bulleye","char-offset:93","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"985d8c8b-54cc-4f8f-80fa-d73d6c6e8965","HCM_1736.txt","Acle","char-offset:145","PLACE","http://sws.geonames.org/2657704","Acle","","52.63681","1.54757","","UNVERIFIED","Nominative|Settlement","","",""
"73d1c03f-4828-4dc9-a509-9b9ec1234636","HCM_1736.txt","king's court at Westuinster","char-offset:201","PLACE","","","","","","","UNVERIFIED","Building|Governmental|Given at","","",""
"1d2c968f-2a6c-4002-9ce2-f38ea11e0d0d","HCM_1736.txt","Hengham","char-offset:245","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","prob NOT Highnam Gloucestershire, since it's a royal justice nominative","",""
"d78fb104-f6b5-4c86-a849-f102ae781156","HCM_1736.txt","Bereford'","char-offset:265","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"b0f60a84-c445-4cb1-981f-bf095f0b7753","HCM_1736.txt","Bekynham","char-offset:285","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"f5a8f06c-06ed-4a76-a7fb-eb3292c32ce0","HCM_1736.txt","Trikingham","char-offset:341","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"06c2e2cd-592b-4e78-b40f-107b310a3e03","HCM_1736.txt","Bulleye","char-offset:499","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"a8c5cdc6-fb0a-4463-9c77-0999cba1d45f","HCM_1732.txt","Hereford","char-offset:58","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"c00518eb-623e-4adc-985f-26770ae47f9b","HCM_1732.txt","Breyntone","char-offset:80","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"4988a587-f73b-455c-b1ad-8782a18c6e5e","HCM_1732.txt","meadow of brestheye","char-offset:153","PLACE","","","","","","","UNVERIFIED","Agricultural|OCR","meadow of Presteye
","",""
"decc9161-b812-4a46-bd41-aab14a878ca0","HCM_1732.txt","brestheye","char-offset:163","PLACE","","","","","","","UNVERIFIED","Agricultural|OCR","Presteye (meadow of)","",""
"bb7667f2-ebe1-4db1-8d12-d548fe9e91da","HCM_1732.txt","Hereford","char-offset:226","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","Cathedral","",""
"6dd3ef7e-5b47-493e-8265-6f1f1ac6157e","HCM_1732.txt","altar of the Bless in the cathedral church of liereford","char-offset:278","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","altar of BVM at HC","",""
"14153ba9-a5d8-43e6-9709-507b26dec55e","HCM_1732.txt","Hereford","char-offset:382","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"3e8759b1-51ce-4130-a9a0-bae887998a27","HCM_1732.txt","mill of iuggebrugge","char-offset:403","PLACE","","","","","","","UNVERIFIED","Building|Mercantile|OCR","Mill of Lugge Bridge","",""
"89c3e35c-76f8-4b6b-8e05-a759b08ffc3c","HCM_1732.txt","stream a) 1OBsee","char-offset:437","PLACE","","","","","","","UNVERIFIED","Natural feature|OCR","Logge (stream [agua] of)
[same as Lugge?]","",""
"8705b8f8-1180-4767-958f-795f1a990700","HCM_1732.txt","la Barewe","char-offset:474","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
