"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"16326f92-8533-4a91-8f58-627ff7bc1d36","HCM_2927.txt","la More","char-offset:88","PLACE","http://pleiades.stoa.org/places/912986","Uruk/Orchoe/Erech/Orikut|Uruk/Orchoe/Erech/Orikut, Warka","-6200/2100","31.32216","45.63782","settlement,urban","UNVERIFIED","Nominative|Settlement","","",""
"7d4445c4-7a04-47d2-8591-cc452c40f070","HCM_2927.txt","diocese of Exeter","char-offset:111","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical","","",""
"fd947ab2-18a6-419b-8bc7-cdb7b4d43b3f","HCM_2927.txt","Hereford","char-offset:187","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"c6945845-ff6b-47d0-8ce2-9540d083a47c","HCM_2927.txt","Ledebury","char-offset:286","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"913f7110-c33e-42d9-9e06-06105fccbf09","HCM_2927.txt","Sheynton","char-offset:313","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"21a841c7-5739-4cf2-93d3-a5008b80cb8e","HCM_2927.txt","Wyke","char-offset:346","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"c8045ec8-33c9-4dfb-aaf8-fd5fcd532da1","HCM_2927.txt","Fowehop","char-offset:377","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"4a947ab2-d98a-45ae-82a2-2923b547b3b1","HCM_2927.txt","Breynton","char-offset:411","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"a439c3be-fbca-40d3-b821-82486f4ea2aa","HCM_2927.txt","Henle","char-offset:443","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"65f9a035-517a-4002-b7bc-20f0a459c8fd","HCM_2927.txt","Staunton","char-offset:477","PLACE","http://geo-kima.org/place/6341","Staunton (Va.)","","","","","UNVERIFIED","Nominative|Settlement","","",""
"acfa848e-d6b5-4399-9053-fc749b2a108b","HCM_2927.txt","cathedral church of Hereford","char-offset:502","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"2668269f-332f-4837-aab2-9d3a7a74ff39","HCM_2927.txt","chureh of Maddeleye","char-offset:615","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"3b4acc0f-290c-4295-a587-1d1e05ee1c94","HCM_2927.txt","deanery of Hereford","char-offset:661","PLACE","","","","","","","UNVERIFIED","Area|Ecclesiastical","","",""
"34e3ef1d-6a0b-4845-b25b-dac7789ab839","HCM_2927.txt","Preston","char-offset:1143","PLACE","http://sws.geonames.org/2152558","Preston","","-37.75","145.01667","","UNVERIFIED","Nominative|Settlement","nr Hereford (clerk at D&C)
","",""
"f41f6763-a0b3-4353-b53c-a9196025144d","HCM_292.txt","Ledebury","char-offset:124","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"2fa3c10f-c41b-4b8a-a161-a0877c054994","HCM_292.txt","Hereford","char-offset:170","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"a07f8792-ac90-45e4-825a-5dee48b22504","HCM_292.txt","BrUgges","char-offset:200","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","ate Brugge (nom Robt, VCH)
","",""
"dcca19cb-7b6b-4c6d-a999-3dee29761fa1","HCM_292.txt","Hulle","char-offset:234","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","Hulle in Putley? but cf Hulle in Ledbury Foreyn, multiple doc mentions
","",""
"e96ef823-2c73-46f1-9d28-b58be9add95d","HCM_292.txt","Putteleye","char-offset:243","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"7164f17b-3e8d-46b9-b95d-b013d4f358d8","HCM_292.txt","Ledeburyforeyn","char-offset:364","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"abd2400f-fcb6-4460-8d19-92f179bb82c4","HCM_292.txt","Erlham","char-offset:382","PLACE","","","","","","","UNVERIFIED","Settlement","in Ledbury Foreyn","",""
"a134a563-6b44-4d67-88de-e4a1f97ebe20","HCM_292.txt","Aulle","char-offset:393","PLACE","","","","","","","UNVERIFIED","Settlement|OCR","Hulle, in Ledbury Foreign","",""
"7641c5d2-f3c9-4550-a8b6-02b601759450","HCM_292.txt","all | Rea","char-offset:594","PLACE","","","","","","","UNVERIFIED","Settlement|Research","all places ""citra Sabrinam"" [? untrans latin], viz, at Ledbury & Brydestowe
","",""
"92c408aa-faec-4d7f-857f-ec24d18517bd","HCM_292.txt","Rrydestones","char-offset:604","PLACE","","","","","","","UNVERIFIED","Settlement|OCR","Brydestowe","",""
"67f79b5e-415e-4d95-87fc-052241cbd8d9","HCM_292.txt","church of Ledebury","char-offset:784","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","","",""
"cd26f5a5-54f7-4655-ae89-1310cc839bbc","HCM_292.txt","church of at","char-offset:840","PLACE","http://mapoflondon.uvic.ca/STMI3.htm","St. Michael Bassishaw","","","","","UNVERIFIED","Building|Ecclesiastical|OCR","church of Brydestowe
","",""
"2b77be49-c66a-4207-ba47-73a603aaa7b7","HCM_292.txt","i ga of St, Katherine de Ledebury","char-offset:1092","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical|OCR","Hospital of St Kath de Ledbury
","",""
"dba0488a-05ad-4242-a830-c7515c69dc62","HCM_292.txt","Given at","char-offset:1484","PLACE","http://pleiades.stoa.org/places/197304","Histria","-0550/0640","45.5","13.5","peninsula","UNVERIFIED","Given at|Settlement|OCR","Ledbury","",""
"87fdffe2-122e-4297-a5c2-5d7c2d477ab9","HCM_292.txt","Caluhulle","char-offset:1514","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"c1382075-eb97-4f59-b146-0730d4ad428c","HCM_292.txt","Hope","char-offset:1562","PLACE","http://sws.geonames.org/5976783","Hope","","49.38299","-121.44144","","UNVERIFIED","Nominative|Settlement","","",""
"77a348f3-8a2c-4456-ba95-71dd3f78688b","HCM_2932.C..txt","Hereford","char-offset:195","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
