"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"21bde689-3e04-4827-909b-14f98cc585a1","HCM_606.txt","Braumford","char-offset:66","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"1201f56c-9144-4b6a-89cb-e8f846e7b818","HCM_606.txt","Teynton","char-offset:98","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"aacc5850-0231-4beb-9b7d-8e427237de7e","HCM_606.txt","le Goldehord' in the fields of Werham","char-offset:234","PLACE","","","","","","","UNVERIFIED","Agricultural","","",""
"bf0c1b83-6124-4d02-9461-76390e1f6db5","HCM_606.txt","Werham","char-offset:265","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"86c6c987-7d6c-495d-9ccd-f3b8f432d840","HCM_606.txt","la Hulle","char-offset:335","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","in / nr Werham?
","",""
"339b40d0-b261-4ee1-b999-86cae63cabe9","HCM_606.txt","Werham","char-offset:347","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"2d3e8c77-11a0-4d15-b414-fb6eefa21581","HCM_606.txt","Hereford","char-offset:400","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","dioocese","",""
"dc93aa07-fa6c-4d07-b0c3-6274cddb78ef","HCM_606.txt","Clehungr'","char-offset:433","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"2471007c-db0a-4fb2-8f5a-edbb1d7af352","HCM_606.txt","la Calue","char-offset:515","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"bf983de3-ce47-4cc6-b4f4-a9ab946ad95e","HCM_602.txt","Ross","char-offset:85","PLACE","http://sws.geonames.org/2639110","Ross on Wye","","51.91667","-2.56667","","UNVERIFIED","Nominative|Settlement","","",""
"3941c0ea-5b7b-47b2-ba0d-b8bf9c9f2baa","HCM_602.txt","Hamme","char-offset:122","PLACE","http://sws.geonames.org/2796637","Hamme","","51.09822","4.13705","","UNVERIFIED","Nominative|Settlement","","",""
"cf7f197f-8737-4e37-8f83-f6891dbed07f","HCM_602.txt","field called Stonyfor long ""in the fee of Walford","char-offset:241","PLACE","","","","","","","UNVERIFIED","Agricultural","","",""
"12ef7652-750f-4751-9a59-abd1e551c0a1","HCM_602.txt","Walford","char-offset:283","PLACE","http://sws.geonames.org/4880442","Walford","","41.87834","-91.83462","","UNVERIFIED","Settlement","","",""
"a9b8b2c9-d1cc-474f-a329-384c0d130abe","HCM_602.txt","#ytowall'","char-offset:358","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Wytowall'","",""
"a295b710-b626-4346-a1d3-33f92d7e3f96","HCM_602.txt","et called le Grenewey","char-offset:376","PLACE","","","","","","","UNVERIFIED","","highway called le Greneway
--but no tags as there's better OCR tagged below","",""
"753019be-8599-4c79-8894-033b689be71a","HCM_602.txt","field called Warifeld' in the aforesaid fee","char-offset:551","PLACE","","","","","","","UNVERIFIED","Agricultural","in fee of Walford","",""
"24c90054-5794-4981-83a9-e6f673a2a581","HCM_602.txt","Blakeneye","char-offset:642","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"84f06e0e-1a1b-4f76-a76b-96156fec8733","HCM_602.txt","way called Grenewey","char-offset:665","PLACE","","","","","","","UNVERIFIED","Roadway","aka le Grenewey, in fee of Walford, nr fields called Stonyfurlong and Warifeld","",""
"a3d2c3d8-9959-4879-91d2-884bdcc1f53e","HCM_602.txt","brook called Oldebrok',","char-offset:890","PLACE","","","","","","","UNVERIFIED","Natural Feature","in fee of Walford
","",""
"44a5df95-ec00-4574-9cb0-fc34f9b03756","HCM_602.txt","Walford","char-offset:977","PLACE","http://sws.geonames.org/4880442","Walford","","41.87834","-91.83462","","UNVERIFIED","Given at|Settlement","","",""
"7b2c3cef-f415-4f22-a529-7d25ae377027","HCM_602.txt","Ovorton","char-offset:1008","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"529e38d9-0e12-469e-b344-0aa82e6060a8","HCM_603.txt","Walforde","char-offset:120","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"f68847e8-ae1a-45fd-9186-097b5454432f","HCM_603.txt","Walford","char-offset:345","PLACE","http://sws.geonames.org/4880442","Walford","","41.87834","-91.83462","","UNVERIFIED","Given at|Settlement","","",""
"f3654884-ceaf-4cd8-9e31-54bb6ec98d4a","HCM_603.txt","Warhulle","char-offset:408","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"432ae8da-500e-49f0-854d-16eb5c4a3572","HCM_603.txt","Blakeneye","char-offset:440","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"3e8d49f9-c628-4751-9b67-705242ee7874","HCM_58.txt","Mildenhale","char-offset:37","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"d23a6d48-173c-4057-93ad-a7a94dad533e","HCM_58.txt","Hereford","char-offset:60","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"30762b96-0e4c-4c1b-bc2b-6a939ef7d33f","HCM_58.txt","Hereford","char-offset:113","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Settlement","","",""
"895887a4-183e-4ffd-9f2a-4efbe1cc974a","HCM_58.txt","highway","char-offset:260","PLACE","http://geo-kima.org/place/1914","Alaska Highway","","","","","UNVERIFIED","Settlement","in Hereford
","",""
"c71bbb18-9ecf-48e5-8a3a-06006510629c","HCM_58.txt","le Hale","char-offset:554","PLACE","","","","","","","UNVERIFIED","Nominative|Natural Feature","","",""
"2c9483f1-6a6e-4c1e-886b-9f77e688bafc","HCM_58.txt","Hereford","char-offset:587","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"cf6100ac-cf96-486c-a4eb-4f316f263a25","HCM_58.txt","Stretton","char-offset:620","PLACE","http://sws.geonames.org/2636658","Stretton","","53.33333","-2.56667","","UNVERIFIED","Nominative|Settlement","","",""
"9d23b833-6244-4512-be2d-d315b1b81990","HCM_58.txt","la Ponde","char-offset:697","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"12bfcefc-a005-482f-b824-3f9330f3d53a","HCM_58.txt","Lodelawe","char-offset:716","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ca804690-380e-44b0-9784-474d79fa408c","HCM_565.txt","Périgueux","char-offset:77","PLACE","http://pleiades.stoa.org/places/138650","Vesunna|Vesunna, Périgueux|Tour de Vésone, Périgueux|amphithéâtre, Périgueux|citadelle, Périgueux|Périgueux","-0030/2100","45.183541","0.722653","amphitheatre,settlement","UNVERIFIED","Nominative|Settlement","or is Perigueux a region?
","",""
"4acc3757-cf0b-4198-bb78-56b67edb1ccc","HCM_565.txt","curis catere of the pope","char-offset:110","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical|OCR","curia camere of the pope, at Avignon","",""
"cd9cef06-64fd-4ca0-a5c7-5e0e3840dc25","HCM_565.txt","Gloucestria","char-offset:200","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"6db9c3dc-0bc7-47b5-b89a-79c662d86916","HCM_565.txt","sei¢ court","char-offset:285","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical|OCR","Roman curia, ie papal court at Avignon","",""
"58df29df-b280-4794-9750-b653f98d60ad","HCM_565.txt","Mendageto","char-offset:673","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Mandegeto","",""
"e84adcdf-8c3e-4ad7-a303-7817902f1725","HCM_565.txt","Florence","char-offset:902","PLACE","http://sws.geonames.org/3176959","Florence","","43.77925","11.24626","","UNVERIFIED","Settlement","","",""
"12f5eb3a-e98e-46c2-99be-d068f42229dd","HCM_565.txt","Avignon","char-offset:969","PLACE","http://pleiades.stoa.org/places/148004","Avennio|Avennio, Avignon|Avignon","-0750/2100","43.95159","4.80769","settlement","UNVERIFIED","Given at|Settlement","","",""
"581a6853-ea24-4885-b0e7-209761032403","HCM_60.txt","Kilfodes(7)","char-offset:87","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"1bb7f9d8-51a0-4fdb-ba04-6a484cb3bfe0","HCM_60.txt","Aylineston","char-offset:124","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"4a308e50-191d-463f-9aa1-872ecc8a7111","HCM_60.txt","suburb of Hereford in Wyneston'","char-offset:166","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"10718bae-8f71-466d-8da2-6dfcb3cb8bd2","HCM_60.txt","Wyneston","char-offset:188","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"e79c8d56-8b21-4218-aaf5-f04909632865","HCM_60.txt","highway","char-offset:301","PLACE","http://geo-kima.org/place/1914","Alaska Highway","","","","","UNVERIFIED","Roadway","in Hereford, nr suburb of Wyneston
","",""
"73e0b085-83e5-49f9-9147-59fd25815202","HCM_60.txt","Hereford","char-offset:400","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"2f0763ac-3b75-4b27-b078-8b87933830c5","HCM_60.txt","Bellemar","char-offset:425","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ecffbd02-05c9-4b2e-9340-4ec6bee5c8d5","HCM_60.txt","Hunderton","char-offset:445","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"d75b5381-4220-49d3-8148-3eec48ae43c2","HCM_60.txt","Caumpes","char-offset:469","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"32d2eeaa-518f-47a3-843f-942e126ff6fd","HCM_560.txt","Asshe","char-offset:82","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"a4415583-c5b7-433f-b2a9-fec1792c0c75","HCM_560.txt","Asshe","char-offset:112","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"65cf9cdd-4865-4460-8166-983832a091cd","HCM_560.txt","manor of Gatesford’","char-offset:227","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"3c331db4-b51d-4158-8044-fa6f2453d634","HCM_560.txt","Gatesford","char-offset:280","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"b9511cdc-8bd5-4c7f-8783-6afaa74e82af","HCM_560.txt","Paners","char-offset:366","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ce9aac87-841d-4c56-bca9-8b8387bcbc9d","HCM_560.txt","Solers","char-offset:416","PLACE","http://sws.geonames.org/2974362","Solers","","48.65919","2.71617","","UNVERIFIED","Nominative|Settlement","","",""
"4f9d0238-521f-4e62-905f-9ffbfdb52483","HCM_582.txt","Kent","char-offset:95","PLACE","http://sws.geonames.org/5238077","Londonderry","","43.22646","-72.80649","","UNVERIFIED","Nominative|Settlement","","",""
"29e5155b-c1ff-432f-bf2b-d8da4a2ec50d","HCM_582.txt","Ledebury","char-offset:133","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"d1910c82-bc7e-4bc0-af63-e14b1188f41f","HCM_582.txt","field called Aldestroueld","char-offset:199","PLACE","","","","","","","UNVERIFIED","Agricultural","nr Ledbury / Estneor","",""
"4b108050-100b-4167-afad-683f395009c6","HCM_582.txt","Estenor'","char-offset:244","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","church
","",""
"87ab40ae-aec9-4c22-bb03-3ba0c6ea19d3","HCM_582.txt","Pykessyhe","char-offset:302","PLACE","","","","","","","UNVERIFIED","Natural Feature|OCR","Pykessyhc","",""
"3e0e041d-7ec5-4c06-b350-dcb78e4be34c","HCM_582.txt","Totenhulle","char-offset:322","PLACE","","","","","","","UNVERIFIED","Natural Feature","","",""
"4da6a79c-f4f0-4d1e-b6ea-2df9bf980051","HCM_582.txt","**","char-offset:340","PLACE","","","","","","","UNVERIFIED","Given at|Settlement|OCR","Ledbury","",""
"17afa060-c7ea-499a-8db4-b451644eb584","HCM_582.txt","Usaetiouns","char-offset:446","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Underdoune","",""
"67abc2a6-effa-49c5-8d1f-27b03e500b60","HCM_582.txt","lydeney","char-offset:479","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"db186be7-eac7-4736-8bf1-497b17c811f4","HCM_597.txt","Hereford","char-offset:109","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"591a5ea5-05f5-480a-a9fe-ab149ce06a1f","HCM_597.txt","Ros","char-offset:157","PLACE","http://sws.geonames.org/622700","Ros’","","53.2858","24.4128","","UNVERIFIED","Nominative|Settlement","","",""
"b9ab6aba-b758-4ead-9f69-64ba708ac9f4","HCM_597.txt","chureh of Oppton Episcopi","char-offset:269","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","","",""
"914e6197-7633-4350-a24c-e290c30fd596","HCM_597.txt","Ros","char-offset:360","PLACE","http://sws.geonames.org/622700","Ros’","","53.2858","24.4128","","UNVERIFIED","Nominative|Settlement","","",""
"23a236ba-fd2f-49a3-8e89-7106e7e1abf7","HCM_598.txt","cathedral church * of Bh","char-offset:98","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical|OCR","Hereford Cathedral","",""
"3bc6eddc-e512-44d7-a805-8e5f0563a169","HCM_598.txt","Biford","char-offset:160","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"519f6535-3fef-4bc2-9803-fe2c3fe98b2f","HCM_598.txt","church of St. Ethelbert","char-offset:192","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"7a61904b-b15f-47a1-a290-2838eb956d73","HCM_598.txt","church of Upton","char-offset:246","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","","",""
"fe675e6e-503c-43ff-88c2-5db7e21d3bfc","HCM_598.txt","dereford","char-offset:402","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"bcf57e62-3fb8-4515-8140-dd2ad682d830","HCM_588.txt","Rodefords","char-offset:65","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","no final ""s""","",""
"0b8ba884-78d5-4215-8d43-be7faad44389","HCM_588.txt","Dik","char-offset:88","PLACE","http://pleiades.stoa.org/places/756557","Deir el-Dik|Deir el-Dik","0300/0640","27.83059","30.88528","church","UNVERIFIED","Nominative|Settlement","","",""
"e742d557-6fd4-47f7-9beb-2eae5b3a620b","HCM_588.txt","Donytone","char-offset:149","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"26df1fa3-1f43-4f7b-bed2-3ed63bf46f17","HCM_588.txt","Lamleye","char-offset:162","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"6ea38410-aa6e-4ba0-8725-dcdf6bcc2aa6","HCM_588.txt","field of Oldebury","char-offset:595","PLACE","","","","","","","UNVERIFIED","Agricultural","","",""
"86ea4941-3f62-47b0-9e92-53e8fcd98dbc","HCM_588.txt","Rus","char-offset:695","PLACE","http://sws.geonames.org/2511651","Rus","","38.04759","-3.46254","","UNVERIFIED","Nominative|Area|Governmental","","",""
"cda34f96-c878-487b-9294-bdfcc2ab30a0","HCM_588.txt","la Graue","char-offset:730","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"4038a554-b215-4ac7-8234-75cd0dacc345","HCM_588.txt","la Hethes","char-offset:751","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"dbed9f4c-6b1f-4fe0-ad89-5897f114af8c","HCM_600.txt","Walford","char-offset:156","PLACE","http://sws.geonames.org/4880442","Walford","","41.87834","-91.83462","","UNVERIFIED","Nominative|Settlement","","",""
"36d8277b-cd50-4743-bb12-0fb900a29df1","HCM_600.txt","Kos","char-offset:204","PLACE","http://sws.geonames.org/259245","Kos","","36.89333","27.28889","","UNVERIFIED","Nominative|Settlement|OCR","Ros","",""
"8e492c16-f26f-4a9e-a99a-3193bd9626e5","HCM_600.txt","Walford","char-offset:252","PLACE","http://sws.geonames.org/4880442","Walford","","41.87834","-91.83462","","UNVERIFIED","Settlement","","",""
"7bd4a060-ac83-4232-b9ca-9ad51aca9de4","HCM_600.txt","field called Stonyforlong'","char-offset:277","PLACE","","","","","","","UNVERIFIED","Agricultural","nr Walford
","",""
"2080a990-9e7a-46a5-87ba-707d5c99b717","HCM_600.txt","Wyhtewall","char-offset:386","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"b721a382-6a79-48d8-9879-499384a8c85c","HCM_600.txt","highway called le Grenewey","char-offset:405","PLACE","","","","","","","UNVERIFIED","Roadway","in Walford
","",""
"8775a8c2-8668-493b-aed2-fa03ba0efabf","HCM_600.txt","Underwode","char-offset:544","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"2e3797a3-48c4-452d-abc3-ac051c32bbe3","HCM_600.txt","Blakeneye","char-offset:681","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"5e74b8c4-556a-4913-ac83-5e2126c8162e","HCM_600.txt","stream called le Oldebrok'","char-offset:697","PLACE","","","","","","","UNVERIFIED","Natural Feature","nr Walford
","",""
"40ba0440-9701-46fe-862c-4d69c6809697","HCM_600.txt","Walford","char-offset:819","PLACE","http://sws.geonames.org/4880442","Walford","","41.87834","-91.83462","","UNVERIFIED","Given at|Settlement","","",""
"6bb78bba-5189-4365-a279-ac37fb645b7e","HCM_600.txt","Overton","char-offset:851","PLACE","http://sws.geonames.org/2640765","Overton","","51.24389","-1.26154","","UNVERIFIED","Nominative|Settlement","","",""
"254df648-d698-4e4a-b43c-3bcbf4b20957","HCM_600.txt","Blakeneye","char-offset:883","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"83b3914e-ed22-46e1-8b01-34c4e1627d68","HCM_601.txt","Walforde","char-offset:106","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"2c8da40c-5ffb-4e4a-a4ac-ca3c0ba9a879","HCM_601.txt","lands specified in No 600","char-offset:156","","","","","","","","","Research","","",""
"6e395ab9-1317-428e-a236-fa6feef2345c","HCM_601.txt","Walforde","char-offset:274","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"e0d740aa-c3b2-4f66-826e-d1541da01ef1","HCM_601.txt","Blekeneye","char-offset:334","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"4a71467c-d963-4a3b-bf1b-a0a81249fa6e","HCM_605.txt","Walforde","char-offset:133","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"05cd426c-8382-418f-a85c-4df4dca1d3d4","HCM_605.txt","Walforde","char-offset:222","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"f5710ac9-6d15-4bc5-845d-74177efbbb6d","HCM_605.txt","field called Waryfeld' in the fee of Walford',","char-offset:238","PLACE","","","","","","","UNVERIFIED","Agricultural","","",""
"4a65a1ce-0d3e-4165-8cc3-5cd1ac1bbb45","HCM_605.txt","Walford'","char-offset:275","","","","","","","","","Given at|Settlement","bad OCR below so using this for markup
","",""
"d727412e-1903-4a6d-9d52-980c7c1ba5fd","HCM_605.txt","Blakeneye","char-offset:386","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"a3090095-dea1-460b-a9ae-cb321357452f","HCM_605.txt","le Grenewey","char-offset:406","PLACE","","","","","","","UNVERIFIED","Roadway","","",""
"6c432b33-9a0d-46b0-ba8c-48100c6141f6","HCM_564.txt","la More","char-offset:110","PLACE","http://pleiades.stoa.org/places/912986","Uruk/Orchoe/Erech/Orikut|Uruk/Orchoe/Erech/Orikut, Warka","-6200/2100","31.32216","45.63782","settlement,urban","UNVERIFIED","Nominative|Settlement","","",""
"b6e3323f-c442-42c1-a947-002bc81aaf67","HCM_564.txt","Brompton","char-offset:168","PLACE","http://dare.ht.lu.se/places/25575","Brompton","","52.531065","-3.113228","","UNVERIFIED","Nominative|Settlement","","",""
"2c551d98-d0e5-40da-a42c-cbf09d546fcf","HCM_564.txt","Parva Brompton'","char-offset:232","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"ecee7f99-1f30-4269-b1d9-54e216cc3922","HCM_564.txt","field called Wodefeld","char-offset:288","PLACE","","","","","","","UNVERIFIED","Agricultural","","",""
"8c1c367b-d132-4bce-b945-acc27f06af7f","HCM_564.txt","Vreynshe","char-offset:344","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Governmental","","",""
"e657abd1-dfe1-4e0c-91bc-68ff607a92e4","HCM_564.txt","Brompton","char-offset:467","PLACE","http://dare.ht.lu.se/places/25575","Brompton","","52.531065","-3.113228","","UNVERIFIED","Nominative|Settlement","","",""
"51219800-22a5-443c-9cde-966e1f172a08","HCM_564.txt","castle of Coblynton'","char-offset:647","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","prebend of
","",""
"0bd954fd-2c42-4f11-b641-59252c824124","HCM_564.txt","highway","char-offset:682","PLACE","http://geo-kima.org/place/1914","Alaska Highway","","","","","UNVERIFIED","Roadway","in / nr Parva Brompton
","",""
"e1c9600b-dbf2-441e-865a-846b0d21322a","HCM_564.txt","field called Middelfeld","char-offset:728","PLACE","","","","","","","UNVERIFIED","Agricultural","","",""
"5c051067-810d-4b2f-b018-b65e84d95db8","HCM_564.txt","Brompton","char-offset:799","PLACE","http://dare.ht.lu.se/places/25575","Brompton","","52.531065","-3.113228","","UNVERIFIED","Nominative|Settlement","","",""
"8a88cf52-57c7-4664-884e-1fa3b847c665","HCM_564.txt","vill of Parva Brompton","char-offset:1096","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"35ea8333-c672-4c35-90b2-a2341d1a8e5d","HCM_564.txt","Brompton","char-offset:1204","PLACE","http://dare.ht.lu.se/places/25575","Brompton","","52.531065","-3.113228","","UNVERIFIED","Nominative|Settlement","","",""
"4141ec31-fd7e-4a68-9ae7-23a2067fd487","HCM_564.txt","Brompton’ Parva","char-offset:1283","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"d7562195-5ebf-43ec-97cc-0b3ae051c62e","HCM_564.txt","Ipre","char-offset:1322","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"b0f53f8d-2738-44ff-962f-9abc07e51a3d","HCM_564.txt","Lulham","char-offset:1339","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"4fc9b2ba-c567-4b8c-a2ad-5f46d30ebc98","HCM_564.txt","Brompton","char-offset:1423","PLACE","http://dare.ht.lu.se/places/25575","Brompton","","52.531065","-3.113228","","UNVERIFIED","Nominative|Settlement","","",""
"50fb86ae-3ee6-4b89-8ed5-8675d8b7db4b","HCM_589.txt","la Stepple","char-offset:95","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"f1fd0cda-b1fa-4213-bc1d-94e141881112","HCM_589.txt","Thornbury","char-offset:128","PLACE","http://sws.geonames.org/2636002","Thornbury","","51.60889","-2.52028","","UNVERIFIED","Nominative|Settlement","","",""
"6c5311fa-f748-43f8-8e01-19291a0ee2d0","HCM_589.txt","Yeddefen loges","char-offset:231","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"00ad4024-a816-449d-8f67-82d09e6be8fa","HCM_589.txt","Herdewyk","char-offset:256","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"509ba1e9-61db-4db1-9d4b-c78c7a73d12f","HCM_589.txt","la More,","char-offset:286","PLACE","http://pleiades.stoa.org/places/912986","Uruk/Orchoe/Erech/Orikut|Uruk/Orchoe/Erech/Orikut, Warka","-6200/2100","31.32216","45.63782","settlement,urban","UNVERIFIED","Nominative|Settlement","","",""
