"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"c4a4b427-ff8d-4e55-80e9-948028bc0d15","HCM_2727.txt","Elmerigg'","char-offset:91","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"0d9b5220-8827-4972-ac19-e6478f47df7f","HCM_2727.txt","Hereford","char-offset:113","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Governmental","county","",""
"56d32843-eaed-4484-bc49-5391ced18a94","HCM_2727.txt","Hereford","char-offset:146","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"fad66d9f-8ee8-4ac2-b00b-5074fc424cdd","HCM_2727.txt","archdeaconry","char-offset:416","PLACE","","","","","","","UNVERIFIED","Area|Ecclesiastical","archd of Hereford
","",""
"8f35b2f1-53e4-4d9d-9e01-c6a51c6be02c","HCM_2727.txt","deanery of Hereford","char-offset:433","PLACE","","","","","","","UNVERIFIED","Area|Ecclesiastical","","",""
"bdaaf338-fcb2-4da4-824e-cf6e3c45b84f","HCM_2727.txt","castle of Hereford","char-offset:482","PLACE","","","","","","","UNVERIFIED","Given at|Building|Governmental","","",""
"0ce989ca-9598-49d7-9824-052976e70852","HCM_2728.txt","#ygemor',","char-offset:102","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical|OCR","Wigmore Abbey","",""
"dfcbb832-4b0b-40dd-ae10-a66a15a18287","HCM_2728.txt","diocese of Hereford","char-offset:139","PLACE","","","","","","","UNVERIFIED","Area|Ecclesiastical","","",""
"76bfe255-e7c1-45d1-8d6b-40dc8d057360","HCM_2728.txt","Sngland","char-offset:271","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Governmental|OCR","England","",""
"ff186592-e0e3-43f3-8e07-ef60908723b3","HCM_2728.txt","dereford","char-offset:295","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Hereford Cathedral
","",""
