"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"e988bf05-85a2-4142-ac88-2690e72d9fe7","RBLR_2001.txt","Hereford","char-offset:46","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"72656c0c-4b95-416c-8da0-583812699569","RBLR_2001.txt","Shorne","char-offset:186","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"7eea1db1-1684-4f1e-870e-8dfdf0b436ab","RBLR_2001.txt","Hampton","char-offset:204","PLACE","http://sws.geonames.org/2647550","Hampton","","51.41334","-0.36701","","UNVERIFIED","Nominative|Settlement","","",""
"3f7687b4-0fd5-4984-9702-9d1d2b1e7deb","RBLR_2001.txt","Waleys","char-offset:219","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Governmental","of Wales
","",""
"c3bd495c-cdda-4676-ae1f-a325a9988387","RBLR_2001.txt","Breynton","char-offset:236","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"41ce5959-49b9-4759-b4f5-60418d349d05","RBLR_2001.txt","Orleton","char-offset:256","PLACE","http://sws.geonames.org/2640920","Orleton","","52.3","-2.75","","UNVERIFIED","Nominative|Settlement","","",""
"e9d4270e-69d9-4e4c-af6e-3bc4200debf2","RBLR_2001.txt","Bisshopton","char-offset:274","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"e28e5d94-6096-4c87-aab1-5be9d7453c7d","RBLR_2001.txt","Orleton","char-offset:301","PLACE","http://sws.geonames.org/2640920","Orleton","","52.3","-2.75","","UNVERIFIED","Nominative|Settlement","","",""
"a82dbed2-328a-408c-b47c-5331088749ed","RBLR_2603.txt","RBLR 2603","char-offset:0","","","","","","","","","","add Embedded doc? (two given ats: Lambeth / Hereford
","",""
"84e33b95-16c0-4921-8b6f-e8ee01255101","RBLR_2603.txt","Hamenasch","char-offset:64","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"0db1c35d-f41c-414e-be8a-08679a114df8","RBLR_2603.txt","Icklesham","char-offset:85","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"e3977dd9-d137-46c4-9752-e0a2eb834d61","RBLR_2603.txt","la Felde","char-offset:104","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","La Felde = in Werham

","",""
"21a157fd-6ce6-4ce1-aa1f-69ce11cbfd42","RBLR_2603.txt","Breinton","char-offset:127","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"0936a785-aea7-4240-8d4f-c538de4e0dab","RBLR_2603.txt","Swinfield","char-offset:159","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"d5f632ca-7d52-4e90-897f-a4e55c18b31c","RBLR_2603.txt","Hereford","char-offset:191","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"cccd0fdf-885c-491c-aa2c-8cd4a9d24dd4","RBLR_2603.txt","Cantuariensis","char-offset:448","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical","province of
","",""
"c1bb3b0d-0677-40fc-9b73-e12ec6165b18","RBLR_2603.txt","Herefordensis","char-offset:663","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"afc224b1-683b-4235-9a0f-42a30ec0d435","RBLR_2603.txt","Lamhethe","char-offset:1239","PLACE","","","","","","","UNVERIFIED","Given at|Building|Ecclesiastical","lambeth Palace
","",""
"11c3302b-e105-4931-a738-40c89d87abcb","RBLR_2603.txt","Herefordie","char-offset:2460","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"b08c145e-537b-4b05-aa80-810637140930","RBLR_2803.txt","Worcester","char-offset:37","PLACE","http://sws.geonames.org/2633563","Worcester","","52.18935","-2.22001","","UNVERIFIED","Given at|Settlement","","",""
"bf7f423a-1f84-4d35-8f60-7977fe8dbee2","RBLR_2803.txt","Fowehope","char-offset:163","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"cb4bd97d-c53b-4996-915b-226494b893e5","RBLR_2803.txt","Radenhale","char-offset:186","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ccf43b06-625a-47be-ae92-34052c6c4139","RBLR_2803.txt","church of Worcester","char-offset:258","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","Cathedral","",""
"6fad1062-b79c-43b2-a04f-4c1cbf4ad2bd","RBLR_2803.txt","Canterbury","char-offset:445","PLACE","http://sws.geonames.org/2653877","Canterbury","","51.27904","1.07992","","UNVERIFIED","Nominative|Area|Ecclesiastical","province of
","",""
"98d4e65e-3ce0-41cf-8de9-07e1b01b0127","RBLR_2803.txt","Hereford","char-offset:491","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","Cathedral","",""
"bfe43672-7d7a-4578-b961-8078c9612536","RBLR_2803.txt","free chapel of St. Stephen in the palace of Westminster, London diocese","char-offset:540","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"8ce9a35b-8061-45b3-8f92-8449b635105f","RBLR_2803.txt","Angouleme","char-offset:647","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"7a85b2d7-5254-49cb-a9ff-2a3081f1dae2","RBLR_2803.txt","Canterbury","char-offset:672","PLACE","http://sws.geonames.org/2653877","Canterbury","","51.27904","1.07992","","UNVERIFIED","Nominative|Area|Ecclesiastical","Archdeaconry","",""
"1a9a847a-5dfd-4347-acd1-5121897686a7","RBLR_2803.txt","Worcester","char-offset:773","PLACE","http://sws.geonames.org/2633563","Worcester","","52.18935","-2.22001","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese of
","",""
"e7fb309c-4135-4313-a520-31aaf1f1b19c","RBLR_2803.txt","Worcester","char-offset:1031","PLACE","http://sws.geonames.org/2633563","Worcester","","52.18935","-2.22001","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral priory
","",""
"c6892ec1-dcc6-4cf0-9770-9143d57625fb","RBLR_2803.txt","Evesham","char-offset:1295","PLACE","http://sws.geonames.org/2649833","Evesham","","52.09237","-1.94887","","UNVERIFIED","Nominative|Building|Ecclesiastical","abbey
","",""
"69b04551-836a-472d-82d4-998613a2b5cb","RBLR_2803.txt","Pershore","char-offset:1304","PLACE","http://sws.geonames.org/2640360","Pershore","","52.11163","-2.07586","","UNVERIFIED","Nominative|Building|Ecclesiastical","abbey","",""
"252fd370-5c30-4c70-abf3-d859ed45ba63","RBLR_2803.txt","Hailes","char-offset:1317","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","abbey","",""
"fe1c0b71-27b9-4a62-b162-da8258e14ef2","RBLR_2803.txt","Chaundos","char-offset:1348","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"b2ec6328-efa2-46bf-bc1f-a28df69b8a7f","RBLR_2803.txt","Hereford","char-offset:1372","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","archdeaconry","",""
"0dae37a4-cca5-44f8-b297-6582020e7d4a","RBLR_2803.txt","Vernoun","char-offset:1397","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"38d5cd57-f6a6-45cc-a532-4ff13c4b7515","RBLR_2803.txt","Orleton","char-offset:1432","PLACE","http://sws.geonames.org/2640920","Orleton","","52.3","-2.75","","UNVERIFIED","Nominative|Settlement","","",""
"d33961b3-f676-4130-bef7-9a7cd2277617","RBLR_2803.txt","Breynton","char-offset:1456","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"5b43fc2e-545c-4054-b328-8475d1563909","RBLR_2803.txt","Hereford","char-offset:1476","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"d174a9db-8aca-4812-a8b6-32f706dd1fef","RBLR_2803.txt","Hereford diocese","char-offset:1524","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical","","",""
"be632284-c79f-4a3a-b726-53ca0ebda477","RBLR_2803.txt","Beautre","char-offset:1554","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"7b0f1b90-8ccf-4c2f-97ab-4277b4aa4c0e","RBLR_2803.txt","Worcester diocese","char-offset:1572","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical","","",""
"abe823ca-2d40-4ea4-84f2-18f1fefbfc9e","RBLR_2801.txt","Hereford","char-offset:80","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"f0ea653b-e485-4ed6-8df2-10a48b5d3b82","RBLR_2801.txt","Hereford","char-offset:187","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"d27335fe-1cdf-4b33-a6f3-c54432144618","RBLR_2801.txt","la Felde","char-offset:229","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","in Werham
","",""
"ecf1eefd-e400-4bcd-854d-4fe7731d42b9","RBLR_2801.txt","Breintone","char-offset:251","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ec997ba7-44ee-4779-8b69-28f01277e525","RBLR_2801.txt","church of Hereford","char-offset:276","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"e2e8a080-4c60-4ba6-8c84-d6b6a7ee3df1","RBLR_2801.txt","Canterbury","char-offset:380","PLACE","http://sws.geonames.org/2653877","Canterbury","","51.27904","1.07992","","UNVERIFIED","Nominative|Area|Ecclesiastical","province","",""
"6b4bb5a2-9603-4b7a-b104-0e560d95d82c","RBLR_2801.txt","London","char-offset:515","PLACE","http://sws.geonames.org/6058560","London","","42.98339","-81.23304","","UNVERIFIED","Given at|Settlement","","",""
