"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"5cbd15ea-1def-4751-acff-3315601b9ed5","HCM_215.txt","Maddeleye","char-offset:53","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"77897f78-9ee2-41ad-8a8a-36323412b304","HCM_215.txt","cemetery of the greater church of Hereford.","char-offset:140","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","","",""
"9b6ecead-b80a-4eeb-9c3c-6641a7f7cc59","HCM_215.txt","la Barewe","char-offset:204","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"dffe8a0f-4191-44c0-b435-d7ece682ceba","HCM_215.txt","Hereford","char-offset:241","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"dae729a0-e2cd-4147-a67a-10d911a98048","HCM_215.txt","Bruneshope","char-offset:274","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"1f0b138c-df6a-4440-a238-1c00de89543d","HCM_215.txt","Brochwardyn","char-offset:297","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"defd9db7-080c-42f7-a746-17e8188996f5","HCM_215.txt","Cattefeld'","char-offset:347","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"d3c1c1e4-e010-4667-819e-c1f598ae5127","HCM_2164.txt","Charlton","char-offset:50","PLACE","http://sws.geonames.org/4932823","Charlton","","42.13565","-71.97007","","UNVERIFIED","Nominative|Settlement","","",""
"4dcafc4a-bf83-4bd5-a54c-d47b28e96255","HCM_2164.txt","Hereford","char-offset:71","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"0b6c4ba7-00da-40d8-a867-6e80b61d998c","HCM_2164.txt","church of Lugwardyn","char-offset:94","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","","",""
"77db99cf-18a1-4332-9077-2930658422b7","HCM_2164.txt","chapels of Langaren'","char-offset:123","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","","",""
"4dffe527-de86-4c3d-83d4-30439fd3d66d","HCM_2164.txt","St. Waynard","char-offset:145","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","Chapel","",""
"954c13a2-90f0-44d5-994f-5763a8767dc7","HCM_2164.txt","Henthlen',","char-offset:158","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","chapel","",""
"765507c3-f99b-4cba-a6d3-7382c07c2754","HCM_2164.txt","Hereford","char-offset:210","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral
","",""
"e868015b-a6d1-4fe2-aed4-d7330bb07929","HCM_2164.txt","Sugwas","char-offset:1363","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"173448dd-d898-4c69-bd86-c41ba7979428","HCM_2165.txt","Bohoun","char-offset:150","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"215d81ad-a8d9-42e8-a9a0-9d2c6581101a","HCM_2165.txt","Oe of St. Ethelbert, Hereford","char-offset:173","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical|OCR","","",""
"1deaad58-1009-44d9-bc79-53f846ba77f3","HCM_2165.txt","church of et","char-offset:227","PLACE","http://pleiades.stoa.org/places/422889","Ceres et Faustina, T.|Ceres et Faustina, S. Urbano, Roma","-0030/0640","41.857844","12.524306","sanctuary,church,temple-2","UNVERIFIED","Building|Ecclesiastical|OCR","Church of Lugwardyn","",""
"7e4e2e54-06ff-4445-a80c-3356225e54fb","HCM_2165.txt","chapels of Langaran","char-offset:264","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","","",""
"b54653e9-eba5-4f4d-896f-076f51bcee0c","HCM_2165.txt","Henthlan","char-offset:285","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","","",""
"9e85b01e-9524-4a4f-bbce-62d7875787ae","HCM_2165.txt","St. Waynard","char-offset:298","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","","",""
"01623173-d16b-480b-8c20-1b68cad3d754","HCM_2165.txt","England","char-offset:473","PLACE","http://geo-kima.org/place/12708","England","","","","","UNVERIFIED","Nominative|Area|Governmental","","",""
"c295219f-e9a3-4065-8a41-d34e7a90d7e0","HCM_2165.txt","Lugwardyn","char-offset:692","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"0272baed-d1e0-406f-b034-68de8f35c628","HCM_2165.txt","chapel of St. Mery","char-offset:844","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","in Hereford Cathedral","",""
