"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"302660b7-6ae6-4efb-9757-67ce4aed88f4","HCM_2819-em3.txt","monastery of St. Peter's, Gloucester","char-offset:241","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"baeffa73-c6ae-4d3e-984e-d19183c89271","HCM_2819-em3.txt","monast of St. Mary of Lyre in the diocese of Evreux (Burolgen')","char-offset:365","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"b14eb0bc-39c2-42e6-ac09-effcc26c3fd9","HCM_2819-em3.txt","Gaygnysco","char-offset:457","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"81d3900d-dcf6-4905-8378-942b71952055","HCM_2819-em3.txt","England","char-offset:479","PLACE","http://geo-kima.org/place/12708","England","","","","","UNVERIFIED","Area|Governmental","","",""
"b3006607-3280-4f75-8354-0a8f9538f45d","HCM_2819-em3.txt","la More,","char-offset:658","PLACE","http://pleiades.stoa.org/places/912986","Uruk/Orchoe/Erech/Orikut|Uruk/Orchoe/Erech/Orikut, Warka","-6200/2100","31.32216","45.63782","settlement,urban","UNVERIFIED","Nominative|Settlement","","",""
"c0fb19f6-640c-447f-ab42-5e0396058e80","HCM_2819-em3.txt","church of Canon ryon (de Pyonia Canonicorum)","char-offset:719","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"8a95e101-cf43-4d9c-b49f-f9279df8850a","HCM_2819-em3.txt","Seynte Clere,","char-offset:776","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"e3bee319-ac0e-4e5a-9a8d-6d6f3057dca3","HCM_2819-em3.txt","Seinte Clere","char-offset:2248","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"77455757-e8fb-4cbf-a771-6f11666ecbb3","HCM_2819-em2.txt","England","char-offset:479","PLACE","http://geo-kima.org/place/12708","England","","","","","UNVERIFIED","Area|Governmental","marked up here because bad OCR below
","",""
"3c12f5fc-5e16-4357-b547-14d73a698a7e","HCM_2819-em2.txt","monastery of St. Mary of lyre in the diocese of  Evreux","char-offset:1187","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
