"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"bbed65d5-886a-4c10-8b7a-e84391af5561","RBLR_4505.txt","Winchester","char-offset:69","PLACE","http://sws.geonames.org/2633858","Winchester","","51.06513","-1.3187","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"97a93ed9-9c5f-4cd8-b832-b415079e163c","RBLR_4505.txt","Hereford","char-offset:173","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"a6205230-7fd0-465c-b14e-0f8c176c6f6d","RBLR_4505.txt","Blandiaco","char-offset:307","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"b5e83934-7374-4b78-8eed-2468bb741b35","RBLR_4503.txt","Breynton'","char-offset:96","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"50af6784-25d3-401f-aed5-bea37820fbc4","RBLR_4503.txt","church of Hereford","char-offset:120","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"c32a26ad-8021-42d6-8b96-04c8acb06394","RBLR_4503.txt","Winchester","char-offset:228","PLACE","http://sws.geonames.org/2633858","Winchester","","51.06513","-1.3187","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"c8c6e130-a889-42dd-ac3d-ef194df2ee2a","RBLR_4503.txt","Swynesfeld'","char-offset:303","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"6d0f19f9-86aa-44a1-8a9c-e002575314a7","RBLR_4503.txt","Hereford","char-offset:335","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"a4488213-0f37-4515-802e-cda4e8e26a52","RBLR_4503.txt","Hereford","char-offset:429","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"06ff4538-7282-4e75-8826-d3d7f1bd6358","RBLR_4503.txt","Usk","char-offset:474","PLACE","http://sws.geonames.org/2635052","Usk","","51.70347","-2.90332","","UNVERIFIED","Nominative|Settlement","","",""
"e6fcdab9-536d-4172-92a8-6fd68c1d9641","RBLR_4503.txt","Waerwent","char-offset:495","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Kaerwent","",""
"acf992b6-1de5-4067-82a7-c31a8b0a402b","RBLR_4503.txt","Hereford","char-offset:740","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"419b8368-772b-40ab-ac4b-bd73a6a09637","RBLR_4503.txt","Sugwas","char-offset:782","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","bishop's manor
","",""
"465b8db4-f1e0-4c9e-8442-6b224acda912","RBLR_4503.txt","Hamenasche","char-offset:910","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"db8dee01-3a5c-461d-b45a-47ac34bf5b13","RBLR_4503.txt","Ikelesham","char-offset:932","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"4130d7aa-8fa4-469e-a74a-0ef0f0e7775e","RBLR_4503.txt","la Ffelde","char-offset:955","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","La Felde in Werham
","",""
"df82b870-2f85-43ee-b37d-985a016c7863","RBLR_4503.txt","Hereford","char-offset:976","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral

","",""
"4e1e4cff-e31e-453b-9300-b774f5fb7283","RBLR_4503.txt","Shenyngfeld","char-offset:1059","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"5e78541c-83a5-49dd-889d-7bfcbd1893ab","RBLR_4503.txt","Rook","char-offset:1462","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"4f987970-7d9a-4ee9-843d-ac00a078cb45","RBLR_4004.txt","Bredon","char-offset:36","PLACE","http://sws.geonames.org/2654807","Bredon","","52.03008","-2.11671","","UNVERIFIED","Given at|Settlement","","",""
"50336ec6-ee74-4b91-b79b-dc063ced870a","RBLR_4004.txt","Gloucester","char-offset:73","PLACE","http://sws.geonames.org/2648404","Gloucester","","51.86568","-2.2431","","UNVERIFIED","Nominative|Area|Ecclesiastical","archdeaconry

","",""
"59ba8a4d-6701-4ff5-bfd8-8405d54261e9","RBLR_4004.txt","la Lowe","char-offset:98","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"7b8e4cd9-92f1-4b34-bd12-22487f71dc26","RBLR_4004.txt","Shyrebourn","char-offset:170","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"f33d5d8e-dca2-4291-a77f-28f2c100f3e3","RBLR_4004.txt","Winchcombe","char-offset:193","PLACE","http://sws.geonames.org/2633860","Winchcombe","","51.95363","-1.96398","","UNVERIFIED","Nominative|Building|Ecclesiastical","abbey","",""
"9ec96adf-415c-4d53-8b03-fc1602a3ff21","RBLR_4503-em2.txt","Breynton","char-offset:657","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"e0a4aedf-7e92-4dea-8fb6-be38eb28f56e","RBLR_4503-em2.txt","Hereford","char-offset:744","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"a6b08b98-0fad-40f2-93aa-d66c40692cce","RBLR_4503-em2.txt","Hamenasche","char-offset:914","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"f6101b1b-6122-40d9-bb2c-a30b383d5ed2","RBLR_4503-em2.txt","Ikelesham","char-offset:936","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"5889b244-77ca-46ba-9a3e-b77d2edc164d","RBLR_4503-em2.txt","la Ffelde","char-offset:959","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"e95d33e2-b90d-4867-a788-0c41e64adca7","RBLR_4503-em2.txt","Hereford","char-offset:980","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"4e4c4a99-86bb-40fa-9d6e-2fc1b91926fa","RBLR_4503-em2.txt","Shenyngfeld","char-offset:1063","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"56d134b6-a601-4436-8cf5-ebc1aac3c76f","RBLR_4504.txt","Winchester","char-offset:87","PLACE","http://sws.geonames.org/2633858","Winchester","","51.06513","-1.3187","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"0849d538-49ab-4e18-8091-6c0ba7415c5f","RBLR_4504.txt","Melton","char-offset:118","PLACE","http://sws.geonames.org/2158151","Melton","","-37.68339","144.58543","","UNVERIFIED","Nominative|Settlement","","",""
"cb9408ba-4823-4d5b-be6b-254a5374e653","RBLR_4504.txt","Court of Exchequer.","char-offset:147","PLACE","","","","","","","UNVERIFIED","Building|Governmental","at Westminster?
","",""
"98f9a48f-6155-41e7-85be-8da5839b7364","RBLR_4504.txt","Herefordensis","char-offset:224","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"db8fa703-33e4-48ef-9590-95f9c4b5e489","RBLR_4504.txt","Trillek","char-offset:259","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"d23df55c-ca9d-4d00-b3ac-d317a5709e41","RBLR_4504.txt","Breintone","char-offset:274","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"8d09c4e0-fe5f-4215-bf3a-13a3cbaa25fe","RBLR_4504.txt","ecclesie Herefordensis","char-offset:311","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"762e795b-c499-413d-a71e-abc179ccea29","RBLR_4504.txt","Usk","char-offset:347","PLACE","http://sws.geonames.org/2635052","Usk","","51.70347","-2.90332","","UNVERIFIED","Nominative|Settlement","","",""
"8e93cc7b-00b8-445f-a6c3-201802d2525f","RBLR_4504.txt","Bourghclere","char-offset:354","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","church","",""
"bbc3b75a-6b0d-4cfa-950a-5beabf1a076d","RBLR_4504.txt","Caerwent","char-offset:375","PLACE","http://geo-kima.org/place/20492","Caerwent (Wales)","","","","","UNVERIFIED","Nominative|Settlement|OCR","Kaerwent","",""
"e6dfb7ba-c4bc-413b-b85c-fcdd6aedcc70","RBLR_4504.txt","Caulbourne in Insula Vecta, Wyntoniensis diocesis","char-offset:387","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","church","",""
"6db6301f-e994-4816-9d34-0bd45a0c7121","RBLR_4504.txt","ecclesie wyntoniensi","char-offset:981","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","","",""
"1b245cad-73eb-4766-866c-88cd7f0a6b14","RBLR_4503-em1.txt","Breynton","char-offset:657","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"4a17aa6e-87c9-4322-944e-fc5704fc4b21","RBLR_4503-em1.txt","Hereford","char-offset:744","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"bbdcf998-78b6-4ddf-ad89-ead034f43663","RBLR_4503-em1.txt","Sugwas","char-offset:786","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"65687b37-7a1b-4738-8ae5-8f5e7d71dfaa","RBLR_4503-em1.txt","Hamenasche","char-offset:914","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"1a2036f4-4ea6-4484-8315-bb15d34d86fe","RBLR_4503-em1.txt","Ikelesham","char-offset:936","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"7cee78c1-454c-4dfa-a188-4610473a52f1","RBLR_4503-em1.txt","la Ffelde","char-offset:959","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"61a18cf6-fad7-4cb2-a6b9-6cab4eb2d9b5","RBLR_4503-em1.txt","Hereford","char-offset:980","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"34fcfbb2-dfd8-483e-94cd-2b7c0b63db0f","RBLR_4005.txt","London,","char-offset:67","PLACE","http://sws.geonames.org/6058560","London","","42.98339","-81.23304","","UNVERIFIED","Nominative|Settlement","","",""
"3444a0e3-cfe1-4078-bfb5-576e80871ba3","RBLR_4005.txt","goodrich Castle","char-offset:84","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","vicarage of
","",""
"640c4180-90db-4988-a34c-41569282c155","RBLR_4005.txt","Paultone","char-offset:117","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"46a0f00c-edea-495d-b668-16b147f6d595","RBLR_4005.txt","Bramdene, Winch. d.","char-offset:138","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"7c4a87ad-4a31-42b7-950b-768daba0c7e3","RBLR_4201.txt","la More,","char-offset:99","PLACE","http://pleiades.stoa.org/places/912986","Uruk/Orchoe/Erech/Orikut|Uruk/Orchoe/Erech/Orikut, Warka","-6200/2100","31.32216","45.63782","settlement,urban","UNVERIFIED","Nominative|Settlement","","",""
"712151d2-30be-423a-a7cf-25706f4ac4ca","RBLR_4201.txt","diocese of Exeter","char-offset:121","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical","","",""
"90c9f7c6-ab77-430a-89b9-3e45ea5761ec","RBLR_4201.txt","Estenore","char-offset:181","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"79a50c35-f7b6-49d3-a2b0-c58712040ecd","RBLR_4201.txt","diocese of Hereford","char-offset:197","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical","","",""
"2ae45536-d6dd-409e-914b-13eaaa996060","RBLR_4201.txt","Swynesfeld'","char-offset:291","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"c87c0b1f-c32a-4d27-8bcb-7c38e5790bcc","RBLR_4201.txt","Hereford","char-offset:323","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"eb9c3153-fd9b-456d-8e42-fe4c6f0b4587","RBLR_4201.txt","Breynton","char-offset:375","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"23773fb6-a72e-4beb-9573-1ee101707be1","RBLR_4201.txt","Hereford","char-offset:395","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","Cathedral","",""
"0bbc737a-9242-4576-a9e5-62b66ef34911","RBLR_4201.txt","Radenore","char-offset:678","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"b26b7e51-dc67-4d1d-b5b5-f9113853a6a1","RBLR_4201.txt","Aust'","char-offset:702","PLACE","http://sws.geonames.org/3162354","Aust-Agder","","58.89327014162851","7.975512574334621","","UNVERIFIED","Nominative|Settlement","Austr = Eastnor?
","",""
"bc86e15e-e170-44df-b2e9-88676bb21335","RBLR_4101.txt","Sheyntone","char-offset:100","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"dbbe7a41-d999-4ff5-8519-1dffbd64f39d","RBLR_4101.txt","Canonical house","char-offset:119","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","at Hereford
","",""
"4b025fbe-ef72-4907-a71c-720f14a17648","RBLR_4101.txt","Breynton","char-offset:186","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"fc58e75c-d154-4ecb-9712-0fe91f750566","RBLR_4407.txt","diocese","char-offset:99","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical","Hereford Diocese
","",""
"aeb5be57-4821-4ebd-99cd-4bb5cb6158b2","RBLR_4407.txt","St. Paul’s Cathedral","char-offset:175","PLACE","http://mapoflondon.uvic.ca/STPA2.htm","St. Paul’s Cathedral","","51.513741698095345","-0.098465147372751","","UNVERIFIED","Building|Ecclesiastical","","",""
"5a832ba8-5fb0-419f-a8a4-bf5adbcdeb4a","RBLR_4407.txt","Breyntone","char-offset:421","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"c6b7ec17-9281-4776-ba11-f2edeaf2f087","RBLR_4407.txt","Gloucestrie","char-offset:445","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical","Gloucester Archdeaconry","",""
"7c999e78-a904-4299-9ed2-f6fe98c9aa3c","RBLR_4407.txt","Herefordensibus","char-offset:485","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Cathedral","",""
"8bb94f7e-cfab-4913-824b-f22b6a6d8178","RBLR_4407.txt","Trillek","char-offset:666","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"069c2211-2d96-45bc-8ee9-ea0a8b40c054","RBLR_4407.txt","Herefordensis ecclesie","char-offset:693","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"67d29467-63b7-4917-8d9d-4cd56c1ac6b7","RBLR_4407.txt","Londoniensis","char-offset:760","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"b721989b-541a-403d-a188-f9c163a9ed49","RBLR_4407.txt","Cantuariensis","char-offset:909","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical","province","",""
"fe7e3fc6-bf09-4381-9ad9-0b054705a5af","RBLR_4407.txt","regni Anglie","char-offset:1286","PLACE","","","","","","","UNVERIFIED","Area|Governmental","kingdom of England
","",""
"a81c7480-6e7d-4c8f-adaf-e95605bf19f6","RBLR_4407.txt","Westmonasterium","char-offset:2471","PLACE","","","","","","","UNVERIFIED","Given at|Building|Governmental","","",""
"160482ab-35e9-494a-ac60-4b6719d5a823","RBLR_4407.txt","Anglie","char-offset:2524","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Governmental","
","",""
"a543d239-a879-4d04-8851-6c32f708027c","RBLR_4407.txt","Francie","char-offset:2557","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Governmental","","",""
"5041205d-f5bf-4633-9c24-efd7505ea1c9","RBLR_4407.txt","Cantuariensis ecclesie","char-offset:2723","PLACE","","","","","","","UNVERIFIED","Area|Ecclesiastical","province","",""
"c30ffa81-35a5-4760-bb60-f379eba0bdcb","RBLR_4407.txt","Londonìensis diocesis","char-offset:4536","PLACE","","","","","","","UNVERIFIED","Area|Ecclesiastical","","",""
"5751ca77-1a15-499b-ad39-f048a82605ab","RBLR_4407.txt","Lamhithe","char-offset:4981","PLACE","","","","","","","UNVERIFIED","Given at|Building|Ecclesiastical","","",""
"46449a02-a5d0-456b-8c67-3451dfe800fa","RBLR_4407.txt","Herefordensis","char-offset:5449","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"68735606-552f-40df-a736-ced25d66eb2f","RBLR_4407.txt","ecclesie Herefordensis","char-offset:5657","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"49e87e28-2556-4905-a1f5-36f116d763cf","RBLR_4407.txt","Stebbenhithe","char-offset:6588","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"bcdc4433-8fd1-4bdc-b3a8-cb56106e2d0a","RBLR_4407.txt","Farnham","char-offset:7264","PLACE","http://pleiades.stoa.org/places/79460","Farnham|Farnham","-0030/0640","51.215884","-0.784391","villa","UNVERIFIED","Given at|Building|Ecclesiastical","","",""
"4bec276a-6e66-4720-a4d6-f61dae321946","RBLR_4403.txt","Breynton","char-offset:51","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"db72bb53-50e3-47e3-9dac-68a339a2ec95","RBLR_4403.txt","Gloucestrie","char-offset:504","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical","archdeaconry","",""
"73f27446-1d3b-471b-8a36-612c8a5a5a94","RBLR_4403.txt","Herefordensem","char-offset:596","PLACE","","","","","","","UNVERIFIED","Area|Ecclesiastical","diocese","",""
"aa281aa7-c95b-4bc0-ad5c-8646fa702d0d","RBLR_4403.txt","supra","char-offset:1509","PLACE","","","","","","","UNVERIFIED","Given at|Building|Ecclesiastical","Farnham Castle
","",""
"9e5a9936-44d3-4b42-bc8a-2a41c1496449","RBLR_4406.txt","Hereford","char-offset:63","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"5b355bf0-6a19-44ed-b1cd-6c7d979e49b4","RBLR_4406.txt","canon's residence","char-offset:78","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","at Hereford Cathedral
","",""
"1d8eef4f-46d6-41a1-99e5-5742bdb13c4d","RBLR_4406.txt","Herwynton","char-offset:137","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ce4c87fc-d111-4ec3-b161-003ede36c792","RBLR_4406.txt","Breynton","char-offset:157","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"94b72078-e97e-43c4-9c40-ec6ab05bf37a","RBLR_4406.txt","Herefordensi","char-offset:250","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral (this one for Herwynton, another for Reez)
","",""
