"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"12351e9b-1094-4043-8bd3-da89e6858e66","HCM_1377.txt","Breynton'","char-offset:116","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"241f65c4-d883-486d-939a-b7a6e3307577","HCM_1377.txt","2 woh ""itn Mae f£ Winchest d John","char-offset:159","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical|OCR","Herford Cathedral","",""
"d17cc7ee-f116-4105-9e1a-f0aba1519b2e","HCM_1377.txt","W ester,","char-offset:206","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical|OCR","diocese of Winchester","",""
"ed7bee81-5ed2-4127-8a51-7e8500e6b3e1","HCM_1377.txt","Srilisk, ktnanen of Was biee a","char-offset:228","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Trillek","",""
"3cf813b6-4f82-4281-8965-ced6cb9809ce","HCM_1377.txt","city of Hereford","char-offset:303","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"d72c52ac-61bc-4588-8b02-8772eeda58fc","HCM_1377.txt","wyneston',","char-offset:363","PLACE","","","","","","","UNVERIFIED","Settlement","Winston","",""
"422eccb9-3d38-4253-89a9-306af54c5d82","HCM_1377.txt","Clehungr’","char-offset:374","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"cf42327a-994f-48e9-8121-cc11164d11c9","HCM_1377.txt","ees","char-offset:389","PLACE","","","","","","","UNVERIFIED","Settlement|OCR","Bullinghope","",""
"7f16a07d-2b05-4fca-93eb-a01a4c4243c4","HCM_1377.txt","Hereford.","char-offset:455","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"a9190d46-a9d6-4251-8677-60dc344ab2d6","HCM_1377.txt","Penebrugg","char-offset:496","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"39fe0372-aefa-4b9b-90fc-b21969a9d8d0","HCM_1377.txt","Bromyord","char-offset:547","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"8b11c904-6c05-46b4-8232-e51d7b47bb86","HCM_1377.txt","city of Hereford","char-offset:573","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"3d6b8a26-458f-47b9-b5d6-22cb512cf0ab","HCM_1377.txt","la Barre,","char-offset:601","PLACE","http://sws.geonames.org/3021516","Deuil-la-Barre","","48.97674","2.32722","","UNVERIFIED","Nominative|Settlement","","",""
"9b8d9942-10aa-4c7c-92c7-7df94223f0f1","HCM_1377.txt","Uppewye","char-offset:686","PLACE","","","","","","","UNVERIFIED","Nominative|Natural Feature","Up the Wye?
","",""
"faa3104c-4e47-447a-8d31-3ea9b4b99dbd","HCM_1377.txt","de Celue","char-offset:703","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","la Calwe","",""
"45c23299-c60b-425e-b6a2-2ae1b3c2e842","HCM_1378.txt","Breynton',","char-offset:73","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"8f5c6642-ed61-4f8f-90a4-1fea29abc426","HCM_1378.txt","church of Hereford","char-offset:97","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"af35a24c-2bf6-4dcd-8897-830c2a07b7c7","HCM_1378.txt","winchester","char-offset:205","PLACE","http://sws.geonames.org/2633858","Winchester","","51.06513","-1.3187","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"50619589-4dee-4682-bb76-57616eeea72c","HCM_1378.txt","Swynesfeld","char-offset:281","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"5a092cef-09eb-4d3d-9519-f5c2a0124252","HCM_1378.txt","Hereford","char-offset:313","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"92aabb9a-8d9c-4a3c-b757-7da91c9e31a6","HCM_1378.txt","Hereford","char-offset:407","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"08be290f-b3a7-4e0c-ac79-0a4b36e1ca19","HCM_1378.txt","Usk","char-offset:453","PLACE","http://sws.geonames.org/2635052","Usk","","51.70347","-2.90332","","UNVERIFIED","Nominative|Settlement","","",""
"2337f31c-fcec-49c6-a655-fab42131c282","HCM_1378.txt","Lacrwent,","char-offset:475","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Kaerwent","",""
"d1c0e7fa-47ef-444c-b570-33fea5f8445d","HCM_1378.txt","“are","char-offset:763","PLACE","http://pleiades.stoa.org/places/39292","Are","-0030/0300","17.5","47.5","unknown","UNVERIFIED","Given at|Building|Ecclesiastical|OCR","Sugwas","",""
"67badd54-d8bb-4c7c-9a95-740f03f71921","HCM_1378.txt","Mamenasche","char-offset:889","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Hamenesche","",""
"24e488e8-eea5-4ae9-a335-3ee604dfa573","HCM_1378.txt","Ikelesham","char-offset:911","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"a6cb8f4b-f9b7-4922-89e5-887fc683424d","HCM_1378.txt","la Ffelde","char-offset:934","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"0e630007-6698-4820-9238-8832ec687632","HCM_1378.txt","Hereford","char-offset:955","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"6e68f161-7dae-455e-b776-12d800b7fd49","HCM_1378.txt","Shenyngfeld'","char-offset:1039","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"856477be-3f0e-48f7-aed5-6518b5be2e3c","HCM_1378.txt","Rook’","char-offset:1440","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"a36b493a-7ba2-412e-a851-4802c9de2b13","HCM_1414.txt","Guarcino","char-offset:96","PLACE","http://sws.geonames.org/3175718","Guarcino","","41.79917","13.31439","","UNVERIFIED","Nominative|Settlement","","",""
"7e8ecf82-d562-4778-b301-4d89112d3cd3","HCM_1414.txt","Holy Roman Church","char-offset:123","PLACE","http://pleiades.stoa.org/places/825912337","Lateran Basilica, Palace, and Castra Nova equitum singularium","1700/2100","41.885906","12.506156","church","UNVERIFIED","Building|Ecclesiastical|Nominative","","",""
