"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"b007af09-dc1b-44fe-a04e-39b6521dc4e4","HCM_2994.txt","— esneniae","char-offset:71","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Goldingham","",""
"c6367f6f-5896-4158-8c15-eb9c25ff522f","HCM_2994.txt","diocese of London","char-offset:95","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Ecclesiastical","","",""
"fffa73c2-6e07-4ef9-bbb4-b93b3b745b8e","HCM_2994.txt","St. dec int ’ egeeeeee","char-offset:187","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical|OCR","St Ciriac in termis (cardinal priest of)","",""
"c47a0467-c0d2-49a0-a28e-3f2715bdfbe2","HCM_2994.txt","Ros","char-offset:218","PLACE","http://sws.geonames.org/622700","Ros’","","53.2858","24.4128","","UNVERIFIED","Nominative|Settlement","","",""
"d26d9c17-a919-4c5b-ba14-6509c73c9977","HCM_2994.txt","Hereford","char-offset:232","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"4d375c07-f9e4-4f01-876d-ef6a80ba52db","HCM_2994.txt","Schorne","char-offset:331","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"12bc6fb3-66dc-4872-868a-7a6488806fba","HCM_2994.txt","Sagan","char-offset:353","PLACE","http://sws.geonames.org/7896555","Sagan-Nur","","51.3436","108.4449","","UNVERIFIED","Nominative|Settlement|OCR","Nonyngton","",""
"43aea20f-2ec8-43ae-bfb1-e5f3e216a7c5","HCM_2994.txt","Nereford","char-offset:414","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","Hereford Cathedral
","",""
"2064063d-1e93-4fcd-abeb-6e41d8b73c24","HCM_2994.txt","Hereford","char-offset:489","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"cdc8acf4-ba98-49d7-8c77-48df2b6621de","HCM_2994.txt","Rome","char-offset:1268","PLACE","http://geo-kima.org/place/7637","Rome","","","","","UNVERIFIED","Settlement","i.e. Avignon, papal court?","",""
"dd4ef421-f391-4647-a060-f73eb1350c42","HCM_2994.txt","Hereford","char-offset:1349","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"7085c973-57ff-4d81-b533-319eb9a8c080","HCM_2994.txt","inn of the said cardinal","char-offset:1466","PLACE","","","","","","","UNVERIFIED","Given at|Building|Ecclesiastical|OCR","Avignon, inn of cardinal Guillelmus","",""
"13d5009c-0969-4f25-94a5-3eac8d29b4d6","HCM_2994.txt","Rochester","char-offset:1568","PLACE","http://sws.geonames.org/2639268","Rochester","","51.38764","0.50546","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"53f3ee86-adbf-493a-a0c9-310355067b9a","HCM_2994.txt","orettechan","char-offset:1586","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Berham","",""
"8957be94-f426-4bdd-a026-5dc709661e69","HCM_2994.txt","Hereford","char-offset:1607","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"9a9fcf05-c40f-430a-96e5-e0dc178305bb","HCM_2994.txt","Roman court","char-offset:1648","PLACE","http://pleiades.stoa.org/places/79471","Frocester|Frocester Court","-0030/0640","51.722785","-2.312798","villa","UNVERIFIED","Building|Ecclesiastical","i.e, at Avignon","",""
"26ab66fb-5dda-4bca-8b08-dc3d04c2a501","HCM_2994.txt","church of Surrita in the dlocese of Tortosa","char-offset:1694","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"583c24cc-2d54-427d-a512-6dcf5a69e2f5","HCM_2994.txt","St. Gunlianus(?7)","char-offset:1766","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"8a1909eb-edb4-4f27-a26d-69f3b0d5a924","HCM_2994.txt","Tamarito in the diocese of Lerida","char-offset:1802","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","vicarage of
","",""
"12b792c9-5f72-4159-acc2-5e6643b64c4d","HCM_2994.txt","Gyves","char-offset:1851","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"82f0ee19-8b91-41f4-a360-6233fd041f71","HCM_2994.txt","church of Wolfurlowe in the diocese of Hereford","char-offset:1873","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"363dea1f-b9d6-4fcc-ba66-bbe491f30e06","HCM_3003-em.txt","Ros","char-offset:145","PLACE","http://sws.geonames.org/622700","Ros’","","53.2858","24.4128","","UNVERIFIED","Nominative|Settlement","","",""
