"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"9a6b9fbf-3bce-4964-8069-1b29ed30b656","HCM_945.txt","Seopenerrs","char-offset:115","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Clehungre","",""
"c03354ae-7034-4691-84b7-b2d590b021d9","HCM_945.txt","are","char-offset:146","PLACE","http://pleiades.stoa.org/places/39292","Are","-0030/0300","17.5","47.5","unknown","UNVERIFIED","Nominative|Settlement|OCR","la Gare","",""
"c293da97-fd10-42b9-b8c1-0748a6f5bba4","HCM_945.txt","Hereford","char-offset:160","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"009d65b0-d604-4f54-85cc-4cfd0c6a7e95","HCM_945.txt","almshouse church of Hereford","char-offset:211","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"ca9e789f-3b06-446e-8a20-9aa327fa83f4","HCM_945.txt","Claman","char-offset:334","PLACE","","","","","","","UNVERIFIED","Settlement","Clehungre","",""
"3176f77a-c490-4b4c-8811-5a6eaa54e141","HCM_945.txt","almshouse","char-offset:367","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","almshouse of Hereford, locatred at Clehunger","",""
"6361da38-372e-4351-82fb-5eab2bb2a1cc","HCM_945.txt","Hereford","char-offset:387","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"f43c427c-b2a0-4d1e-9f49-8b80b3a8f679","HCM_945.txt","Clehungre","char-offset:435","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"43a1fa8e-6550-47fd-a31e-96226a98ed08","HCM_945.txt","la Lowe","char-offset:497","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"98f3086a-9623-41a0-be30-1311d00c1e89","HCM_93.txt","London","char-offset:56","PLACE","http://sws.geonames.org/6058560","London","","42.98339","-81.23304","","UNVERIFIED","Nominative|Settlement","","",""
"9472d165-9d74-4a17-9872-44771fc99dea","HCM_93.txt","Aylineston","char-offset:77","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"5b13946c-a624-4e2a-b612-3c4f15989aac","HCM_93.txt","Hereford","char-offset:101","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"abc37cef-575f-44fd-8427-2df37198868b","HCM_93.txt","street of St. Owen in the suburbs of Hereford,","char-offset:151","PLACE","","","","","","","UNVERIFIED","Roadway","","",""
"6ea95769-5842-4a51-840b-a2144d9b6bd4","HCM_93.txt","suburbs of Hereford,","char-offset:177","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"119a39cb-1f61-40f0-b298-12c03b4df391","HCM_93.txt","other high street","char-offset:324","PLACE","","","","","","","UNVERIFIED","Roadway","in Hereford (""other"" than St Owen Street?)","",""
