"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"223e3877-78db-421a-904c-95d7b12feda9","HCM_348.txt","Grete near Wynchecombe","char-offset:82","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"73012a8d-89fe-4fa2-b341-ba13db60705e","HCM_348.txt","Schokereswelle","char-offset:117","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"03bebab9-f8e8-4516-9b7c-0d296403abb5","HCM_348.txt","Clifford’ Chaumbrer on the Stour","char-offset:135","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"5987cbe1-ac7e-4827-bb83-2bfad46bff02","HCM_348.txt","Stour","char-offset:162","PLACE","http://geo-kima.org/place/6743","Stour Valley (Wiltshire and Dorset, England)","","","","","UNVERIFIED","Natural Feature","River Stour
","",""
"41c43c04-0c98-4985-9817-6e5586a66f23","HCM_348.txt","Clifford","char-offset:249","PLACE","http://sws.geonames.org/2652844","Clifford","","52.1","-3.1","","UNVERIFIED","Settlement","","",""
"1718a815-bc03-401c-a940-1e8cac984a8d","HCM_348.txt","Clifford","char-offset:269","PLACE","http://sws.geonames.org/2652844","Clifford","","52.1","-3.1","","UNVERIFIED","Given at|Settlement","","",""
"9309811d-c870-4f4e-a4b9-1a48bac10592","HCM_348.txt","wynecote","char-offset:324","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"474bf238-63f0-4286-a9a9-5f646056e43c","HCM_348.txt","Cliue","char-offset:364","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","Cleeve? Bishop's Cleeve?
","",""
"94bf7581-b401-4371-9e9c-69548621c139","HCM_348.txt","Chaueringworthe","char-offset:373","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"e5cb7882-44b8-43a1-a3a7-0a62b7540f65","HCM_353.txt","la Calewe","char-offset:39","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"baa27eb6-0d5a-42bb-806d-e04f28e44c03","HCM_353.txt","Tromppeton","char-offset:77","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"8e84cdf2-a817-474f-a68d-813c9f3db2b5","HCM_353.txt","territory of Deuschirche","char-offset:198","PLACE","","","","","","","UNVERIFIED","Settlement","nr Dewsall
","",""
"1ae4eb34-3e66-4f8a-bc73-cf0a5f9fab26","HCM_353.txt","highway leading from Deuswelle as far as Deuschirche","char-offset:323","PLACE","","","","","","","UNVERIFIED","Roadway","","",""
"6be85c5b-40e1-41dc-95b8-0f7f378dec9c","HCM_353.txt","Deuswelle","char-offset:344","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"4c64e97f-7792-47f2-ad49-e66279e99df1","HCM_353.txt","Deuschirche","char-offset:364","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"6fbb2b90-ae43-446b-b395-05b66bc544f5","HCM_353.txt","highway leading from Deuswelle as far as Wurmelowe","char-offset:410","PLACE","","","","","","","UNVERIFIED","Roadway","","",""
"bebff7ea-683d-431a-88fb-ab1b626f4658","HCM_353.txt","Wurmelowe","char-offset:451","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"e926ee69-2d72-405d-a0ca-e4af9d3582ee","HCM_353.txt","la Calewe,","char-offset:574","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ff240f97-0d2d-4b71-87ff-0ca6a42475f8","HCM_353.txt","Fontem","char-offset:612","PLACE","http://sws.geonames.org/2231564","Fontem","","5.4685","9.8818","","UNVERIFIED","Nominative|Settlement","","",""
"db239880-e78e-471f-92d6-8caa876a9e3e","HCM_353.txt","Lecche","char-offset:701","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"6cc4def3-e4a1-4e1d-8d4d-332626da6d7c","HCM_34.txt","Reygate","char-offset:74","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"302507d0-aa2c-40a7-92c7-dff9d6d6cfe9","HCM_34.txt","church of Brugge erss","char-offset:97","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical|OCR","Brugge Solers","",""
"2e672056-b5ca-48a6-a5fc-49c5aca8281e","HCM_34.txt","Breynton","char-offset:131","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ef1d2213-a94b-4244-8501-8c11cf4c5e5e","HCM_34.txt","church of  Zoatms fe diocese of Hereford,","char-offset:157","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical|OCR","Rock?","",""
"a76f3a58-e986-48ee-b55b-e24928df7465","HCM_34.txt","Chyrchebreynton","char-offset:234","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"4fed5a4b-bf55-471e-9d3e-86cca2cf048d","HCM_34.txt","Hereford","char-offset:261","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"55c717a2-cf74-4c6b-9498-ed16d6d0c519","HCM_34.txt","Barewe","char-offset:291","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"035d3646-c1d0-45b3-aacf-cd1382d056a8","HCM_34.txt","church of or","char-offset:345","PLACE","http://mapoflondon.uvic.ca/STBE4.htm","St. Benet Sherehog","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical|OCR","Hereford Cathedral","",""
"4f22574a-f496-4630-86df-1952b3123ee8","HCM_34.txt","la Barre","char-offset:370","PLACE","http://sws.geonames.org/3011332","La Barre-de-Monts","","46.88059","-2.12168","","UNVERIFIED","Nominative|Settlement","","",""
"dd84579b-f52f-4feb-a9cb-4e401a1d1b59","HCM_34.txt","Brugge","char-offset:400","PLACE","http://pleiades.stoa.org/places/108830","Brugge|Brugge|Brugge","-0030/0640","51.2094","3.2252","settlement","UNVERIFIED","Nominative|Settlement","","",""
"04afe997-4eaa-48cd-ade3-212270c3b5ab","HCM_34.txt","Stretton","char-offset:436","PLACE","http://sws.geonames.org/2636658","Stretton","","53.33333","-2.56667","","UNVERIFIED","Nominative|Settlement","","",""
"2c87b398-d8c6-41c6-8e33-341b3cebf104","HCM_34.txt","la Were","char-offset:470","PLACE","http://pleiades.stoa.org/places/471951","Ilienses","-0330/0300","40.5","8.5","people","UNVERIFIED","Nominative|Settlement","","",""
"8e1019f2-6ca7-48c1-8e3e-dd2085da2e09","HCM_34.txt","Leoministr","char-offset:489","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"b71d4500-1b29-43f7-9cc1-7efb90ef2858","HCM_339.txt","Stanedisch","char-offset:110","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"65e0515c-f563-40b6-8cdd-f1bec73a1bcd","HCM_339.txt","Mortone","char-offset:145","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"cb9efba2-caf4-49c3-a292-65096a3f9d2f","HCM_339.txt","Stanedisch","char-offset:251","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"000e196f-aa48-4d5a-9fb3-eceb0fceff1a","HCM_339.txt","Stanedisch","char-offset:272","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"11a04c4c-a716-48be-9a4d-fc1247afaecd","HCM_339.txt","Walsche","char-offset:324","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Governmental","","",""
"ca9090b3-1578-4566-9bb9-4a16e4d2a60d","HCM_339.txt","Husmarleiec","char-offset:335","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"0546a651-1d00-4096-9f34-ccb008883e7f","HCM_339.txt","hoke","char-offset:375","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","natural feature instead?","",""
"5ffe2fd3-0372-4848-a412-d6e63fcfcc41","HCM_339.txt","Promelode","char-offset:441","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Fromelode","",""
"8db90753-c44a-4115-a9b1-8ba4cc6c123f","HCM_339.txt","Salle","char-offset:464","PLACE","http://sws.geonames.org/3168636","Salle","","42.17756","13.96091","","UNVERIFIED","Nominative|Settlement","elsewhere Selle","",""
"20e10691-cbad-4123-8143-02ca9ada7271","HCM_341.txt","Stanedisch","char-offset:102","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"538b1f80-9f20-4bab-8ccc-76ca824f585f","HCM_341.txt","Mortone","char-offset:135","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"60f7542b-cebc-4f74-9530-cd8dfabac745","HCM_341.txt","Stanedisch","char-offset:167","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"970202a5-47d3-47ee-9b5d-08f8faa40a8e","HCM_341.txt","Walle","char-offset:236","PLACE","http://geo-kima.org/place/17859","Walle (Bremen, Germany)","","","","","UNVERIFIED","Nominative|Settlement","nr Eppeneye?|natural feature / building instead?
","",""
"a37d178b-08db-4c1a-8eb6-c0bc2bffe68a","HCM_341.txt","Eppeneye","char-offset:245","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"abb2dbd9-8a38-404e-96ba-7b699104802f","HCM_341.txt","Croyce","char-offset:315","PLACE","","","","","","","UNVERIFIED","Roadway","nr Eppeneye
","",""
"8970b089-210b-4de5-8a95-55efffcfbf06","HCM_341.txt","Eppeneye","char-offset:325","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"dbb542ec-00f0-48f4-a4ec-07985a6f2e6f","HCM_341.txt","Stanedisch","char-offset:432","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"8a0ccc66-cc52-4dfe-8ab9-02a24b03e0fe","HCM_341.txt","Walsehe","char-offset:482","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Governmental","","",""
"2103d52b-b168-49ff-a121-bf485026b4ea","HCM_341.txt","Husmarleie","char-offset:493","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"d57899ab-49ee-40a6-a9da-a3b9f8151021","HCM_341.txt","Hoke","char-offset:532","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","natural feature?
","",""
"01692b9b-5cd7-4025-925e-b40448aa8eb9","HCM_341.txt","Fromelode","char-offset:597","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"17542095-7ba6-4f3c-bf38-781cd2043baf","HCM_341.txt","Selle","char-offset:620","PLACE","http://pleiades.stoa.org/places/727231","Sile|Sile/Selle/Tcharou, Tell Abu Seifa","-0750/0640","30.83591","32.40033","settlement","UNVERIFIED","Nominative|Settlement","elsewhere Salle
","",""
"3f69c05a-62b1-4dde-884d-7bca1465d2b2","HCM_354.txt","Bishops Frome","char-offset:58","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","church / vicarage
","",""
"58db40fd-96ee-4a45-9976-0cc1ccd73f0e","HCM_354.txt","Kemeseye","char-offset:92","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"3563a924-b974-413a-a753-ab8e1b5ecceb","HCM_354.txt","vill of Colewell'","char-offset:171","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"99a00250-3573-43e9-a033-f661b761a3d4","HCM_354.txt","windmill situated on tsuper) le pathulle","char-offset:192","PLACE","","","","","","","UNVERIFIED","Building|Mercantile","in vill of Colwell
","",""
"10b2607f-3f56-48c8-9030-1283a341f1ae","HCM_354.txt","le pathulle","char-offset:221","PLACE","","","","","","","UNVERIFIED","Roadway","in vill of Colewell
","",""
"dc764116-1aba-4546-9ff7-e841952eb6d8","HCM_354.txt","Mortuo Mari,","char-offset:328","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"a21284d3-963f-4055-b88c-e4f17c7a5c8c","HCM_354.txt","Hereford","char-offset:378","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"74967bc2-a9a0-4fda-8c3f-ff94bbdadb44","HCM_354.txt","auesinton","char-offset:409","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Mauesinton = Masington
(chamberlain of)","",""
"06da525f-f6e1-4c1b-a8f0-282458f728c5","HCM_354.txt","Movesinton","char-offset:428","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Mauesinton","",""
"e99cb4cb-7831-439f-9049-54b04587889b","HCM_354.txt","Solers","char-offset:448","PLACE","http://sws.geonames.org/2974362","Solers","","48.65919","2.71617","","UNVERIFIED","Nominative|Settlement","bridge sollers?","",""
"a7c4aaa2-3483-4793-92da-abfbf9bdef05","HCM_354.txt","Furches","char-offset:466","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"bc4656e9-73af-4b5b-9fa5-0f7518fa2c21","HCM_354.txt","Troye","char-offset:482","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"04a205bf-d886-439a-a8a8-17824d8dccc9","HCM_354.txt","Cheuehamy","char-offset:499","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Cheueham","",""
"1d2d8968-6aba-457d-bd2c-0723d66796f2","HCM_354.txt","1s Leye,","char-offset:520","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","la Leye","",""
"94009a3e-1fb8-4cc0-8756-0a5349b6e4cc","HCM_354.txt","Colevelle","char-offset:544","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","colewell","",""
"c2f83de6-afd6-48fc-bc79-505c497e1602","HCM_322.txt","Frensshe","char-offset:80","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Governmental","","",""
"54d9bc4a-c8ae-4662-a279-be7295e04c27","HCM_322.txt","Parva Thinghulle","char-offset:276","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"62585061-2fe2-4743-888c-f7ba207e09ce","HCM_322.txt","Parva Thinghulle","char-offset:400","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"fc890917-0b28-4c58-a68d-b37705f698d9","HCM_322.txt","Perva Thinghull","char-offset:1159","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"0fe228d0-bbbd-488e-8051-7d5f67a1ea5b","HCM_322.txt","Maurdyn","char-offset:1200","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"a167197e-6e64-40b9-988b-66b23a59ef9b","HCM_322.txt","Bradefeld","char-offset:1217","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"b93c60b9-3198-4918-b2c4-9dc3c17fed44","HCM_322.txt","Houton","char-offset:1252","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"5da55fc6-f862-4737-9232-0d759ed318c3","HCM_322.txt","Preston","char-offset:1269","PLACE","http://sws.geonames.org/2152558","Preston","","-37.75","145.01667","","UNVERIFIED","Nominative|Settlement","","",""
"e85eadc3-92de-4c97-a9c5-b002148c6940","HCM_322.txt","Withinton","char-offset:1303","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"cf5075ca-e9f2-49b2-89c0-6139bb9378da","HCM_342.txt","Stanedisch","char-offset:103","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"160248db-e884-4777-a496-9d0022a3de45","HCM_342.txt","Morton","char-offset:136","PLACE","http://geo-kima.org/place/11309","Morton (Ill.)","","","","","UNVERIFIED","Nominative|Settlement","","",""
"f8cb81ab-3c87-4545-b5ba-320e06d98d73","HCM_342.txt","Stenédisch","char-offset:207","PLACE","","","","","","","UNVERIFIED","Settlement","lordship of
","",""
"384f9df2-f25d-4a9f-bb0c-a26be2718a85","HCM_342.txt","Stanedisch","char-offset:237","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"ac9898fa-9566-4da5-92de-4e2879f0df3b","HCM_342.txt","Walsche","char-offset:301","PLACE","","","","","","","UNVERIFIED","Nominative|Area|Governmental","","",""
"10d95a3c-a840-4f59-b10c-6c4981e507a2","HCM_342.txt","Husmerleie","char-offset:312","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"dd0becdd-32fd-4479-a13f-e018a67df949","HCM_342.txt","Hoke","char-offset:337","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"8084789b-6c2d-4ef1-afe4-80052e111060","HCM_342.txt","Fromelode","char-offset:402","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"770d2ff9-5b8e-4e15-99af-9355621ca6cb","HCM_342.txt","Salle","char-offset:425","PLACE","http://sws.geonames.org/3168636","Salle","","42.17756","13.96091","","UNVERIFIED","Nominative|Settlement","","",""
"6be436ef-9e2e-458a-8c0e-50353ac4d858","HCM_3223.txt","county of Gloucester","char-offset:153","PLACE","http://geo-kima.org/place/8604","Gloucestershire (England)","","","","","UNVERIFIED","Area|Governmental","","",""
"0da43c6a-4cdc-4f6c-bd06-28780b8d4086","HCM_3223.txt","Gloucester","char-offset:163","PLACE","http://sws.geonames.org/2648404","Gloucester","","51.86568","-2.2431","","UNVERIFIED","Nominative|Area|Governmental","county (sherrif of, below)","",""
"6f2053cf-7028-4c6d-b041-d8ed21fb687d","HCM_3223.txt","Exchequer","char-offset:204","PLACE","http://mapoflondon.uvic.ca/KING2.htm","King’s Wardrobe","","","","","UNVERIFIED","Nominative|Building|Governmental","at Westminster","",""
"58da55aa-cb4e-4e0f-951a-1a0de3652a6c","HCM_3223.txt","Burghille","char-offset:244","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"17883f29-29c0-496e-b5c2-9040484d44c9","HCM_3223.txt","Pedewardyn","char-offset:265","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"c9d58dbd-9581-4208-841e-5edb93e803e9","HCM_3223.txt","cmew iene","char-offset:316","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Penebrigge","",""
"2182ecd8-07ca-4a40-a697-ae7513802e8b","HCM_3223.txt","manor of Westbury","char-offset:354","PLACE","","","","","","","UNVERIFIED","Settlement","in Gloucestershire","",""
"e7ed5610-5a04-4fd8-8cd9-53f26e1d0364","HCM_3223.txt","Court of the Exchequer","char-offset:464","PLACE","","","","","","","UNVERIFIED","Building|Governmental","at Westminster","",""
"decc1a5f-98c8-4456-a011-cd0e3c965883","HCM_3223.txt","eescsese","char-offset:532","","","","","","","","","OCR","ellipsis","",""
"fdc92be9-6629-4c57-9d49-98285a90aafb","HCM_324.txt","3 tach Vanes. oie","char-offset:83","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Bourghulle","",""
"f69524f4-3012-4a98-a28a-7b8c2e731231","HCM_324.txt","church of St. Leonard","char-offset:107","PLACE","http://mapoflondon.uvic.ca/STLE3.htm","St. Leonard, Foster Lane (?)","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical|OCR","St Leonard de Withinton church","",""
"e8dd7831-8670-4d3e-8b09-de1fc04cfbf5","HCM_324.txt","Welyntone","char-offset:171","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"8566f622-d797-4aed-a230-c4cc3266c4b3","HCM_324.txt","Parva Thin ghulle","char-offset:218","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"2001c94d-09bc-44f1-a77c-3aa482e172e7","HCM_324.txt","Parva Thinghulle","char-offset:246","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"a705a086-8f4f-4025-8e4c-53c2aa7ae1af","HCM_324.txt","Frene","char-offset:284","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"7990d931-60f4-4a30-bf6e-69b67a89d570","HCM_324.txt","Preston","char-offset:299","PLACE","http://sws.geonames.org/2152558","Preston","","-37.75","145.01667","","UNVERIFIED","Nominative|Settlement","","",""
"588bab99-934e-44db-8bc9-ae3780a0005b","HCM_324.txt","Withinton","char-offset:329","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"117a9854-45dc-4c0a-b0fb-5dc4fba9a4bc","HCM_324.txt","fullampton","char-offset:349","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Hullampton","",""
"4f586529-dca7-4b4b-a588-ecc4afab1f6e","HCM_346.txt","La 3","char-offset:113","PLACE","http://sws.geonames.org/8859338","Colonia 3 de Mayo (La Cruz)","","19.98083","-99.16361","","UNVERIFIED","Nominative|Settlement|OCR","La Leye","",""
