"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"327d526f-0aec-46b9-9a7b-41607e27f53f","HCM_406.txt","Bruneshop","char-offset:46","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"adb5a3dc-acb4-40b6-ad37-7f7195956506","HCM_406.txt","Hereford","char-offset:69","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"dfdf8029-f177-49d9-ad9b-9382e56f72a1","HCM_406.txt","Rotherwas","char-offset:220","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"37d12f2f-d3f8-459d-94b6-59a72e1fea64","HCM_406.txt","Bordesleye","char-offset:239","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"7a99632d-0245-488d-be3a-6bf69089cfe4","HCM_406.txt","Welinton","char-offset:262","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"3cd0bf56-bf70-4440-a961-44d6a41c5aae","HCM_406.txt","Kemesing","char-offset:281","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"c9015357-d23b-4ee0-83bf-c2ef3d935afa","HCM_406.txt","Lodelawe","char-offset:301","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"99df9819-54aa-4021-9f84-6fc795f4fcb2","HCM_404.txt","Hereford","char-offset:58","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"86adb183-749b-471e-95cc-7d3bee4a710f","HCM_404.txt","courtyard Courta) of the bishop of Hereford","char-offset:138","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","adjacent to Bishop's Palace in Hereford","",""
"b140f28e-bc13-47b6-b46e-c8b78757ce99","HCM_404.txt","Haia","char-offset:319","PLACE","http://sws.geonames.org/2747373","The Hague","","52.07667","4.29861","","UNVERIFIED","Nominative|Settlement","","",""
"80f6374e-e850-47ba-80f4-1cda2c287662","HCM_404.txt","highway in front","char-offset:356","PLACE","","","","","","","UNVERIFIED","Roadway","in Hereford, nr the Courtyard of Bp of H, adjacent to Bp's Palace in H","",""
"c0ca9a69-b22f-4fc6-95fc-39b8062e17f8","HCM_404.txt","Brocwardin","char-offset:599","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"f086ab96-6dac-4486-8043-21346f250313","HCM_404.txt","Maddel","char-offset:619","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"9e12170a-2780-4be8-bfab-e147e3dc049d","HCM_405.txt","Bruneshop","char-offset:73","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"3cc58ffb-79d1-4bdf-9177-4aeb21c6cf54","HCM_405.txt","Hereford","char-offset:96","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"5ceb2e5d-be83-4e82-9351-50af99708603","HCM_405.txt","city of Hereford","char-offset:151","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"f66f4342-17d8-4982-901c-76d674012238","HCM_405.txt","la Pounde","char-offset:211","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"0688930f-9bad-404c-bfea-d9b2320c3380","HCM_405.txt","Somercete","char-offset:261","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"f3793f2c-9979-451f-a840-90325c61750e","HCM_405.txt","highway","char-offset:294","PLACE","http://geo-kima.org/place/1914","Alaska Highway","","","","","UNVERIFIED","Roadway","in Hereford
","",""
"f43712d7-e9a9-42bf-a469-3544f39b9718","HCM_405.txt","Hereford","char-offset:341","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"2fc85316-910b-4231-ab96-c1dfc4a3772f","HCM_405.txt","Rotherwas","char-offset:429","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"dae66d90-b846-4500-aed4-3f9232150fb6","HCM_405.txt","Bordesleye","char-offset:448","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"8c2ca8e6-f50f-43b0-9839-1a25d910741c","HCM_405.txt","Kemesinge","char-offset:468","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"c23be815-96b0-4d0e-a668-917c950f6b5e","HCM_405.txt","Lodelawe","char-offset:488","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"b6eb4c71-0038-41c7-b829-55fecd3dd867","HCM_412.txt","Aylineston","char-offset:113","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"603ceb95-171a-44b8-8fb8-4498f9de3b06","HCM_412.txt","Hereford","char-offset:137","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"3bf5c6a8-effe-4403-b440-7508a0da449b","HCM_412.txt","Monyton","char-offset:158","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"f889027f-41f1-47a3-9dc2-3f590f4cb502","HCM_412.txt","Hereford","char-offset:179","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"e01fb1af-042d-4ba6-9b02-a8c26fecfcce","HCM_412.txt","city of Hereford","char-offset:294","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"396eb2c9-567c-4053-92ec-4529e1aacec4","HCM_412.txt","Hereford","char-offset:433","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"92567f9e-ce17-4b05-b991-6f081d5d6ec6","HCM_413.txt","Aschton","char-offset:68","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"9aa41743-2670-493e-86f9-efcbaec3ac82","HCM_413.txt","Aylineston","char-offset:92","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"71deb331-1405-4ec8-a130-1e62f59d52c4","HCM_413.txt","Hereford","char-offset:115","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"3a17ba0f-5631-4b2d-aae8-97b74ef55c3b","HCM_413.txt","city of Hereford","char-offset:193","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"6936fb33-e27e-4518-bef9-f44521dd5c07","HCM_413.txt","Hereford","char-offset:384","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"990fad8c-075e-41bf-ba7b-a7ca29db6737","HCM_413.txt","le Hallie","char-offset:402","PLACE","","","","","","","UNVERIFIED","Nominative|Natural Feature","in le Halle = in the Hale? or of the Hall?","",""
"ac6744e6-6961-4b8b-9072-18bbf4f1d7c1","HCM_413.txt","Welinton","char-offset:462","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"c4bb7ca6-e563-40e2-843e-286cc948283c","HCM_413.txt","Llodelawe","char-offset:482","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Ludlow","",""
"69209d70-7be8-4c8f-82f8-b52a72439fd4","HCM_414.txt","Hereford","char-offset:112","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"a89f8afb-c0eb-4a90-a60e-b630be023bd2","HCM_414.txt","suburbs of Hereford","char-offset:183","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"11fb33d9-807b-4f33-914b-062f583cffad","HCM_414.txt","street of Wydemars","char-offset:238","PLACE","","","","","","","UNVERIFIED","Roadway","in Hereford
","",""
"0dcbff9a-8741-4f3e-84da-43ba6787a0c5","HCM_414.txt","fair of St. Ethelbert","char-offset:369","PLACE","","","","","","","UNVERIFIED","Roadway|Research","where (what Hereford Street?) does it take place?
","",""
"571e5a80-0f70-4711-9878-7775b7cfc9e1","HCM_408.txt","Hereford","char-offset:96","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"483917c0-b55b-4d82-8108-b27d051a4734","HCM_408.txt","Weston","char-offset:127","PLACE","http://dare.ht.lu.se/places/25962","Weston","","51.961033","-0.149112","","UNVERIFIED","Nominative|Settlement","","",""
"2c15d4d8-fad0-4f57-927c-7f775e30da24","HCM_408.txt","gate of St, Owen in the suburbs of Hereford","char-offset:192","PLACE","","","","","","","UNVERIFIED","Roadway","","",""
"c450a7c1-80cb-4115-b6cd-fe96617323f2","HCM_408.txt","highway","char-offset:342","PLACE","http://geo-kima.org/place/1914","Alaska Highway","","","","","UNVERIFIED","Roadway","nr St Owen's Gate in Hereford","",""
"ec721e4e-d1fe-4e38-a95d-cd08c942cfb1","HCM_408.txt","ereford","char-offset:418","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"bb88ee07-c8f0-4107-aee4-a0ec47b71cd3","HCM_408.txt","Aylineston","char-offset:448","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"7c4f89b2-9d73-4a35-adcf-9e90a2764490","HCM_408.txt","city of Hereford","char-offset:510","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"390b7d25-57c1-4239-ad88-a914738302bf","HCM_408.txt","ae Gheckel pe 6 ohn Rand e eye","char-offset:580","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Checkeleye","",""
"79d15fde-4c4d-4ab7-9045-400f59a500f5","HCM_420.txt","Stanedichsse","char-offset:97","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"695ef02d-9b1c-47d5-bf8b-628b841f47ee","HCM_420.txt","Pychenecoumbe","char-offset:140","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"57715406-31b1-4426-a557-0c6c36a5da43","HCM_420.txt","Oxelesuwe","char-offset:233","PLACE","","","","","","","UNVERIFIED","Agricultural","pasture, per HCM 421","",""
"c41e6c2a-dbb5-45d6-b2e6-8ef56a4e06fb","HCM_420.txt","Pyparessyche","char-offset:247","PLACE","","","","","","","UNVERIFIED","Settlement","natural feature? field?","",""
"679f6179-5e3d-4603-8b80-bbc73512cfaf","HCM_420.txt","Colverhul","char-offset:283","PLACE","","","","","","","UNVERIFIED","Settlement","natural feature?
","",""
"488ad857-44e3-4c91-90db-98550c8735b9","HCM_420.txt","Godeshaluewelle","char-offset:297","PLACE","","","","","","","UNVERIFIED","Natural Feature","nr Colverhulle","",""
"78d91f8d-a71f-44be-9ed5-c7a6b0af011f","HCM_420.txt","Fychenecombe","char-offset:405","PLACE","","","","","","","UNVERIFIED","Given at|Settlement|OCR","Pychenecombe","",""
"1d0ea0e0-cec2-42a7-b6db-6f497554352a","HCM_421.txt","Stanedichs","char-offset:102","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"8c4bc494-252e-4633-8ad1-76d6b4867ef5","HCM_421.txt","Pychenecoumbe","char-offset:143","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"498b1ba1-4113-4eb9-9d53-7c97588b8a06","HCM_421.txt","Colverhulle","char-offset:235","PLACE","","","","","","","UNVERIFIED","Settlement","natural feature?
","",""
"b0993a11-921f-4b59-9579-2693df1eaf8a","HCM_421.txt","Blakewelle","char-offset:251","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"bb50fa86-68a8-466a-882d-a844b5e0d024","HCM_421.txt","field calied Cowube,","char-offset:269","PLACE","","","","","","","UNVERIFIED","Agricultural","nr Pynchencombe, between Colverhulle & Blakewell
","",""
"959212bd-6e6a-478b-9d50-0eeea4045456","HCM_421.txt","pasture called Oxelesewe","char-offset:320","PLACE","","","","","","","UNVERIFIED","Agricultural","field nr Pychenecombe
","",""
"fab58f5f-7db4-4972-8740-8c0397141799","HCM_421.txt","way called Weynwey near Godeshalueswelle","char-offset:353","PLACE","","","","","","","UNVERIFIED","Roadway","nr Pychenecombe
","",""
"a231bfd1-a973-4ad5-98a4-90e8b8185841","HCM_421.txt","Godeshalueswelle,","char-offset:377","PLACE","","","","","","","UNVERIFIED","Natural Feature","","",""
"2b17ad68-3407-484e-a5cb-a2b3d744517e","HCM_421.txt","Catwey","char-offset:414","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"e570abf9-d41f-46d9-a264-d70ca0532191","HCM_421.txt","Taylesclyne","char-offset:425","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"cf7bb793-6efd-4650-bcfe-8e333399768c","HCM_421.txt","Pychenecoumbe","char-offset:447","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"c4e49a44-4e15-4a4c-967b-dfff3d6be79c","HCM_422.txt","Stanedichss","char-offset:81","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"a99aae0d-605e-4519-9c0e-68deadf41a3f","HCM_422.txt","aa","char-offset:118","PLACE","http://sws.geonames.org/6094817","Ottawa","","45.41117","-75.69812","","UNVERIFIED","Nominative|Settlement|OCR","Masyngton","",""
"5e0c2982-c412-4211-b3ac-e92c58e0657d","HCM_422.txt","Pychenecumbe","char-offset:162","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"858de0b5-b125-42fa-a4f9-1844145f10b0","HCM_422.txt","Gloucester","char-offset:185","PLACE","http://sws.geonames.org/2648404","Gloucester","","51.86568","-2.2431","","UNVERIFIED","Given at|Settlement","","",""
"751bddec-3b7d-46b1-937c-954e9bd64733","HCM_424.txt","Pychenecumbes","char-offset:43","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"365bb551-173d-4c54-a117-b8afff02c579","HCM_424.txt","Stanedichs","char-offset:74","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"3e22ebc8-d75e-4423-aa26-ba6102cb3b56","HCM_424.txt","field called Coumbe between Culverhul and Blakewelle","char-offset:121","PLACE","","","","","","","UNVERIFIED","Agricultural","nr pychencombe
","",""
"9d4bc54e-61ce-4535-aecb-26e68d714dde","HCM_424.txt","Culverhul","char-offset:149","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"e77cd613-a254-4b76-b67c-7dab7f02df35","HCM_424.txt","Blakewelle","char-offset:163","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"a91cc1b4-6399-4e27-a633-9ccc50a818b0","HCM_424.txt","Barlichforlong","char-offset:189","PLACE","","","","","","","UNVERIFIED","Agricultural","field nr Pychencombe
","",""
"32b1dcd7-8a46-4608-b684-3310bc513bbc","HCM_424.txt","Oldeffichswere","char-offset:208","PLACE","","","","","","","UNVERIFIED","Agricultural","field nr Pycnhencombe
","",""
"4b9b11c4-8c7e-4836-9d2d-779fbf01485c","HCM_424.txt","pasture of the = called Oxelesewe","char-offset:260","PLACE","","","","","","","UNVERIFIED","Agricultural","(pasture of the grantor called..)","",""
"90c0f27e-60bb-4ceb-8eda-3f11b7cadf51","HCM_424.txt","way celled Waynwey near Godeshalueswelle","char-offset:302","PLACE","","","","","","","UNVERIFIED","Roadway","","",""
"c8d78708-0b0e-4759-abf7-27d8fb058080","HCM_424.txt","Godeshalueswelle,","char-offset:326","PLACE","","","","","","","UNVERIFIED","Settlement","natural feature?
","",""
"904a4fd2-6ea9-4a80-930a-9c9d63ca01d2","HCM_424.txt","Catweye","char-offset:363","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"a11809fd-c75d-4d91-a108-b3cf4782b4ff","HCM_424.txt","Taylescliue","char-offset:375","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"7a6cd8fe-0134-4b1e-bb89-44839c0272ff","HCM_424.txt","Ravenhulle","char-offset:485","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"e7bc3f1f-41bc-4920-8873-a2f135613a7a","HCM_424.txt","Masinton","char-offset:508","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"2e07a91d-5834-482f-842f-c39c43f0078e","HCM_424.txt","Pydesmor","char-offset:530","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"b551fb17-c0a1-4e0c-9494-f5aee57c70e5","HCM_424.txt","la Haye","char-offset:571","PLACE","http://sws.geonames.org/3008754","La Haye-Malherbe","","49.22553","1.06774","","UNVERIFIED","Nominative|Settlement","","",""
"7124a982-1ba7-4c71-90b2-3f5bf0be1b9d","HCM_423.txt","Pychenecumbe","char-offset:72","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"916330a6-28c7-41a2-996a-d4718fc20689","HCM_423.txt","Masintone","char-offset:100","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"27d9931a-4d4c-4658-ae8f-73a49502a3ff","HCM_423.txt","Pychenecumbe","char-offset:146","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"9fcd6bc0-bbb5-474a-898b-632b98595f05","HCM_423.txt","Pychenecunbe","char-offset:211","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"6da7ebbe-ef61-4a79-bb37-177993a1a061","HCM_423.txt","Clifford","char-offset:249","PLACE","http://sws.geonames.org/2652844","Clifford","","52.1","-3.1","","UNVERIFIED","Nominative|Settlement","","",""
"f0d54cff-9aa6-4dc0-92d9-2b00eaec7a59","HCM_423.txt","Masintone","char-offset:263","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"5e0c4d61-1219-42ac-bf5b-677f906759e5","HCM_423.txt","Rauenhulle","char-offset:282","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"466c1d5c-646f-4753-a106-d9f0c3a571b6","HCM_423.txt","Pydesmore","char-offset:344","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"aaaab4ec-239a-4fe8-a740-131d09f0bc1f","HCM_423.txt","Colethrop","char-offset:363","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"974ad717-7801-4a7a-80ee-f430de5b23ba","HCM_425.txt","Pychenecumbes","char-offset:43","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"66dabadd-1b41-410e-b966-dafa82d9e790","HCM_425.txt","Stanedis","char-offset:67","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"7ceef2e8-d134-4cd0-906c-3b2c09bf7627","HCM_425.txt","Mussyeshale","char-offset:154","PLACE","","","","","","","UNVERIFIED","Natural Feature","nr Pychencombe
","",""
"7348a285-0d49-47ad-b71a-566da9e62941","HCM_425.txt","well called Godeshalueswelle","char-offset:174","PLACE","","","","","","","UNVERIFIED","Natural Feature","","",""
"dad122c9-b2a4-4290-b27b-2018cecd4ef4","HCM_425.txt","way called Portweye","char-offset:211","PLACE","","","","","","","UNVERIFIED","Roadway","nr Pychencombe
","",""
"518e836e-0712-48a7-afa8-6d13f8f28cbc","HCM_425.txt","place called tet gees","char-offset:237","PLACE","","","","","","","UNVERIFIED","Natural Feature|OCR","place called Otegrene","",""
"dd5887af-6ddc-4322-bb4f-16ba9db69106","HCM_425.txt","way called Schyrengesweye","char-offset:321","PLACE","","","","","","","UNVERIFIED","Roadway","nr Pychencombe
","",""
"58f6389c-26fb-4b95-b5d8-75d89461baf9","HCM_425.txt","Ravenhulle","char-offset:369","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ff32c5ad-c7aa-476e-8c2c-329a053764cd","HCM_425.txt","Stonhouse","char-offset:393","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"c3f8b944-be91-4033-ba18-64c7d038c71f","HCM_425.txt","Masyntone","char-offset:415","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"80f11a57-ab9e-4d5f-9c68-c3e9c1cc3419","HCM_425.txt","Ythenard","char-offset:432","PLACE","","","","","","","UNVERIFIED","Nominative|Natural Feature","","",""
"4646a68d-cd24-4292-890f-d5a81088f5d1","HCM_425.txt","Pydesmore","char-offset:453","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"d4f33399-8c08-4d67-bae8-a433426dd5e0","HCM_425.txt","Molendino","char-offset:492","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Mercantile","nr or of Pychencombe?
","",""
"7293458c-3e89-4575-abda-a364dde5713d","HCM_426.txt","Pichenecumb","char-offset:43","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ed41a202-26ee-4892-9dbc-3b01ce119377","HCM_426.txt","Ythenard","char-offset:68","PLACE","","","","","","","UNVERIFIED","Nominative|Natural Feature","","",""
"ca56cf61-1e95-42b5-8279-26c2dacb23bb","HCM_426.txt","Heueld","char-offset:191","PLACE","","","","","","","UNVERIFIED","Nominative|Natural Feature","","",""
"85354acb-852a-48c9-88e1-cd64a6180d43","HCM_426.txt","Ythenard","char-offset:361","PLACE","","","","","","","UNVERIFIED","Nominative|Natural Feature","","",""
"eb9b8c97-e417-42bd-86de-e3381355e1b0","HCM_426.txt","Helleteme","char-offset:382","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"b71310e4-2c23-4229-9c48-3ae181c95cdf","HCM_426.txt","Strodford","char-offset:403","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"e66c4447-391a-44ac-a4c3-1927f736531b","HCM_427.txt","Holtleye","char-offset:74","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"462b9aee-504b-4ae5-a169-40b4fb2f2af2","HCM_427.txt","field called Pichencumbe","char-offset:185","PLACE","","","","","","","UNVERIFIED","Agricultural","","",""
"e5e50b3e-9079-4247-b094-7d2c9c21da0f","HCM_427.txt","field called Bueld","char-offset:231","PLACE","","","","","","","UNVERIFIED","Agricultural|OCR","Eueld, not Bueld","",""
"5cbad117-87d5-4bbc-96ad-fbd9ac6bad07","HCM_427.txt","holy land","char-offset:338","PLACE","http://geo-kima.org/place/2501","Eretz Israel","","","","","UNVERIFIED","Area|Ecclesiastical","","",""
"fe05ee5d-0399-492c-be47-e290be9ebaf3","HCM_427.txt","Ythenard","char-offset:474","PLACE","","","","","","","UNVERIFIED","Nominative|Natural Feature","","",""
"b5028720-14e1-496d-9b6f-0a4e5b3096d9","HCM_427.txt","Piddemore","char-offset:510","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"9e3492f9-4624-4449-a2c6-2d362f8e2210","HCM_427.txt","strodford","char-offset:532","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"6d640de2-4290-4f63-b19f-b015e082c6fe","HCM_427.txt","Strodford","char-offset:570","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ecb6cf01-b251-4334-9eac-0d31353c362a","HCM_428.txt","Holtleye","char-offset:79","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"6aae4d6f-4f0e-43c8-b24a-8c9194551cca","HCM_428.txt","field called Pichenecumbe near Eueldesate","char-offset:204","PLACE","","","","","","","UNVERIFIED","Agricultural","","",""
"43efd44a-4c9d-47c8-8142-ac8105ef5fa2","HCM_428.txt","Eueldesate","char-offset:235","PLACE","","","","","","","UNVERIFIED","Agricultural","settlement? natural feature?|gate?","",""
"9afe5688-5346-479d-b088-e01d4a0c16e7","HCM_428.txt","Agus called Pichenecumbesbroe","char-offset:262","PLACE","","","","","","","UNVERIFIED","Natural Feature|OCR","""le syht"" called Pichencumbesbroc, i.e. brook?","",""
"7cd8712d-b3ef-43f5-a58c-4b5eda12037c","HCM_428.txt","field ha lg hoger oe at teense","char-offset:325","PLACE","","","","","","","UNVERIFIED","Agricultural|OCR","field called Eueld between the mill and Eueldcoft","",""
"7607881e-7de0-4813-a408-3884edfbe990","HCM_428.txt","lg hoger","char-offset:334","PLACE","","","","","","","UNVERIFIED","Building","the mill, in Pitchcombe nr Eueld field and Eueld croft
","",""
"9b53fcdb-8160-481e-a3c6-662ac413cfb6","HCM_428.txt","teense","char-offset:349","PLACE","","","","","","","UNVERIFIED","Agricultural","Eueldcroft, adjacent to field callec Eueld","",""
"ad4377de-b789-47fe-9a1d-5ffeeb847a67","HCM_428.txt","holy land","char-offset:418","PLACE","http://geo-kima.org/place/2501","Eretz Israel","","","","","UNVERIFIED","Area|Ecclesiastical","","",""
"0e11df4c-6751-47d9-abda-c68e30dce3c8","HCM_428.txt","Gloucester","char-offset:452","PLACE","http://sws.geonames.org/2648404","Gloucester","","51.86568","-2.2431","","UNVERIFIED","Nominative|Area|Governmental","county","",""
"557052c1-41a1-4d30-ae47-53dbac19344a","HCM_428.txt","Ythenard","char-offset:598","PLACE","","","","","","","UNVERIFIED","Nominative|Natural Feature","","",""
"fc7e14aa-fe74-4368-b409-90d3c0954802","HCM_428.txt","Piddesmore","char-offset:634","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"120b17c6-69f5-48b0-8fd6-a367d7581c67","HCM_428.txt","Strodford","char-offset:657","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"3b4e20ae-5129-43d0-95e4-69ce6f50c74e","HCM_398.txt","Brunsope","char-offset:66","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"17cce1dd-1288-4af5-8181-875dfbb7e2ca","HCM_398.txt","Bristol","char-offset:113","PLACE","http://sws.geonames.org/2654675","Bristol","","51.45523","-2.59665","","UNVERIFIED","Nominative|Settlement","","",""
"cf5576d9-0e95-4b43-8316-101fe4cfc052","HCM_398.txt","la Pounde","char-offset:179","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"f12e246c-f3db-496d-a3bc-90156cc8c477","HCM_398.txt","Somersete","char-offset:219","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"163964a3-78d9-4f5e-9ca8-93a986b88c68","HCM_398.txt","city of Hereford","char-offset:236","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"3aa2b52f-33ac-4560-8857-ecf9d53627c5","HCM_398.txt","the a which leads towards the church of St, Nicholas","char-offset:273","PLACE","","","","","","","UNVERIFIED","Roadway|OCR","the highway which leads..., in Hereford","",""
"55f80da9-d7ea-495d-8c79-39ffd0985bc5","HCM_398.txt","church of St, Nicholas","char-offset:303","PLACE","http://mapoflondon.uvic.ca/STNI4.htm","St. Nicholas Acon","","51.512433","-0.086964","","UNVERIFIED","Building|Ecclesiastical","in Hereford
","",""
"a20145d6-fbe1-4ae0-8a37-c195a0a0a142","HCM_398.txt","Hereford","char-offset:428","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
