"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"8b17d380-0a1e-42c2-b64e-80fd319a6925","HCM_2875.txt","church of St. Ethelbert of Hereford","char-offset:116","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"633f01dd-574a-4b4a-b951-f440a495248c","HCM_2875.txt","church of Dudelebur'","char-offset:276","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","","",""
"d7cad7fa-4881-4894-bea4-797ab81b7d20","HCM_2875.txt","chapter-house at Hereford","char-offset:311","PLACE","","","","","","","UNVERIFIED","Given at|Building|Ecclesiastical","","",""
"b467e03b-2408-44d7-b0e7-ba1996a8773d","HCM_2881.txt","Wydemersmore","char-offset:56","PLACE","","","","","","","UNVERIFIED","Nominative|Roadway","roadway (or natural feature?) in Hereford
","",""
"0dd8d116-ec50-499b-98e5-661c383f60cc","HCM_2881.txt","Breh.....","char-offset:89","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","Brehosa","",""
"4adf42e8-982c-4b00-8b43-c6b1fc3cfd15","HCM_2881.txt","Hereford","char-offset:116","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"4c64908a-b9b5-4bde-b661-9734fad4a031","HCM_2881.txt","Garlecroft","char-offset:169","PLACE","","","","","","","UNVERIFIED","Roadway","roadway (or neighborhood?) in Hereford
","",""
"5dcd67cc-9c03-42ff-9c81-97467ebb093b","HCM_2881.txt","Se era canon dk corn","char-offset:330","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Mora Canonicorum","",""
"967365bb-b7c5-442b-a766-56d00d913b32","HCM_2881.txt","la Brugge,","char-offset:401","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"9b585d8a-7b55-4001-9a25-e402531c76b6","HCM_286.txt","Purtelton","char-offset:120","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Purtelton' Odort","",""
"94553412-65c1-4907-9348-62adb55710f5","HCM_286.txt","Weston","char-offset:187","PLACE","http://dare.ht.lu.se/places/25962","Weston","","51.961033","-0.149112","","UNVERIFIED","Nominative|Settlement","Weston near Leominster
","",""
"35b4a44a-728c-490d-81f1-2340b4dd8a1d","HCM_286.txt","Hatfeld' parva","char-offset:249","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"da7b55d1-ef91-416a-aa70-ea977b535ce1","HCM_286.txt","Hampton’ wafre","char-offset:268","PLACE","","","","","","","UNVERIFIED","Settlement","","",""
"739c1114-cb7b-47f6-a641-19930444efb6","HCM_286.txt","er,","char-offset:307","PLACE","http://pleiades.stoa.org/places/354144","er-Rugheba|er-Rugheba","-0030/0640","26.588022","13.562734","cemetery","UNVERIFIED","Agricultural|OCR","Whyddonesfeld', field in Hatfield Parva &/or Hampton wafre
","",""
"aa54f3fe-05c9-4abf-ab77-642012ad5743","HCM_286.txt","Hatfeld' parve","char-offset:373","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","church","",""
"63b94c6e-d6ec-4349-a85a-a8d9647bfb75","HCM_286.txt","Echefeld","char-offset:508","PLACE","","","","","","","UNVERIFIED","Agricultural","field in Hatfield Parva or Hampton Wafre
","",""
"93f977ac-ad49-4bdd-8f1d-93acf42876ea","HCM_286.txt","ditch of Hampton'","char-offset:566","PLACE","","","","","","","UNVERIFIED","Natural Feature","nr Hatfield Parva and/or Hampton Wafre","",""
"b04e69d3-e1ef-4056-b248-969b3ec9a82b","HCM_286.txt","Penllesfelde","char-offset:705","PLACE","","","","","","","UNVERIFIED","Agricultural","field in Hatfield parva and/or Hampton Wafre
","",""
"0d214b93-25b6-4a69-b794-9beb051ed307","HCM_286.txt","Hatfeld' Parva","char-offset:762","PLACE","","","","","","","UNVERIFIED","Given at|Settlement","","",""
"7378b988-7a64-4eeb-be7f-1c8a4fdd835d","HCM_286.txt","la Hyde,","char-offset:843","PLACE","http://pleiades.stoa.org/places/648644","Hyde?|Hyde?, Akçaşehir","-1600/0640","37.440842","33.517464","settlement","UNVERIFIED","Nominative|Settlement","","",""
"632acf2c-e9bc-4e4c-8e77-59e487116015","HCM_2873.txt","Bristoll","char-offset:108","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"0a4c63ba-cb39-403a-9118-e43f69cd456c","HCM_2873.txt","Ereyntonia","char-offset:140","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Breinton","",""
"72825be4-d2f2-4b7f-aa6b-764eafea02e6","HCM_2873.txt","Reygate","char-offset:196","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
