"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"2e17ec09-2f30-462a-bd59-9b0109910da0","HCM_2658.txt","London","char-offset:53","PLACE","http://sws.geonames.org/6058560","London","","42.98339","-81.23304","","UNVERIFIED","Nominative|Area|Ecclesiastical","diocese","",""
"700f9a3e-1e12-468e-bb05-d438ceef9614","HCM_2658.txt","Ferentin',","char-offset:80","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"8210a4dd-d058-41b2-9e8a-322ca6eaea61","HCM_2658.txt","London","char-offset:100","PLACE","http://sws.geonames.org/6058560","London","","42.98339","-81.23304","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"f236796a-d46f-446d-886b-e37d04b3613f","HCM_2658.txt","kingdom of England","char-offset:160","PLACE","http://mapoflondon.uvic.ca/QUEE2.htm","Queenhithe","","","","","UNVERIFIED","Area|Governmental","","",""
"f0fecedd-bef1-4027-a4b9-7f26dfea86a0","HCM_2658.txt","Roman church","char-offset:224","PLACE","http://pleiades.stoa.org/places/480057748","San Giovanni de Butris","","42.6804025","12.5504878","church","UNVERIFIED","Area|Ecclesiastical","","",""
"ab4a69d1-f1c4-4520-92a8-726ffc98bee5","HCM_2658.txt","convent of Gloucester in the dlocese of worcester,","char-offset:255","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","GLoucester St Peter's Abbey
","",""
"e2981e17-f030-46c2-9774-545f26bdacb8","HCM_2658.txt","diocese of worcester","char-offset:338","PLACE","","","","","","","UNVERIFIED","Area|Ecclesiastical","","",""
"d8c029fa-bddc-48c3-a9e0-047476e0f401","HCM_2658.txt","worcester","char-offset:349","PLACE","http://sws.geonames.org/2633563","Worcester","","52.18935","-2.22001","","UNVERIFIED","Settlement","city","",""
"e9c3ae41-e38a-479f-a2e5-dab9bebc60f0","HCM_2658.txt","Hospitel of St. wWojlstan of worcester","char-offset:433","PLACE","","","","","","","UNVERIFIED","Building|Ecclesiastical","","",""
"3d47c8fb-5364-415f-9e80-0d5813306012","HCM_2658.txt","London","char-offset:522","PLACE","http://sws.geonames.org/6058560","London","","42.98339","-81.23304","","UNVERIFIED","Given at|Settlement","","",""
"c0ae2b4e-c299-4098-bec9-6b3d9e99717e","HCM_2660.txt","Barwe","char-offset:29","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"6fe81389-57bf-4cb9-8169-e3a91d4172a0","HCM_2660.txt","Hereford","char-offset:69","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"a2b7a399-3198-4b07-b184-f379066736e8","HCM_2660.txt","Foston'","char-offset:101","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"2402bf41-8554-484a-966d-3cc98eb0ac06","HCM_2660.txt","Hereford","char-offset:247","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"3fdbbccc-11b5-4f79-859c-060190696ca2","HCM_2662.txt","Hereford","char-offset:81","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"868b87aa-0e99-4026-9ddb-d154cdc46c5c","HCM_2662.txt","Herefor","char-offset:117","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"fb0a91ed-1438-4e53-8ba3-a846a40dcaab","HCM_2662.txt","Hereford","char-offset:292","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"b99f27f1-510b-4856-a2b5-2a712fba18e7","HCM_2645.txt","Hereford","char-offset:105","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"5ba89e3a-456a-4282-9ad0-1315905a3c85","HCM_2645.txt","Hereford","char-offset:192","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|e","cathedral","",""
"5b3e27ad-fd1d-4b28-bac4-93a2ffa51a10","HCM_2645.txt","Hereford.","char-offset:261","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"cdffa2f5-9c01-4ebd-baf8-d9b417e42ae6","HCM_2646.txt","Rezano","char-offset:85","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Vezano","",""
"f7bf7003-7457-494e-811f-0795ae4b866e","HCM_2646.txt","Vezano","char-offset:139","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"3a498396-3eb5-4e05-a5cd-d5c46efc7a6f","HCM_2646.txt","apostolic ot","char-offset:161","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical|OCR","avignon (apostolic see)","",""
"19be0172-20bd-47f3-bb52-d83caf13103b","HCM_2646.txt","church of liereford","char-offset:201","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","hereford cathedral
","",""
"3d2d570d-b6c4-4e77-9b7e-8333632e3155","HCM_2646.txt","Brettonya","char-offset:254","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"66066224-e30b-4f55-84ab-b59316ab05af","HCM_2646.txt","England","char-offset:396","PLACE","http://geo-kima.org/place/12708","England","","","","","UNVERIFIED","Area|Governmental","","",""
"cd8927c6-d853-48e1-8f82-34bed7008b84","HCM_2646.txt","Hereford","char-offset:412","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"3792e5b5-34b1-44a7-84d4-e45d5233feac","HCM_2649.txt","Leominster","char-offset:105","PLACE","http://sws.geonames.org/4941873","Leominster","","42.52509","-71.75979","","UNVERIFIED","Nominative|Building|Ecclesiastical","priory","",""
"535050af-e21f-4708-be70-4cd105aaf1a1","HCM_2649.txt","archdeaconry of Hereford","char-offset:147","PLACE","","","","","","","UNVERIFIED","Area|Ecclesiastical","","",""
"4bbeed41-9f25-43c9-bab3-5a979af42452","HCM_2649.txt","England","char-offset:194","PLACE","http://geo-kima.org/place/12708","England","","","","","UNVERIFIED","Area|Governmental","","",""
"bb98008d-f901-4509-a2b8-11d812db44cf","HCM_2649.txt","lioly Land","char-offset:229","PLACE","","","","","","","UNVERIFIED","Area|Ecclesiastical|OCR","Holy Land
","",""
"19a617e2-105e-4d81-8dc5-79ea7344b022","HCM_2649.txt","Hereford","char-offset:309","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"e11be794-1dd8-43b6-a4da-546f6b7a6acc","HCM_2649.txt","Leominster","char-offset:399","PLACE","http://sws.geonames.org/4941873","Leominster","","42.52509","-71.75979","","UNVERIFIED","Given at|Settlement","","",""
"4e6bf6df-52f2-4d00-8a57-2785a4d97868","HCM_2653.txt","oe em «eee —","char-offset:84","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Aqua Blanca","",""
"258714f0-d1bc-40fd-95d5-cb0747ebe15b","HCM_2653.txt","four manors of the said dean and chapter of the church of Hereford","char-offset:249","PLACE","","","","","","","UNVERIFIED","Settlement|Research|Collective","well?","",""
"9f56f844-7f14-4e14-8831-8fe263acee99","HCM_2653.txt","church of Hereford,","char-offset:297","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"cf0acf7e-fea8-4f58-9b6f-ec2f91b6603b","HCM_2653.txt","Hereford","char-offset:364","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at|Settlement","","",""
"4f9d9fd8-a5ca-423a-a1eb-4a838e53a8ce","HCM_2661.txt","Hereford","char-offset:124","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Building|Ecclesiastical","cathedral","",""
"9e45b8f4-fd2e-4092-a67f-7d7f2e8baa21","HCM_2661.txt","convent of Lanthony Prina","char-offset:147","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
