"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"fb4aff7f-6e50-4d9c-abaf-c218b2b8665e","HCM_1974.txt","Hereford","char-offset:59","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Nominative|Settlement","","",""
"4dae47b3-1f93-473e-bd66-64405a1ae9da","HCM_1974.txt","church of St, Ethelbert of Hereford","char-offset:97","PLACE","","","","","","","UNVERIFIED","Nominative|Building|Ecclesiastical","","",""
"13aa3e1a-7b5d-4f24-98e4-b6d03f89e124","HCM_1974.txt","Wydemarstrete, Hereford","char-offset:204","PLACE","","","","","","","UNVERIFIED","Roadway","","",""
"42f24681-561e-4d04-a485-7a33a74a9c14","HCM_1974.txt","church of Hereford","char-offset:449","","","","","","","","","Building|Ecclesiastical","cathedral","",""
"8c4d9940-d69a-4e0a-b777-8135ed2a49d9","HCM_1974.txt","la Barre","char-offset:552","PLACE","http://sws.geonames.org/3011332","La Barre-de-Monts","","46.88059","-2.12168","","UNVERIFIED","Nominative|Settlement","","",""
"cf314c43-11dc-4b86-979b-60ee3b892376","HCM_1974.txt","Hereford","char-offset:651","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Settlement","cathedral","",""
"837b48b1-eb66-43f9-b070-a9d69f4ca7e0","HCM_204.txt","la Pype;","char-offset:61","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"ff43365f-f6f8-4a34-802b-69880282e6b1","HCM_204.txt","Homme","char-offset:90","PLACE","http://sws.geonames.org/2977261","Saint-Quentin-sur-le-Homme","","48.64751","-1.31806","","UNVERIFIED","Nominative|Settlement","","",""
"314849ef-51bd-4f43-a20d-3e2b08a46d77","HCM_204.txt","la Wrouthale","char-offset:172","PLACE","","","","","","","UNVERIFIED","Roadway","in Hereford
","",""
"7c676d07-a96f-4720-aaff-84745cf0450c","HCM_204.txt","Bergeueni","char-offset:213","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
"e341995b-b564-442d-8109-88f90f11e46c","HCM_204.txt","Ketherwas","char-offset:264","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement|OCR","Rotherwas","",""
"7489cc82-56bc-4378-bbc4-6668aa7528ef","HCM_204.txt","Bruneshope","char-offset:321","PLACE","","","","","","","UNVERIFIED","Nominative|Settlement","","",""
