"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"eba6bbda-5048-4beb-9e38-bb6727d8fdfb","RBLR_2105.txt","Thomae","char-offset:36","PERSON","","","","","","","","",""
"594fece7-fe3c-425c-92a2-fc37d2461e1b","RBLR_2105.txt","Hereforden","char-offset:217","PERSON","","","","","","","","",""
"73ff9c23-511e-4f6f-b441-584a7799add8","RBLR_2105.txt","Hereforden","char-offset:431","PERSON","","","","","","","","",""
"59711ba4-a0bc-424c-b068-3d251bda9076","RBLR_2105.txt","Hereforden","char-offset:682","PERSON","","","","","","","","",""
"f6634aa8-6831-442c-9902-708204e160b9","RBLR_2105.txt","Rogerum de Breinton","char-offset:922","PERSON","","","","","","","","Principal|Present",""
"238c0654-6d08-4f8f-9c47-a23776ebe8dc","RBLR_2105.txt","expeditione eorum","char-offset:1387","PLACE","http://geo-kima.org/place/19779","Avignon (Papal city)","","","","","VERIFIED","Going to","RB is being sent with letter from King to Pope requesting permission for translation of St Thomas Cantilupe to a new and more sumptous shrine"
"d2dc633d-849f-4a72-9b5e-87af736df85b","RBLR_2105.txt","Westm’","char-offset:1568","PLACE","http://sws.geonames.org/2634341","City of Westminster","","51.5","-0.11667","","VERIFIED","Given at","Westminster"
"2dca5b9a-65da-4f9a-a0f5-b167f6a7207f","RBLR_2102.txt","Westminster","char-offset:29","PLACE","http://sws.geonames.org/2634341","City of Westminster","","51.5","-0.11667","","VERIFIED","Given at",""
"bf51860e-c222-4982-80b9-b6e0cd814b23","RBLR_2102.txt","treasury","char-offset:91","PERSON","","","","","","","","Office|Present","Roger de Breynton is not mentioned by name in this document, but as the treasurer and agent of Adam Orleton, he is almost certainly the one who has delivered the payment to the king"
"17a5be39-e8c3-47e9-87e0-b4b46ec7183e","RBLR_2102.txt","Pope Clement","char-offset:171","PERSON","","","","","","","","",""
"84db5367-b4f2-4a75-b602-415d55f64253","RBLR_2102.txt","Hereford","char-offset:231","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"26496d70-b35b-48b8-9c17-cfaf78deac1f","RBLR_2102.txt","K.","char-offset:276","PERSON","","","","","","","","",""
"5ac04a56-d641-4871-bfb9-959944a92113","RBLR_2104.txt","Westminster","char-offset:29","PLACE","http://sws.geonames.org/2634341","City of Westminster","","51.5","-0.11667","","VERIFIED","Given at",""
"b435b655-7f68-439d-b80f-479b2e76a4c0","RBLR_2104.txt","Hereford","char-offset:110","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"bba49732-56a0-43ed-8f76-a61f6b7ccb47","RBLR_2104.txt","beyond the seas","char-offset:126","PLACE","http://geo-kima.org/place/6399","France","","","","","VERIFIED","Going to","that is, France (either the French Court or Avignon)"
"bb461fb3-5e58-4bc6-8535-d942a2720258","RBLR_2104.txt","John de Bromfeld","char-offset:210","PERSON","","","","","","","","",""
"052485ae-856a-4e40-9749-083c1131837f","RBLR_2104.txt","Walter Charles","char-offset:231","PERSON","","","","","","","","",""
"195aeb5d-7cd6-44e5-b554-ca59ca5fca70","RBLR_2104.txt","Roger de  Braynton","char-offset:366","PERSON","","","","","","","","Principal|Present","Roger de Breynton"
"fcf6d6ed-6b38-4d71-90f0-edd580343eb4","RBLR_2104.txt","the church of Aka","char-offset:396","PLACE","","","","","","","UNVERIFIED","RB property","Rock"
"3387b8c4-a2bd-4b28-bcea-bc4cc5f1227f","RBLR_2104.txt","Ralph de Frotewell","char-offset:415","PERSON","","","","","","","","",""
"23ece602-203d-4241-8e43-7d91f36a7a08","RBLR_2104.txt","Howel","char-offset:435","PERSON","","","","","","","","",""
"cbdfbd34-9fd4-4700-9d39-046f4a36d23b","RBLR_2104.txt","Thomas de Hompton","char-offset:452","PERSON","","","","","","","","",""
"0f564cc6-396c-4197-9836-3d0f3c366fbb","RBLR_2104.txt","Ridmarleye","char-offset:495","PLACE","","","","","","","UNVERIFIED","",""
