"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"93e40307-b7c0-47c2-84f4-ff77e7977f6e","RBLR_3502.txt","Hampton Lucy (Hampton Episcopi)","char-offset:41","PLACE","","","","","","","UNVERIFIED","Given at",""
"9eb66564-9888-4bed-8c1e-93ce77e72ca9","RBLR_3502.txt","Worcester","char-offset:103","PLACE","http://sws.geonames.org/2633563","Worcester","","52.18935","-2.22001","","UNVERIFIED","",""
"cd03cc56-5961-4fd1-9a7d-59b974c46c14","RBLR_3502.txt","the archdeaconry","char-offset:324","PLACE","","","","","","","UNVERIFIED","Going to","of Gloucester"
"f5940a9e-1077-4750-a5e0-6c57eaf4d30d","RBLR_3502.txt","the archdeacon of Gloucester","char-offset:2067","PERSON","","","","","","","","Principal|Office","Roger de Breynton"
"89d4cf0e-f3ad-47b7-b4e5-1a1b2948764a","RBLR_3502.txt","Gloucester","char-offset:2085","PLACE","http://sws.geonames.org/2648404","Gloucester","","51.86568","-2.2431","","UNVERIFIED","",""
"23891595-8ad7-422a-8e0d-ef343c70a12d","RBLR_3602.txt","RBLR 3602 1336.4.15","char-offset:0","","","","","","","","","","Document should probably be split in two; first half relates to obit for NR and WmB; second half relates to habitation for vicars of Hereford"
"7d14fc78-1bae-4cb1-9c35-38ace0e4cf6a","RBLR_3602.txt","Tower of of London","char-offset:30","PLACE","http://mapoflondon.uvic.ca/TOWE5.htm","Tower of London","","","","","VERIFIED","Given at",""
"5d6ff833-9ff9-46b0-9788-8e945163a5e7","RBLR_3602.txt","Roger de Breynton","char-offset:92","PERSON","","","","","","","","Principal|Present",""
"e584344a-8c78-40b0-803a-3c4cf0c77d36","RBLR_3602.txt","prebendary of Norton","char-offset:111","PLACE","","","","","","","UNVERIFIED","RB property",""
"cf002a91-0395-4237-9c01-5072a9e1f833","RBLR_3602.txt","Norton","char-offset:125","PLACE","http://sws.geonames.org/884141","Norton","","-17.88333","30.7","","UNVERIFIED","",""
"a8761371-7605-4142-8da3-d2024f211bfb","RBLR_3602.txt","St. Ethelbert","char-offset:149","PLACE","","","","","","","UNVERIFIED","",""
"2f74d853-f806-4e57-b27e-3cdc50a1f40e","RBLR_3602.txt","two messuages, a virgate and a half of land, 4 acres of meadow and 10s. of rent, in Breynton and Upton","char-offset:177","PLACE","","","","","","","UNVERIFIED","RB property","in Breinton and Upton, near Hereford"
"4db91d49-1302-46a5-914b-5c084d564fb2","RBLR_3602.txt","Breynton","char-offset:261","PLACE","","","","","","","UNVERIFIED","",""
"2432ca3e-fbe3-42d1-ba70-b24fa940de0b","RBLR_3602.txt","Upton","char-offset:274","PERSON","","","","","","","","",""
"965f33c3-dae6-472a-8228-3aad4324c245","RBLR_3602.txt","Hereford","char-offset:356","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"05fbe1a0-adbe-4c2f-afd7-a9fd2ea327e0","RBLR_3602.txt","William de Breynton","char-offset:396","PERSON","","","","","","","","",""
"503b441d-31b2-4031-a158-245608df48ae","RBLR_3602.txt","Nicholas de Reygate","char-offset:420","PERSON","","","","","","","","",""
"0d35505d-ccc6-43eb-808f-d72bfa7768a6","RBLR_3602.txt","Hereford","char-offset:523","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"0bc797a1-c505-439f-a9e6-a697abcbc9bf","RBLR_3602.txt","Roger de Breynton","char-offset:644","PERSON","","","","","","","","Principal|Present",""
"2e774e34-b750-406d-abf8-5407830c2b4f","RBLR_3602.txt","the dean and chapter of the church of St. Ethelbert, Hereford","char-offset:673","PERSON","","","","","","","","Collective|Office|Principal","Collective includes RB"
"8164056b-a996-42cc-8ecd-f5b969ee3374","RBLR_3602.txt","St. Ethelbert","char-offset:711","PLACE","","","","","","","UNVERIFIED","",""
"bfa84b04-698f-4d30-a504-8e4d5ece117e","RBLR_3602.txt","a messuage in Castle Street, Hereford, for a habitation for the vicars and clerks of the church","char-offset:739","PLACE","","","","","","","UNVERIFIED","RB property",""
"84602bdd-9d43-473f-891c-a837d5213eba","RBLR_3602.txt","Castle Street","char-offset:753","PLACE","http://mapoflondon.uvic.ca/CAST4.htm","Castle Inn, Wood Street","","","","","UNVERIFIED","",""
"553013c8-dc5f-4fe3-8397-3dd89e1f7f1c","RBLR_3602.txt","Hereford","char-offset:768","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"e6df6aae-4f62-413c-82bb-d449fcaed544","RBLR_3602.txt","Hereford","char-offset:852","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"73ff97f2-1d2d-4e8a-a29f-c9c476810ee5","RBLR_3405.txt","Hampstead Marshall","char-offset:42","PLACE","","","","","","","UNVERIFIED","Given at",""
"0d9c966a-4e62-4502-ad86-931e9a09d6ce","RBLR_3405.txt","Worcester Cathedral","char-offset:317","PLACE","http://sws.geonames.org/2633563","Worcester","","52.18935","-2.22001","","VERIFIED","Going to",""
"b7e1d7ab-a9f9-4a90-8ec4-506e72c37bc2","RBLR_3405.txt","his chapter","char-offset:341","PERSON","","","","","","","","Collective|Office|Present","Collective includes RB"
"ec3de831-902e-4b1f-b285-5558147b6d39","RBLR_3405.txt","M. John de Orleton","char-offset:354","PERSON","","","","","","","","",""
"369085d6-15ef-4598-973b-23597286999e","RBLR_3405.txt","Worcester","char-offset:388","PLACE","http://sws.geonames.org/2633563","Worcester","","52.18935","-2.22001","","UNVERIFIED","",""
"286b66ea-a221-4f46-8b33-c33da145769e","RBLR_3405.txt","Roger de Breynton","char-offset:399","PERSON","","","","","","","","Principal|Present",""
