"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"3b0a50ba-3237-4837-8f3c-feeeafdd23e1","RBLR_2902.txt","Blockley","char-offset:41","PLACE","","","","","","","NOT_IDENTIFIABLE","Given at",""
"3e2db7f3-6b59-406a-af38-6d6ccc18a7ed","RBLR_2902.txt","the bishop","char-offset:67","PERSON","","","","","","","","Office|Principal",""
"9a010912-4a6b-405f-8da0-8575d1f978c2","RBLR_2902.txt","the church of Hanbury-by-Droitwich","char-offset:87","PLACE","","","","","","","NOT_IDENTIFIABLE","RB proprerty","Hanbury = a parish / village near Droitwich, Worcestershire"
"e04000ed-b1ba-4978-9b6f-36f66555dc6f","RBLR_2902.txt","Hanbury-by-Droitwich","char-offset:101","PLACE","","","","","","","NOT_IDENTIFIABLE","","Hambur' iuxta Wych"
"f17a7173-4f3d-437f-9546-c4746d605574","RBLR_2902.txt","Roger de Breynton","char-offset:146","PERSON","","","","","","","","Principal|Present",""
"8cae4912-69e2-4006-8b11-47df0d31f878","RBLR_2902.txt","M. John de Renham","char-offset:262","PERSON","","","","","","","","Dead",""
"aabb6080-70e4-4984-8f72-5f49117755e2","RBLR_2902.txt","the sacrist of Worcester","char-offset:292","PERSON","","","","","","","","Executor",""
"7836ce34-4075-474d-a8f4-fd0f88757a73","RBLR_2902.txt","Worcester","char-offset:307","PLACE","http://sws.geonames.org/2633563","Worcester","","52.18935","-2.22001","","VERIFIED","",""
"47d08e70-7254-44d1-a5ae-0b1febde23f8","RBLR_3001.txt","Edward [III]","char-offset:67","PERSON","","","","","","","","",""
"0530e4e2-c9ce-4b81-84f0-a9d68eb2d3cf","RBLR_3001.txt","Joan de Bohoun","char-offset:159","PERSON","","","","","","","","",""
"8400eecd-52d9-4db4-9288-e04a3d17d534","RBLR_3001.txt","the dean and chapter of St. Ethelbert, Hereford","char-offset:177","PERSON","","","","","","","","Collective|Office","Collective includes RB"
"644c15fd-47cd-4618-9ab9-ca7f4d2d8b8a","RBLR_3001.txt","St. Ethelbert","char-offset:201","PLACE","","","","","","","UNVERIFIED","",""
"9a32319a-82bd-4df1-bec8-eeb587120f78","RBLR_3001.txt","Lugwardyn","char-offset:259","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"4401b927-9314-458a-93bb-86a3a7db810a","RBLR_3001.txt","Langaran","char-offset:305","PLACE","","","","","","","UNVERIFIED","",""
"f85cc905-9b74-40ac-8de8-b1e77ae443a4","RBLR_3001.txt","Henthlan","char-offset:315","PLACE","","","","","","","UNVERIFIED","",""
"105b2322-14fa-4452-9cb7-c6a6f32327e4","RBLR_3001.txt","St. Waynard","char-offset:328","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"1c77db14-825a-4234-892c-9f731c68a5b9","RBLR_3001.txt","Isabella, Queen of England","char-offset:484","PERSON","","","","","","","","",""
"51933deb-0687-43c3-ab3c-6e613bbf496e","RBLR_3001.txt","England","char-offset:503","PLACE","http://geo-kima.org/place/12708","England","","","","","VERIFIED","",""
