"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"cbedd11a-3698-4cb0-a63c-9bced9618cd6","RBLR_1403.txt","Gilbert de Reygate","char-offset:82","PERSON","","","","","","","","Principal",""
"554ef80d-600e-4051-bb1f-6ae0b83b1961","RBLR_1403.txt","Reygate","char-offset:93","PLACE","","","","","","","UNVERIFIED","Nominative",""
"2a19654a-8dc0-4d49-84cb-7abf815f50a4","RBLR_1403.txt","clerk","char-offset:102","","","","","","","","","Job",""
"2cf632f4-3a94-43eb-a4b2-7fdfbb676e9b","RBLR_1403.txt","Roger de Breynton","char-offset:119","PERSON","","","","","","","","Principal|Present",""
"f73758e7-6909-4874-b513-b9f63d62fa79","RBLR_1403.txt","Breynton","char-offset:128","PLACE","","","","","","","NOT_IDENTIFIABLE","Nominative",""
"570ab3a3-2aec-440b-81ea-cd875d75bfe6","RBLR_1403.txt","William","char-offset:142","PERSON","","","","","","","","Principal","William de Breynton"
"815785e4-91cf-469e-b300-b5911678eed0","RBLR_1403.txt","one croft containing six acres of arable land  formerly held by Nicholas de la Calewe in the vill of Chirchebreynton' lying between the messuage of John Dark' and the land of the chaplain of St. Mary then in the church of St. Ethelbert of Hereford","char-offset:172","PLACE","","","","","","","UNVERIFIED","RB property","in Breinton"
"0678645f-3073-42b3-96e7-25f8987bef1e","RBLR_1403.txt","Nicholas de la Calewe","char-offset:236","PERSON","","","","","","","","",""
"f9e0bb60-dc61-409b-beaa-0c3ceb8314e9","RBLR_1403.txt","la Calewe","char-offset:248","PLACE","","","","","","","UNVERIFIED","Nominative",""
"0f304136-3b6d-4673-8527-c3ccba5e1110","RBLR_1403.txt","Chirchebreynton","char-offset:273","PLACE","","","","","","","UNVERIFIED","",""
"238fc7a8-23a0-411c-86dc-929b219371b6","RBLR_1403.txt","John Dark","char-offset:320","PERSON","","","","","","","","",""
"549a5a95-8cd9-4d41-922a-d7e30f2c373f","RBLR_1403.txt","chaplain of St. Mary","char-offset:351","PERSON","","","","","","","","","Church of St. Ethelbert of Hereford"
