"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"80952cb0-9cb5-47f1-b0de-e013d338810a","RBLR_3110.txt","Withington","char-offset:52","PLACE","http://pleiades.stoa.org/places/79767","Withington|Withington","-0030/0640","51.832345","-1.956272","villa","VERIFIED","Given at",""
"24e8b6bc-b91b-4c32-b475-12879e23ad80","RBLR_3110.txt","Withington","char-offset:113","PERSON","","","","","","","","",""
"7d3796b2-3ec6-4709-9e12-8c6c717f585e","RBLR_3110.txt","John de Clyve","char-offset:160","PERSON","","","","","","","","",""
"cdaafebe-2d9b-4ecf-94cf-bbd70ed2d646","RBLR_3110.txt","Raymond Pelegrini","char-offset:182","PERSON","","","","","","","","",""
"246dd1f2-9e94-4faa-989c-3c3496bca8e1","RBLR_3110.txt","R[oger] de Breynton","char-offset:237","PERSON","","","","","","","","Principal|Present","Roger de Breynton"
"73d039d3-070f-4c23-bd8e-48412184ed27","RBLR_3110.txt","Raymond","char-offset:258","PERSON","","","","","","","","",""
"32ee94d2-bcf4-4b4b-a36b-203c9e8d47fa","RBLR_3112.txt","Withington","char-offset:44","PLACE","http://pleiades.stoa.org/places/79767","Withington|Withington","-0030/0640","51.832345","-1.956272","villa","VERIFIED","Given at",""
"440b85c3-de14-4b5c-b66b-0fbd1ef45ebb","RBLR_3112.txt","William de Staunton","char-offset:124","PERSON","","","","","","","","",""
"698f9eeb-17a1-443e-b124-9aadda02112d","RBLR_3112.txt","St. Oswald","char-offset:204","PERSON","","","","","","","","",""
"abbac7d9-258e-4df5-bb65-ae2e94a33600","RBLR_3112.txt","Worcester","char-offset:227","PLACE","http://sws.geonames.org/2633563","Worcester","","52.18935","-2.22001","","UNVERIFIED","",""
"d7935e9a-83ea-4e44-8a37-7c90db045a46","RBLR_3112.txt","R[oger] de Broynton [Breynton]","char-offset:276","PERSON","","","","","","","","Witness|Present","Roger de Breynton"
"a3d231ad-f4c6-4cda-a6d2-f771e4aec80a","RBLR_3112.txt","Hereford","char-offset:317","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"a4a2c928-9a48-45bf-9883-22435c04d292","RBLR_3112.txt","Adam de Alynton","char-offset:327","PERSON","","","","","","","","",""
"635181b4-1ff8-4204-8998-32f2613a5031","RBLR_3112.txt","Hembur","char-offset:435","PERSON","","","","","","","","",""
"1e64f4a5-7adb-442f-9399-c0101374937c","RBLR_3111.txt","Withington","char-offset:52","PLACE","http://pleiades.stoa.org/places/79767","Withington|Withington","-0030/0640","51.832345","-1.956272","villa","VERIFIED","Given at",""
"40b031cd-e3b9-482c-ab7b-5d4a0bfe2894","RBLR_3111.txt","Withington","char-offset:94","PERSON","","","","","","","","",""
"8318f8b4-f827-4e10-bd5c-c3cc8f4b1bd9","RBLR_3111.txt","Raymond Pelegrini","char-offset:112","PERSON","","","","","","","","",""
