"source","relation","target","source_id","source_tags","target_id","target_tags"
"bishop of Hereford","Job","Richard de Swynefeud","e3a2b422-1aae-4f05-884b-5e64c3c3aeea","Job","553886bf-92f9-4872-a61c-b02b46fa0a4e","Dead"
"bailiff of the dean and chapter","Job","Nicholas Stevenes","963de9a1-9516-445b-a6b4-79b3b55b700f","Job","24bb5682-c8b8-4431-851b-6eacf127e2c4","Witness"
"his four servants (garciones)","Servant of","Richard de Hamenasch","c1ffc0ed-7f57-4d3f-bc62-f9e16215c337","Collective|Office","912eadd9-d481-45cb-8f79-ba8bd2a8834f","Principal"
"portionist in the church of Ledebur'","Job","Nicholas de Ak","e27dcf4a-c89c-4bb4-86dd-82a2e963fc67","Job","083fcca2-9f5b-446b-92be-bf5636ad2361",""
"canon of Hereford,","Job","Richard de Hamenasch","618c6c18-e645-4412-ac59-04d5ffd8e5e5","Job","912eadd9-d481-45cb-8f79-ba8bd2a8834f","Principal"
"bishop of Hereford,","Job","Richard de Swynefeud","04c304cf-9b58-4f64-9df2-e6c898e08e53","Job","c0c3b372-8af9-4054-981c-01e345b8f4a7","Dead"
"bishop of Hereford","Job","Richard de Swynefeud","10c922bc-6515-43b9-90d0-e2c06d9cd582","Job","e2b8b1ab-2ca5-407f-bce1-146ce52361aa","Dead"
"rector of the church of Monyton","Job","Roger de Broynton'","0b1c53b6-08be-42ed-8be5-de9ae10f0f69","Job","20ca3b15-fee1-4221-8892-26cd94271310","Principal|Present"
"bishop of Hereford,","Job","Richard de Swynefeud","59c6f7c5-25b5-4c8b-8eef-939727cbd0a8","Job","20d12b5c-0c8c-4e8e-876e-35c3e24a3359","Dead"
"Roger de Broynton'","Neighbors","Joan","20ca3b15-fee1-4221-8892-26cd94271310","Principal|Present","36adf1c4-eade-4ee0-88d0-33387406c5be","Principal"
"Roger de Broynton'","Neighbors","Bartholomew de la Barre","20ca3b15-fee1-4221-8892-26cd94271310","Principal|Present","d8b92dcb-3e01-412b-ae57-fa953d2ae3fb",""
"Roger de Broynton'","Neighbors","Robert de Garewy","20ca3b15-fee1-4221-8892-26cd94271310","Principal|Present","fa6e8b64-024c-4825-87bb-3e7e40abb3dc",""
"Joan","Spouses","Thomas de Bromfeld","36adf1c4-eade-4ee0-88d0-33387406c5be","Principal","e16f8f8a-1507-49be-b61e-b7d5b4b58396","Principal"
"Joan","Neighbors","Bartholomew de la Barre","36adf1c4-eade-4ee0-88d0-33387406c5be","Principal","d8b92dcb-3e01-412b-ae57-fa953d2ae3fb",""
"Joan","Neighbors","Robert de Garewy","36adf1c4-eade-4ee0-88d0-33387406c5be","Principal","fa6e8b64-024c-4825-87bb-3e7e40abb3dc",""
"Thomas de Bromfeld","Neighbors","Roger de Broynton'","e16f8f8a-1507-49be-b61e-b7d5b4b58396","Principal","20ca3b15-fee1-4221-8892-26cd94271310","Principal|Present"
"Thomas de Bromfeld","Neighbors","Bartholomew de la Barre","e16f8f8a-1507-49be-b61e-b7d5b4b58396","Principal","d8b92dcb-3e01-412b-ae57-fa953d2ae3fb",""
"Thomas de Bromfeld","Neighbors","Robert de Garewy","e16f8f8a-1507-49be-b61e-b7d5b4b58396","Principal","fa6e8b64-024c-4825-87bb-3e7e40abb3dc",""
"Gunnora de Boynton","Spouses","Adam de Cranebrok","e8c4da0c-9549-489e-844d-25385d220219","Principal","19bc2ba0-602c-451b-be70-9f85888b9eb6","Principal"
