"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"41525678-a70c-43e6-8397-c00ba55e0119","HCM_405.txt","Roger de Bruneshop","char-offset:64","PERSON","","","","","","","","Principal",""
"83091ded-bd00-43df-8513-3db6879c618f","HCM_405.txt","Bruneshop","char-offset:73","PLACE","","","","","","","UNVERIFIED","Nominative",""
"f62ff91f-645a-47b0-a488-73616a26cb34","HCM_405.txt","Hereford","char-offset:96","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"0fe6be2c-4810-419e-8fb5-28f4198f915b","HCM_405.txt","John","char-offset:109","PERSON","","","","","","","","Principal","de Bruneshop"
"38ea0b03-8f4f-40ad-ac1e-8f5a26d58e38","HCM_405.txt","Hereford","char-offset:159","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"a4f526a2-2923-47e1-9237-3de3dda376ea","HCM_405.txt","John de la Pounde","char-offset:203","PERSON","","","","","","","","",""
"508d4764-99c8-444b-b49c-f92a78668102","HCM_405.txt","Pounde","char-offset:214","PLACE","","","","","","","UNVERIFIED","Nominative",""
"fd9f568d-7199-439b-9343-6e90654b8b34","HCM_405.txt","Robert de Somercete","char-offset:251","PERSON","","","","","","","","",""
"f070085d-aec2-40cd-ac20-077a220c1678","HCM_405.txt","Somercete","char-offset:261","PLACE","","","","","","","UNVERIFIED","Nominative",""
"aad3a1aa-8db6-4241-a8f2-80fe19360f00","HCM_405.txt","John Lichtfot","char-offset:317","PERSON","","","","","","","","",""
"7a7f5129-0418-4b99-8667-84feedb81aca","HCM_405.txt","Hereford","char-offset:341","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","Given at",""
"297684bb-1501-4598-8139-d201a05dc64d","HCM_405.txt","Roger le Tailour","char-offset:362","PERSON","","","","","","","","Witness",""
"df468300-e304-4387-a9df-cef2f170ab48","HCM_405.txt","bailiff of the fee","char-offset:385","","","","","","","","","Job",""
"9cdc475c-5c57-4f5a-8dfb-34f69a006366","HCM_405.txt","John Lichtfot","char-offset:405","PERSON","","","","","","","","Witness",""
"b769d444-0da4-4d24-b848-42e97a62344c","HCM_405.txt","David de Rotherwas","char-offset:420","PERSON","","","","","","","","Witness",""
