"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"ee81da7b-4b4c-4f46-a209-3e72f35d00c4","HCM_678.txt","Walter son of Henry le Reue de Waltone","char-offset:29","PERSON","","","","","","","","Principal",""
"5d596a4f-68ac-4a83-bc5e-57794344b9a6","HCM_678.txt","Waltone","char-offset:60","PLACE","","","","","","","NOT_IDENTIFIABLE","Nominative",""
"6ce62cd7-d4dc-4cfe-9aec-221de283ef8b","HCM_678.txt","John Iwayn son of William de Broumia","char-offset:72","PERSON","","","","","","","","Principal",""
"5a557222-9f10-404c-9e68-1d2889c93f76","HCM_678.txt","Broumia","char-offset:101","PLACE","","","","","","","NOT_IDENTIFIABLE","Nominative",""
"e54103b0-b770-4292-883b-851a1b32e0a4","HCM_678.txt","Alice daughter of Richard le Mason de Lenhales","char-offset:133","PERSON","","","","","","","","",""
"ced375e4-b3f9-4e81-9e20-52fe34b6e876","HCM_678.txt","Lenhales","char-offset:171","PLACE","","","","","","","NOT_IDENTIFIABLE","Nominative",""
"0d5f8b00-f33a-4d23-852e-e8934539d7dc","HCM_678.txt","Deweswalle","char-offset:224","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"81c5ecc7-117c-41c2-ad6a-b6ecd1caf8c0","HCM_678.txt","John de Turbeuill","char-offset:278","PERSON","","","","","","","","",""
"efc68ca2-1bcb-4275-8329-e7ac5e0f1518","HCM_678.txt","Turbeuill","char-offset:286","PLACE","","","","","","","NOT_IDENTIFIABLE","Nominative",""
"3bec02a8-3bce-40e7-8f32-6aa26a46e418","HCM_678.txt","John Iwayn","char-offset:322","PERSON","","","","","","","","",""
"99ecb4a9-4218-46e1-83ee-bbb545e8e624","HCM_678.txt","Roger son of Henry le mason","char-offset:337","PERSON","","","","","","","","",""
"83179a6d-3440-4b93-b6d7-fff308ccf654","HCM_678.txt","John de Turbeuill","char-offset:422","PERSON","","","","","","","","",""
"b477e1c3-e83c-4fe5-853d-a66e38eb27f1","HCM_678.txt","John Iwayn","char-offset:472","PERSON","","","","","","","","",""
"89589bc0-4781-46de-b533-307cc770a183","HCM_678.txt","John de Badesshawe","char-offset:495","PERSON","","","","","","","","Witness",""
"fee79ba0-53b5-4d62-be9d-1614f332ad4e","HCM_678.txt","Badesshawe","char-offset:503","PLACE","","","","","","","NOT_IDENTIFIABLE","Nominative",""
"e0b22424-e9a5-4cce-a51b-5ffadc61f7b5","HCM_678.txt","William le Calewe","char-offset:515","PERSON","","","","","","","","Witness",""
"e4b75a0f-6459-47e2-83e8-776e8f9849fe","HCM_678.txt","William Mangaund","char-offset:534","PERSON","","","","","","","","Witness",""
"4a2f4830-8933-4ff8-afb0-4c025bf82db7","HCM_678.txt","John Vyncent","char-offset:552","PERSON","","","","","","","","Witness",""
