Id	Node Type	Place_LAT	Place_LNG	Place_Type	COMMENTS
a certain shop, formerly belonging to Richard le tailour de Lugwardin	Place			Building	
Acle	Place	52.63681	1.54757		
a field called la Reye	Place				
Alberburi	Place				
Albriton	Place	52.6364	-2.27966		
Almalia	Place				
Annaghdown (Enachdunensis)	Place				
Aqua Blanca	Place				
Aran	Place				
Aran Valley	Place				Aran Valley, in the Pyrenees, in the region of the Comminges
Arleye	Place				Areley Kings, Worcestershire? (sp?)
Aschtun	Place				
Atenassces	Place				
Avene	Place				
Avignon	Place				
Aylineston	Place				
Aylineston	Place				
Badelesmere	Place				
Badesshawe	Place				
Banwelle	Place				
Barewe	Place				
Barwe	Place				
Baysham	Place				
Bekynham	Place	51.40878	-0.02526		
Belves	Place				in Latin, Beluacen
Bere	Place				
Berewyk’ sur Twede	Place	55.78333	-2		
Bergamo	Place				
Berkeley	Place	51.69111	-2.45917		
Bermundeseye	Place				
Berton	Place				
Bertonestrete	Place			Street	
Bewnal	Place			Street	
Bihyndewalle	Place				
Bleegh(?)	Place				
Bliburg	Place				
Blitheslowe	Place				
Bole	Place	25.83892	104.11952		
Boleye	Place				
Bolyngehope	Place				
Bordeaux	Place				
Bos	Place	51.0097	4.36303		Bosbury (a favorite manor of the Bishop of Hereford)
Bosebur	Place				
Boyfelde	Place				
Braumford'	Place				
Braunfort	Place				
Breghenok	Place				
Brehousa	Place				
Brember	Place				
Breosa	Place				
Breusa	Place				
Brewos'	Place				
Brewosia	Place				elsewhere, Breosa
Breynton	Place				
Bristoll	Place	51.45523	-2.59665		
Brocwardin	Place				
Bromesberuwe	Place				
Bromfeld	Place				
Brompton	Place	52.531065	-3.113228		
Bromyard	Place	52.19019	-2.50875		
Broumia	Place				
Breynton	Place				
Bruera	Place				
Brugge	Place	51.2094	3.2252		this is either Brugge Solers or Brugge Waleische; check Gilbert's other documents
Bruneshope	Place				
Brunsope	Place				
Brutone strete	Place			Street	
Bruttonestrete	Place			Street	
Buesham	Place				
Bulleye	Place				
Bureford	Place				
Buterleye	Place				
Byford’	Place	-32.22099	116.009		
Byhindethewalle	Place			Street	
Bykenor	Place				
Byritone	Place				
Byrytone	Place				
Cadwely	Place				
Calewe	Place	52.01667	-2.73333		
Canterbury	Place	51.27904	1.07992		
Cantilupo	Place				
Cantulupo	Place				
Caple	Place				
Carlisle	Place	54.8951	-2.9382		
Castrum lupi	Place				
Catfeld	Place				
cathedral church of Hereford	Place	52.05684	-2.71482	Building	
Cestr'	Place				Chester?
chapter-house	Place			Building	Chapter House of Hereford
chapter-house of the cathedral church of Hereford.	Place	52.05684	-2.71482	Building	
Cherlton	Place				Charleton?
Cherring	Place				
Chichester	Place	50.83673	-0.78003		
Chirebury	Place				Chirbury is a village in west Shropshire
church of Bayshan	Place			Building	
church of Hereford	Place	52.05684	-2.71482	Building	
church of Lugwardin	Place				
church of Ros	Place			Building	
church of St. Nicholas	Place	51.512433	-0.086964		
Chyrchebroynton	Place				
Cirescestre	Place				Cirenchester?
city of Hereford	Place	52.05684	-2.71482		
Clehonger	Place				
Clehungre	Place				
Clere	Place				
Clewaresfelde	Place				
Clifford	Place	52.1	-3.1		
Clyntone	Place				
co. Hereford	Place				
Colcham	Place			Property	
Comminges	Place				
Copesleye	Place				
Corston	Place	51.385	-2.44028		
Cotinton	Place				
Coventry	Place	52.40656	-1.51217		
Credeleye	Place				
crose	Place				
cruce,	Place	27.87656	-15.42798		
Cubberleye	Place				Camberley?
Culn’ Roger'	Place				
Cuthbristl'	Place				
Dan	Place	33.24856	35.65252		
de la Boxe	Place				
de le Halle	Place				
de Monem',	Place				
Dene	Place				
Derby,	Place	-17.30295	123.62864		
Deuswalle	Place				
Deusweschirche	Place				
Deweswalle	Place				
ditch	Place				
Donecastr’	Place	53.52285	-1.13116		
Dudelebury	Place				
Dudeleye	Place				
Dunre	Place				
Elmore	Place				
England	Place				
Ereyntonia	Place				Breinton
Estenouere	Place				Eastnor, near Ledbury
Estenoveresfeld	Place				a field
Evesham	Place	52.09237	-1.94887		
five acres of arable land	Place			Property	
Flanders	Place				
Florence	Place	43.77925	11.24626		
Foston'	Place				
Fouleslough	Place				
Fowehop	Place				Fownhope
Freinelode	Place				
Friscobald'	Place				Frescobaldi, which is a major family of Florence
Galuerhull	Place				
Gardino	Place				
Garlecroft	Place				
Gerlecroftes	Place				
Given in the chapter-house at Hereford	Place			Building	
Glouc'	Place	51.86568	-2.2431		
Gloucester	Place	51.86568	-2.2431		
Gloucestershire	Place				
Gloucestr'	Place	51.86568	-2.2431		
Goodrich Castell’	Place				
Gorewalle	Place				
Gosenordesbrok	Place				
Gower	Place	39.61083	-94.5994		
