"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"61d26a6e-cf20-448e-ac8e-a85a9a8f9cf0","RBLR_1812.txt","Benedict","char-offset:77","PERSON","","","","","","","","",""
"16056dfd-df59-4b06-8d30-8b0833b5b4d5","RBLR_1812.txt","Michael de Berehem","char-offset:121","PERSON","","","","","","","","",""
"a89d7c2f-1288-4ce8-9b56-3066c7d0d393","RBLR_1812.txt","Hereford","char-offset:164","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"f381ce70-d1d3-4cf3-a9de-a19a2f2f8e1d","RBLR_1812.txt","the executors of the will of dominus Richard de Swynefeud","char-offset:177","PERSON","","","","","","","","Collective|Office|Principal","Collective includes RB"
"d13a9cd0-c9e0-4efc-8747-1ae3899ada27","RBLR_1812.txt","Richard de Swynefeud","char-offset:214","PERSON","","","","","","","","",""
"1653f687-99c8-4a41-a6c5-1d2d16ef16e8","RBLR_1812.txt","Hereford","char-offset:255","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"35c71279-ee67-4492-bf93-c7e256462fd2","RBLR_1812.txt","Robert de Borgat","char-offset:297","PERSON","","","","","","","","",""
"45f359c1-ba1c-4673-ac10-29a7d1fe828c","RBLR_1812.txt","Radyng","char-offset:334","PERSON","","","","","","","","",""
"dc168780-a0fd-4edf-ad6d-1f10e1a2f6d6","RBLR_1812.txt","Richard","char-offset:368","PERSON","","","","","","","","",""
"4f2509a8-176d-438f-810e-32c8f3011d34","RBLR_1812.txt","Richard","char-offset:404","PERSON","","","","","","","","",""
"97b296c7-c556-42fd-9fe6-06325d7ac4f2","RBLR_1812.txt","Michael de Bereham","char-offset:423","PERSON","","","","","","","","",""
"c817d090-32a0-45cc-b291-d6de9893beb5","RBLR_1812.txt","Canterbury","char-offset:464","PLACE","http://sws.geonames.org/2653877","Canterbury","","51.27904","1.07992","","VERIFIED","Given at",""
"bf58ba54-e01f-4a48-87be-ff4d4868e524","RBLR_1809.txt","the executors of the will of dominus Richard de Swynefeud","char-offset:191","PERSON","","","","","","","","Collective|Office|Principal","Collective includes RB"
"b2c2717f-cbfa-4b6f-aacc-99a651f2021e","RBLR_1809.txt","Richard de Swynefeud","char-offset:228","PERSON","","","","","","","","",""
"c8567e76-c049-4e2e-baa1-17f6c024b49d","RBLR_1809.txt","Hereford","char-offset:269","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"65d56336-3d77-4df1-85e4-ecb941c92067","RBLR_1809.txt","Richard","char-offset:323","PERSON","","","","","","","","",""
"1e933fcf-0df8-4b0c-9176-7e7e20abb39a","RBLR_1809.txt","Canterbury","char-offset:372","PLACE","http://sws.geonames.org/2653877","Canterbury","","51.27904","1.07992","","VERIFIED","Given at",""
"127935b0-4501-447f-ae6c-abf8f8d5d4b1","RBLR_1810.txt","Simon de Scheluyng","char-offset:121","PERSON","","","","","","","","",""
"c2655acf-fba7-4ea4-9574-b8abd6321df7","RBLR_1810.txt","the executors of the will of dominus Richard de Swynefeud,","char-offset:144","PERSON","","","","","","","","Collective|Office|Principal","Collective includes RB"
"ace9a5e7-8112-446a-9d56-5156c568a5e6","RBLR_1810.txt","Richard de Swynefeud","char-offset:181","PERSON","","","","","","","","",""
"06eb0644-3825-4833-83a6-6dc2da2b5e78","RBLR_1810.txt","Richard","char-offset:269","PERSON","","","","","","","","",""
"ae01efe8-d5fc-4b7f-8017-525b9a54e2c7","RBLR_1810.txt","Canterbury","char-offset:317","PLACE","http://sws.geonames.org/2653877","Canterbury","","51.27904","1.07992","","VERIFIED","",""
"e13689df-a93b-467f-9e2c-f3f3c0529c27","RBLR_1811.txt","John Osebarn","char-offset:121","PERSON","","","","","","","","",""
"660e8b9c-c651-447f-abb7-fd02f71429bc","RBLR_1811.txt","Wymark","char-offset:138","PERSON","","","","","","","","",""
"0da74bf4-ba37-4366-a567-6d5c298d4b6e","RBLR_1811.txt","the executors of the will of dominus Richard de Swynefeud","char-offset:158","PERSON","","","","","","","","Collective|Office|Principal",""
"98d3ed14-292d-4267-91d0-3bc2115b2c78","RBLR_1811.txt","Richard de Swynefeud","char-offset:195","PERSON","","","","","","","","",""
"3febb0c4-2864-49bf-86c9-33543f2a8f55","RBLR_1811.txt","Hereford","char-offset:236","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"87c9a4cb-f8e2-432a-a808-30f15cff3cde","RBLR_1811.txt","Richard","char-offset:290","PERSON","","","","","","","","",""
