"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"3c6b8b92-bc9a-4ad6-8a59-2466f49f794f","RBLR_3006.txt","RBLR 3006 1330.11.7","char-offset:0","PLACE","","","","","","","UNVERIFIED","Given at","Document given at Hartlebury (like others on this day), per scan. Hartlebury = manor of Bishop of Worcester"
"51098ed7-db29-400b-b993-2cec9bed0c46","RBLR_3006.txt","Hanbury-by-Droitwich","char-offset:65","PLACE","","","","","","","UNVERIFIED","RB property",""
"b3d3dc07-00b2-4678-8c6f-a76dbf8010eb","RBLR_3006.txt","Alvechurch","char-offset:115","PLACE","http://sws.geonames.org/2657395","Alvechurch","","52.35173","-1.96531","","VERIFIED","RB property",""
"e70a6b7b-d995-4bd9-b2a3-474165afef56","RBLR_3006.txt","Roger de Breynton","char-offset:129","PERSON","","","","","","","","Present|Present",""
"e54e1757-d351-4518-b4ad-1d7a85257238","RBLR_3101.txt","Westminster","char-offset:28","PLACE","http://sws.geonames.org/2634341","City of Westminster","","51.5","-0.11667","","VERIFIED","Given at",""
"0b3a70b8-7316-4341-a31e-a66a8a7ebff0","RBLR_3101.txt","Worcester","char-offset:106","PLACE","http://sws.geonames.org/2633563","Worcester","","52.18935","-2.22001","","UNVERIFIED","",""
"b48ee39f-2d10-4419-bb8d-f521063ebcc8","RBLR_3101.txt","beyond seas","char-offset:122","PLACE","http://sws.geonames.org/3017382","France","","46.557575440537526","2.5522572848112075","","VERIFIED","Going to","that is, France, either French Court or Avignon or both|RB is NOT among those going beyond seas, however"
"a5844227-0f95-4aa9-875d-0624071b252a","RBLR_3101.txt","Robert Petyt","char-offset:176","PERSON","","","","","","","","",""
"f514db47-d8a0-4a05-9c03-1e985a79d92d","RBLR_3101.txt","William de Culpho","char-offset:272","PERSON","","","","","","","","",""
"f9d502aa-6389-439e-8c03-5d6f49684c69","RBLR_3101.txt","Adam de Aylmeton","char-offset:321","PERSON","","","","","","","","",""
"fcc6ac62-a2c1-46e7-88a5-693b2dfd3598","RBLR_3101.txt","Aca","char-offset:363","PLACE","","","","","","","UNVERIFIED","",""
"7f5caecb-7e46-4e6a-b44f-2a01fdd25e28","RBLR_3101.txt","John le Rous","char-offset:368","PERSON","","","","","","","","",""
"e3ca3512-66b9-4056-955f-5f19d6c186bf","RBLR_3101.txt","Immer","char-offset:384","PERSON","","","","","","","","",""
"38dca3b9-bb02-4840-b594-a1f78ea02502","RBLR_3101.txt","Thomas de Langeford","char-offset:391","PERSON","","","","","","","","",""
"d4336d10-918c-4455-8592-49aa589ab166","RBLR_3101.txt","Henry de London","char-offset:419","PERSON","","","","","","","","",""
"7d427a7a-cf61-4249-a71e-4452655cebf6","RBLR_3101.txt","Mersh","char-offset:460","PLACE","","","","","","","UNVERIFIED","",""
"c8f8693d-b5bc-4efc-80ad-fb8efffe667e","RBLR_3101.txt","Roger de Braynton","char-offset:506","PERSON","","","","","","","","Principal|Present","RB is NOT going beyond the seas; staying in England"
"cee1f461-cbaf-4b9e-9a33-e972d169e20b","RBLR_3101.txt","William de Masyngton","char-offset:528","PERSON","","","","","","","","",""
"7ee96ac4-0853-4c3d-a7e7-c3ec8623ef6a","RBLR_3101.txt","England","char-offset:566","PLACE","http://geo-kima.org/place/12708","England","","","","","UNVERIFIED","",""
"775dda30-4cac-4d84-8920-186c08ad9ee8","RBLR_3005.txt","Hartlebury","char-offset:40","PLACE","","","","","","","UNVERIFIED","Given at","Hartlebury = manor of Bishop of Worcester"
"70003dd5-7597-4dd2-b4fd-eb5bc217c2bd","RBLR_3005.txt","Roger de Breynton","char-offset:67","PERSON","","","","","","","","Principal|Present",""
"e47c2fed-56e5-475f-b29d-2f5c5bfeb7c1","RBLR_3005.txt","Hanbury-by-Droitwich (Hambur'iuxta Wich')","char-offset:96","PLACE","","","","","","","UNVERIFIED","RB property",""
"2db17138-5cc1-4226-91b9-12dfbc24bace","RBLR_3005.txt","the church of Alvechurch","char-offset:157","PLACE","http://sws.geonames.org/2657395","Alvechurch","","52.35173","-1.96531","","VERIFIED","RB property",""
"32edb7ea-e86e-43cc-9624-cf10b89aad2d","RBLR_3005.txt","M. Robert de Luffenham","char-offset:261","PERSON","","","","","","","","",""
"9884b591-c921-4f86-af45-3c9c087cf3e5","RBLR_3005.txt","Salisbury","char-offset:307","PLACE","http://sws.geonames.org/2062013","Salisbury","","-34.76667","138.63333","","UNVERIFIED","",""
"a9fc56d5-9613-4b28-b3b4-d8ca959ca954","RBLR_3102.txt","London","char-offset:40","PLACE","http://sws.geonames.org/2643743","London","","51.50853","-0.12574","","VERIFIED","Given at",""
"bafab9b4-2e15-4fb7-ac9b-ad17333d25ec","RBLR_3102.txt","M. Robert de Worth","char-offset:62","PERSON","","","","","","","","",""
"ed620732-4837-48e1-a1dc-08bff83485ce","RBLR_3102.txt","Salisbury","char-offset:91","PLACE","http://sws.geonames.org/2062013","Salisbury","","-34.76667","138.63333","","UNVERIFIED","",""
"53afc670-d4e9-4deb-ae10-91843f57c52e","RBLR_3102.txt","Adam de Herwynton","char-offset:123","PERSON","","","","","","","","",""
"9b580a87-0ac0-4d1f-ab99-8e892f2f6186","RBLR_3102.txt","Roger de Breynton","char-offset:150","PERSON","","","","","","","","Principal|Present",""
"2f995ce9-6482-46a6-bdbb-f96e246750b3","RBLR_3102.txt","Hereford","char-offset:179","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"c2f198c0-786c-49a2-8dea-27cabe49b4fc","RBLR_3102.txt","Tredington","char-offset:213","PLACE","","","","","","","UNVERIFIED","",""
