"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"11ee17f4-6fc4-4953-a139-a6e9dc48be8a","RBLR_1732.txt","Richard de Wynchecoumbe","char-offset:119","PERSON","","","","","","","","Principal",""
"bf434039-725f-49d7-8a54-c73e40d4eca9","RBLR_1732.txt","Wynchecoumbe","char-offset:130","PLACE","http://sws.geonames.org/2633860","Winchcombe","","51.95363","-1.96398","","VERIFIED","Nominative","Winchcombe"
"9c3c7871-a9af-4371-8271-af2fd393e340","RBLR_1732.txt","the executors of the will of dominus Richard de Swynefeud","char-offset:146","PERSON","","","","","","","","Collective|Office|Principal|Executor","Collective includes RB"
"0c24cd1b-3d8d-4d0a-b4f0-028b345f8ece","RBLR_1732.txt","Richard de Swynefeud","char-offset:183","PERSON","","","","","","","","Dead",""
"1f839efd-0126-4353-b094-b677904eb78f","RBLR_1732.txt","Swynefeud","char-offset:194","PLACE","","","","","","","UNVERIFIED","Nominative","Swinfield"
"5a6c1216-0a9a-4f21-95c9-32e5b34102e6","RBLR_1732.txt","bishop of Hereford,","char-offset:214","","","","","","","","","Job",""
"5122e4b9-0c89-4e82-986c-88c8057302d6","RBLR_1732.txt","Hereford","char-offset:224","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"13a2f697-c058-42e8-9ede-9e4bc0b5aa49","RBLR_1732.txt","Hereford","char-offset:323","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"76b2b581-e043-47be-a654-06030ecf4a61","RBLR_1732.txt","Latin","char-offset:333","","","","","","","","","Language",""
"625213e9-90fb-409c-89a9-b9f6151c41d3","RBLR_1730.txt","Nicholas de Aka","char-offset:119","PERSON","","","","","","","","Principal",""
"44b16b61-bd58-4247-b4dd-68841059d23f","RBLR_1730.txt","Aka,","char-offset:131","PLACE","http://sws.geonames.org/2339318","Ibagwa-Aka","","6.91854","7.39895","","UNVERIFIED","Nominative","Rock, near Droitwich, in Worcestershire"
"5261f5ee-ebb3-4177-ad8d-4ba15968cbf7","RBLR_1730.txt","portionist in the church of Ledebury in the diocese of Hereford,","char-offset:136","","","","","","","","","Job",""
"1e72e594-6c72-4811-8ec9-8e22353e18cd","RBLR_1730.txt","the church of Ledebury","char-offset:150","PLACE","http://sws.geonames.org/2644707","Ledbury","","52.03639","-2.42635","","VERIFIED","Nominative","Ledbury"
"a9aaa0af-d9c8-4c47-9418-b024280f0208","RBLR_1730.txt","Ledebury","char-offset:164","PLACE","","","","","","","UNVERIFIED","",""
"261189a7-77d3-4380-9b40-9634314b45b4","RBLR_1730.txt","Hereford","char-offset:191","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Nominative",""
"d13f884b-e263-4bc3-b2ba-35f030295d0c","RBLR_1730.txt","the executors of the will of dominus Richard de Swynefeud","char-offset:204","PERSON","","","","","","","","Collective|Office|Principal|Executor","Collective includes RB"
"e258ab9e-def4-4715-b2e3-350cd4717531","RBLR_1730.txt","Richard de Swynefeud","char-offset:241","PERSON","","","","","","","","Dead",""
"b6f086b2-7588-4867-9adb-1ee3efa3c582","RBLR_1730.txt","Swynefeud","char-offset:252","PLACE","","","","","","","UNVERIFIED","Nominative","Swinfield"
"1361ef74-041c-43fe-8985-22014d1e70d7","RBLR_1730.txt","bishop of Hereford","char-offset:272","","","","","","","","","Job",""
"83090d58-afd2-47b7-b415-155d659fb306","RBLR_1730.txt","William","char-offset:375","PERSON","","","","","","","","Principal",""
"3ee40f97-4781-4496-9503-8ecc528e798a","RBLR_1730.txt","Ralph","char-offset:387","PERSON","","","","","","","","Principal",""
"096eac20-4be8-40ce-93cb-858024776c9a","RBLR_1730.txt","servants (garciones) of Nicholas","char-offset:402","","","","","","","","","Job","servants of Nicholas de Aka"
"92bfc327-7e62-4c2a-aa0d-ac0ff1baf14c","RBLR_1730.txt","Hereford","char-offset:445","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"5cc8d106-bc38-46d6-b576-c38f5ded3eda","RBLR_1730.txt","Latin.","char-offset:455","","","","","","","","","Language",""
"a0065efa-c1f0-4364-b9aa-e7281add267c","RBLR_1733.txt","Richard de Nonyton","char-offset:120","PERSON","","","","","","","","",""
