"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"0baa64d3-6719-48ea-a51c-71a43e16f16c","RBLR_4405.txt","Adam Truelove","char-offset:49","PERSON","","","","","","","","",""
"83d692c9-cf9e-4afc-8421-9abc67de6818","RBLR_4405.txt","the Herefordshire manors of the see","char-offset:95","PLACE","","","","","","","UNVERIFIED","RB property",""
"e72121d3-8923-494d-a749-6d5736f72f4a","RBLR_4405.txt","Herefordshire","char-offset:99","PLACE","http://geo-kima.org/place/9117","Herefordshire (England)","","","","","UNVERIFIED","",""
"b8f41144-666f-4a61-986e-1e1950d1aff7","RBLR_4405.txt","Roger Breynton","char-offset:165","PERSON","","","","","","","","Principal|Present",""
"6df798d2-ea04-45b0-a43c-805d7705a0b6","RBLR_4405.txt","Johannes","char-offset:217","PERSON","","","","","","","","",""
"781a00a3-ec35-44dc-865d-f0df65e4e113","RBLR_4405.txt","R. de ВгеупЬопе","char-offset:744","PERSON","","","","","","","","",""
"9a6855e1-6665-4917-b741-ee23b5f812fa","RBLR_4405.txt","Herefordensi","char-offset:770","PERSON","","","","","","","","",""
"85df99bd-3301-470a-af65-a8f7ef95e63c","RBLR_4405.txt","ut supra","char-offset:1081","PLACE","http://sws.geonames.org/2649660","Farnham","","51.21444","-0.80054","","VERIFIED","Given at","Farnham (per above documents)"
"cc8ea02d-3179-4660-9bcc-76ab3cdc7204","RBLR_4407.txt","his vicars-general","char-offset:52","PERSON","","","","","","","","Collective|Office","Collective includes RB"
"f687bba1-f803-44d5-994a-b7b8224c147d","RBLR_4407.txt","St. Paul 's Cathedral","char-offset:175","PLACE","http://mapoflondon.uvic.ca/STPA2.htm","St. Paul’s Cathedral","","51.513741698095345","-0.098465147372751","","VERIFIED","Going to|Building",""
"b9025a0a-c522-4ec2-abb3-1df16b5e7e82","RBLR_4407.txt","Johannes","char-offset:378","PERSON","","","","","","","","",""
"cded437a-88db-4cf9-80cc-8c3a613b9f8f","RBLR_4407.txt","Rogero de Breyntone","char-offset:411","PERSON","","","","","","","","Principal|Present",""
"562f1b4e-b7cd-4ec7-b253-3cb0fae96b46","RBLR_4407.txt","Johanni Reez","char-offset:461","PERSON","","","","","","","","",""
