"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"3e898db1-ad50-4027-95b3-1e70ad004358","RBLR_3402.txt","Hartlebury","char-offset:40","PLACE","","","","","","","UNVERIFIED","Given at",""
"bc7620bf-dd08-4472-95c5-ddb3b3091f6e","RBLR_3402.txt","Roger de Breynton","char-offset:67","PERSON","","","","","","","","Principal|Present",""
"7cd0e49d-9b66-41ff-929e-e91ef098c8fe","RBLR_3402.txt","Sherborne","char-offset:111","PERSON","","","","","","","","",""
"c4dba7c9-a037-4155-966d-3d01c45040d7","RBLR_3303.txt","Hereford","char-offset:39","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at",""
"915e4f52-f548-4b6c-8217-fc0003112675","RBLR_3303.txt","Roger de Breynton","char-offset:49","PERSON","","","","","","","","Principal|Present",""
"de1b9f40-eae4-4027-8e28-269e58127acd","RBLR_3303.txt","archdeacon of Worcester","char-offset:68","PLACE","","","","","","","UNVERIFIED","RB property","mistake for Archdeacon of Gloucester"
"03f593cd-0c6a-47e8-b7ea-6e5178b7c5eb","RBLR_3303.txt","Worcester","char-offset:82","PLACE","http://sws.geonames.org/2633563","Worcester","","52.18935","-2.22001","","UNVERIFIED","",""
"f15f56ac-fa81-4320-ba3b-193165752526","RBLR_3303.txt","Hereford","char-offset:102","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"9bdc93ff-2cbe-4f8a-8c61-e526127da8cd","RBLR_3303.txt","Worcester","char-offset:158","PLACE","http://sws.geonames.org/2633563","Worcester","","52.18935","-2.22001","","UNVERIFIED","",""
"2a8ad72a-fb0b-40f6-bc42-2ca3e95b76a5","RBLR_3303.txt","Br","char-offset:198","PLACE","http://sws.geonames.org/934127","Quatre Soeurs","","-20.29917","57.77056","","UNVERIFIED","",""
"f9f5090f-7b55-49eb-96b8-03022e518c92","RBLR_3303.txt","Nicholas de Stanlak","char-offset:202","PERSON","","","","","","","","",""
"206896ec-3627-4a41-ba4f-0e20718e60a6","RBLR_3303.txt","Worcester","char-offset:231","PLACE","http://sws.geonames.org/2633563","Worcester","","52.18935","-2.22001","","UNVERIFIED","",""
"fede9550-4100-42f7-8160-87531b4b1461","RBLR_3303.txt","St. Oswald","char-offset:294","PLACE","","","","","","","UNVERIFIED","",""
"3f13f472-38df-4816-9bd4-f8eacd10fd48","RBLR_3303.txt","St. Wulstan","char-offset:309","PLACE","","","","","","","UNVERIFIED","",""
"5274bb3a-8241-4bdb-8494-a36cd3d69536","RBLR_3303.txt","Philip de Pyribrok","char-offset:345","PERSON","","","","","","","","",""
"95d45846-1754-40a0-b6dc-6eec019c93e7","RBLR_3303.txt","Worcester","char-offset:444","PLACE","http://sws.geonames.org/2633563","Worcester","","52.18935","-2.22001","","UNVERIFIED","",""
"5b93bcf5-8f69-4440-b30e-bb180b1ddb98","RBLR_3304.txt","Roger de Brenigtone","char-offset:21","PERSON","","","","","","","","Principal|Present","Roger de Breynton"
"4911820f-b818-482e-8233-e4622d559d3f","RBLR_3304.txt","Adam","char-offset:59","PERSON","","","","","","","","",""
"fd1b236c-7a9a-48ef-b92a-9f9784027ec7","RBLR_3304.txt","Worcester","char-offset:75","PLACE","http://sws.geonames.org/2633563","Worcester","","52.18935","-2.22001","","UNVERIFIED","",""
"0274f91b-9a90-4498-ad51-4c36f9d9d13f","RBLR_3304.txt","Bishop Ralph","char-offset:89","PERSON","","","","","","","","",""
"f669b939-6eb7-4748-908c-211e4ea2461f","RBLR_3304.txt","he cemetery of the cathedral church of Worcester","char-offset:128","PLACE","http://sws.geonames.org/2633563","Worcester","","52.18935","-2.22001","","VERIFIED","",""
"34bf60e4-211e-49c8-96f9-ebb4908dbed1","RBLR_3304.txt","Worcester","char-offset:167","PLACE","http://sws.geonames.org/2633563","Worcester","","52.18935","-2.22001","","UNVERIFIED","",""
"6fc648b6-b353-4ba8-9c18-b58b0521c88a","RBLR_3304.txt","Herford","char-offset:209","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","VERIFIED","Given at","Hereford|RB writes letter from Hereford on 1333.8.28; recorded in Bp Ralph's register on 1333.11.20"
"c8e21cb4-a30c-4f3d-a02f-5cf4b10e023b","RBLR_3304.txt","R. Episcopi","char-offset:299","PERSON","","","","","","","","",""
"4b358007-ec9a-402b-ba33-257a1a4e79be","RBLR_3401.txt","Hartlebury","char-offset:40","PLACE","","","","","","","UNVERIFIED","Given at",""
"d258bcef-25dd-4866-90f7-37c3d6e1af64","RBLR_3401.txt","R[oger] de Breynton,","char-offset:70","PERSON","","","","","","","","Principal|Present",""
"bcead783-9a59-46c9-96f0-96a7b4c6bfc1","RBLR_3401.txt","Gloucester","char-offset:105","PLACE","http://sws.geonames.org/2648404","Gloucester","","51.86568","-2.2431","","UNVERIFIED","",""
"d576b376-7f1d-491d-8323-c321f929a9aa","RBLR_3401.txt","Richard","char-offset:179","PERSON","","","","","","","","",""
"6f6d4b4f-1a61-4d8a-8032-205932aba9c4","RBLR_3401.txt","Robert de Castro","char-offset:195","PERSON","","","","","","","","",""
"e336d599-241b-4ee8-bd7a-d69aea8ac321","RBLR_3401.txt","Halford","char-offset:215","PERSON","","","","","","","","",""
"6304290f-91dd-44df-8634-cc2c231b303d","RBLR_3401.txt","Halford","char-offset:224","PERSON","","","","","","","","",""
"c48bc3e1-0c2b-48e5-9488-a505f70e0864","RBLR_3401.txt","Richard de Compton","char-offset:238","PERSON","","","","","","","","",""
