"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"479e4dae-a575-4509-9234-d57c829dfe81","RBLR_1909.txt","Richard de Vernon","char-offset:56","PERSON","","","","","","","","",""
"7ad3fbdd-a1a5-4b42-b9ce-336c946a4857","RBLR_1909.txt","-- Episcopus","char-offset:318","PERSON","","","","","","","","",""
"e7c52c55-4372-4329-a6e7-2afddce399db","RBLR_1909.txt","R. de Vernoun","char-offset:357","PERSON","","","","","","","","",""
"377b641e-09f3-4584-a6bc-858167d5a30f","RBLR_1909.txt","R. de Breyntone","char-offset:442","PERSON","","","","","","","","Principal|Present","Roger de Breynton|marked as present but need to check RB movements vs AO's movements"
"d0496a17-6f60-4281-9fdb-e1fdfa597ff5","RBLR_1909.txt","ecclesie de Aka","char-offset:467","PLACE","","","","","","","UNVERIFIED","RB property","Aka = Church of Rock, Worcestershire"
"ab22defa-a54e-4e28-9790-e69d93698c73","RBLR_1909.txt","W. Carles","char-offset:511","PERSON","","","","","","","","",""
"e443d59f-273f-426d-bb38-8615ec26042a","RBLR_1909.txt","Stephano","char-offset:609","PERSON","","","","","","","","",""
"359ae4f3-647c-47c4-9199-44f4deae9a17","RBLR_1909.txt","prioratu sancti Rufi juxta Avynyonem","char-offset:1634","PLACE","http://geo-kima.org/place/19779","Avignon (Papal city)","","","","","VERIFIED","Building|Given at","Priory of St Rufus beside Avignon"
"a78c7938-7cfa-4cb6-93a0-4e5190932279","RBLR_1909.txt","Rufi","char-offset:1650","PERSON","","","","","","","","",""
"d621d38a-985f-49bc-a61d-92e7117a263b","RBLR_2001.txt","RBLR 2001 1320.2.28","char-offset:0","PLACE","http://sws.geonames.org/2634341","City of Westminster","","51.5","-0.11667","","VERIFIED","Given at","Given at Westminster, per CPR (print, p427) although transcription has excluded this; ""Westminster"" appears in margin"
"6e3d7915-d9ab-40e3-8b7d-7ce686727ab0","RBLR_2001.txt","Hereford","char-offset:46","PLACE","http://sws.geonames.org/2647074","Hereford","","52.05684","-2.71482","","UNVERIFIED","",""
"09215858-117e-4e58-b845-b517a464afaa","RBLR_2001.txt","Henry de Shorne","char-offset:177","PERSON","","","","","","","","",""
