"source","relation","target","source_id","source_tags","target_id","target_tags"
"Gilbert de Reigate","Neighbors","Nicholas de la Calewe","32f64111-1a24-49e3-bd53-a0206927b7be","Principal","a369782a-ab06-4755-bffb-b8ffbb37d1a9",""
"seneschal of the dean and chapter of Hereford","Job","John de Barewe","dad4a8b9-0a73-4f7a-862c-4c95ab9536a1","Job","2d085be3-d2e5-4528-b2d7-55a0eca848fd","Witness"
"clerk","Job","Roger de Breyntone","3959bd6f-bd7a-4564-8f67-f693d44d3605","Job","c85c1d46-4f27-47da-b608-99e93152a2f4","Principal|Present"
"Richard de Bagginden","indebted to","Nicholas de Reigate","28929857-6f5f-4cba-92ab-c9221802624b","Principal","60e25be3-f451-4b47-a607-ab9c6945ddbe","Principal"
"the corviser.","Job","William called the corviser","39181a8f-3628-431a-9ca6-f93643900cf6","Job","27d4a87e-9455-495e-be54-71134c7ec4f6","Witness|Scribe"
"clerk","Job","Roger de Breynton","06abfc42-3975-46c7-8ec5-ab95b19a2013","Job","e0d2f0b8-dccd-4925-b995-cde3f4750295","Principal|Present"
"le Schipward'","Job","Hugh le Schipward","b2854316-9421-4f19-830c-899494d81712","Job","a8d206c0-fd92-443a-b4f3-1c1fb7008287","Witness"
"clerk","Job","Gilbert de Reygate","9d630cdf-da0a-49e0-9c8d-2ba93bcbca43","Job","596211c9-332f-4cbd-9ef8-937ef7f4976d","Principal"
"the clerk","Job","Adam called the clerk","0e069612-7904-4a00-8ca5-5e83efa8f6dd","Job","33a8a541-9e23-45a7-8149-2fa4db26c94f","Witness"
"Roger de Breynton","Neighbors","Nicholas de la Calewe","e0d2f0b8-dccd-4925-b995-cde3f4750295","Principal|Present","a369782a-ab06-4755-bffb-b8ffbb37d1a9",""
"rector of the church of Brugges Solers","Job","Gilbert de Reigate","6a839aca-8737-4112-91e3-fa3490469b5c","Job","32f64111-1a24-49e3-bd53-a0206927b7be","Principal"
