"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"304d8f85-50ad-4015-b2d3-77a6de6653bd","HCM_1621.txt","the king","char-offset:70","PERSON","","","","","","","","Principal|Office","King Edward II"
"fd8881f4-ffa1-4f21-969f-32f841573a1b","HCM_1621.txt","the sheriff of Gloucestershire","char-offset:82","PERSON","","","","","","","","Office|Principal",""
"94f1be1d-3804-4551-aa9e-68ac3b4c5601","HCM_1621.txt","Gloucestershire","char-offset:97","PLACE","http://geo-kima.org/place/8604","Gloucestershire (England)","","","","","VERIFIED","Nominative",""
"515fcef4-aee4-4a52-856d-c5ac4517e0ba","HCM_1621.txt","Gloucester","char-offset:191","PLACE","http://sws.geonames.org/2648404","Gloucester","","51.86568","-2.2431","","VERIFIED","",""
"d1be85dd-ae93-41f6-93c3-9ef7fbbcdfcb","HCM_1621.txt","Gloucester","char-offset:242","PLACE","http://sws.geonames.org/2648404","Gloucester","","51.86568","-2.2431","","UNVERIFIED","",""
"06482151-a406-42cd-9f36-de6b89f1048e","HCM_1621.txt","the abbot of Gloucester.","char-offset:256","PERSON","","","","","","","","Office",""
"e6a5d99a-8c52-4c05-b14c-84ab26bf9699","HCM_1621.txt","Gloucester","char-offset:269","PLACE","http://sws.geonames.org/2648404","Gloucester","","51.86568","-2.2431","","VERIFIED","Nominative",""
"dfc41168-e412-4b71-a75e-71709c2d6d31","HCM_1621.txt","Hugh de Wygorn","char-offset:281","PERSON","","","","","","","","",""
"37fe87e1-675d-4944-9a2f-b368bdcb758f","HCM_1621.txt","Wygorn'","char-offset:289","PLACE","","","","","","","UNVERIFIED","Nominative",""
"d9ffd0cb-724d-481b-b5fa-b914ccbf85ac","HCM_1621.txt","Hugh Putteleye","char-offset:323","PERSON","","","","","","","","",""
"b1374425-ff21-4476-adf9-b611d7d42a2e","HCM_1621.txt","Jordan de Hingham","char-offset:346","PERSON","","","","","","","","",""
"6daf1997-8760-4cc0-880e-2f1a84a08c0d","HCM_1621.txt","Hingham","char-offset:356","PLACE","http://sws.geonames.org/2646856","Hingham","","52.57969","0.98422","","UNVERIFIED","Nominative",""
"ec8bc4f7-3ee6-4cf3-8ba6-333db405cdaa","HCM_1621.txt","William de Ryonnes","char-offset:372","PERSON","","","","","","","","",""
"2501df64-5bc0-4712-abd3-e60668c6dbdd","HCM_1621.txt","Ryonnes","char-offset:383","PLACE","","","","","","","UNVERIFIED","Nominative",""
"bf50d49d-24ff-48e0-ae16-e7c12b4d88b1","HCM_1621.txt","Ellen","char-offset:399","PERSON","","","","","","","","","Ellen daughter of Robert le Teyntour"
"9101352f-0266-47f4-8d25-d00912b8b939","HCM_1621.txt","Robert le Teyntour","char-offset:418","PERSON","","","","","","","","",""
"8dba4e79-d092-4e54-a3fc-b6c16ebae005","HCM_1621.txt","le Teyntour","char-offset:425","","","","","","","","","Job",""
"ad572809-0c6f-454f-b7fa-ae73b9881eaf","HCM_1621.txt","Walter le Spicer","char-offset:445","PERSON","","","","","","","","",""
"0aa565c8-bed3-4f50-ad49-b7b1136e0763","HCM_1621.txt","le Spicer","char-offset:452","","","","","","","","","Job",""
"d5119878-a5e7-4b5b-8cbf-8f121fb01986","HCM_1621.txt","John de Weston","char-offset:470","PERSON","","","","","","","","",""
"01cdf692-4742-47ab-80b3-a5f14e1fd2ba","HCM_1621.txt","Weston’","char-offset:478","PLACE","http://dare.ht.lu.se/places/25962","Weston","","51.961033","-0.149112","","UNVERIFIED","Nominative",""
"47963bd8-fdb4-4d03-ae5b-a2ddc09a80a0","HCM_1621.txt","Agnes","char-offset:490","PERSON","","","","","","","","","Agnes wife of John de Weston"
"d1006678-cb4b-46aa-a4d6-400c431fd8f4","HCM_1621.txt","Richard de Hunteleye","char-offset:517","PERSON","","","","","","","","",""
"805e42cb-f2a0-4a1d-8dea-08b5187603e1","HCM_1621.txt","Hunteleye","char-offset:528","PLACE","","","","","","","UNVERIFIED","Nominative",""
"8636d622-507e-42c5-914c-67a61c4b19d6","HCM_1621.txt","Robert de Lassindon","char-offset:579","PERSON","","","","","","","","",""
"79ade5b0-4f52-43ae-ad5d-c3a1c9727bac","HCM_1621.txt","Lassindon’","char-offset:589","PLACE","","","","","","","UNVERIFIED","Nominative",""
"0b53dacc-d17b-4803-a6ec-f9a2d7f14c60","HCM_1621.txt","the abbot of Gloucester","char-offset:691","PERSON","","","","","","","","Office",""
"439dcd2a-e657-4482-988a-2eb2ada66a58","HCM_1621.txt","Gloucester","char-offset:704","PLACE","http://sws.geonames.org/2648404","Gloucester","","51.86568","-2.2431","","VERIFIED","Nominative",""
"5ec06862-b8ec-4cc7-8a55-439d0357f885","HCM_1621.txt","the king's justices","char-offset:740","PERSON","","","","","","","","Collective",""
"64b8be07-5027-4e8a-afb4-ab0b380a5de8","HCM_1621.txt","Westminster","char-offset:763","PLACE","http://sws.geonames.org/5408406","Westminster","","33.75918","-118.00673","","UNVERIFIED","",""
